sep=;
"Name:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #1 COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5149 V";"Date:";"2025-03-21 ¿ÀÀü 3:46:42"
"Current:";"0.00004 A";"File:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #1 COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3223";"0.3289";"6000";"OK";"40.9";"";"";"40.9";"";""
"2";"10U-5R";"5";"10";"0.3227";"0.3299";"5973";"OK";"39.8";"";"";"39.8";"";""
"3";"5U-20L";"-20";"5";"0.3165";"0.3225";"6339";"OK";"19.4";"";"";"19.4";"";""
"4";"5U-10L";"-10";"5";"0.3224";"0.3287";"5995";"OK";"42.8";"";"";"42.8";"";""
"5";"5U-V";"0";"5";"0.3243";"0.3312";"5893";"OK";"51.3";"";"";"51.3";"";""
"6";"5U-10R";"10";"5";"0.3240";"0.3312";"5908";"OK";"40.4";"";"";"40.4";"";""
"7";"5U-20R";"20";"5";"0.3220";"0.3295";"6014";"OK";"19.6";"";"";"19.6";"";""
"8";"H-10L";"-10";"0";"0.3218";"0.3279";"6026";"OK";"41.5";"";"";"41.5";"";""
"9";"H-5L";"-5";"0";"0.3230";"0.3293";"5961";"OK";"46.9";"";"";"46.9";"";""
"10";"HV";"0";"0";"0.3238";"0.3304";"5918";"OK";"50.0";"";"";"50.0";"";""
"11";"H-5R";"5";"0";"0.3239";"0.3308";"5910";"OK";"47.1";"";"";"47.1";"";""
"12";"H-10R";"10";"0";"0.3234";"0.3305";"5939";"OK";"39.1";"";"";"39.1";"";""
"13";"5D-20L";"-20";"-5";"0.3155";"0.3213";"6407";"OK";"17.0";"";"";"17.0";"";""
"14";"5D-10L";"-10";"-5";"0.3205";"0.3263";"6100";"OK";"34.7";"";"";"34.7";"";""
"15";"5D-V";"0";"-5";"0.3222";"0.3284";"6006";"OK";"40.9";"";"";"40.9";"";""
"16";"5D-10R";"10";"-5";"0.3222";"0.3288";"6006";"OK";"31.9";"";"";"31.9";"";""
"17";"5D-20R";"20";"-5";"0.3202";"0.3278";"6112";"OK";"16.0";"";"";"16.0";"";""
"18";"10D-5L";"-5";"-10";"0.3193";"0.3252";"6171";"OK";"26.4";"";"";"26.4";"";""
"19";"10D-5R";"5";"-10";"0.3203";"0.3264";"6113";"OK";"25.4";"";"";"25.4";"";""
