sep=;
"Name:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) LH #1 1min COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5148 V";"Date:";"2025-03-21 ¿ÀÀü 6:29:55"
"Current:";"0.00007 A";"File:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) LH #1 1min COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5687";"0.4201";"1736";"OK";"482.5";"";"";"482.5";"";""
"2";"10U - 5R";"5";"10";"0.5685";"0.4202";"1738";"OK";"382.7";"";"";"382.7";"";""
"3";"5U - 20L";"-20";"5";"0.5675";"0.4204";"1745";"OK";"227.9";"";"";"227.9";"";""
"4";"5U - 10L";"-10";"5";"0.5688";"0.4199";"1735";"OK";"549.5";"";"";"549.5";"";""
"5";"5U - V";"0";"5";"0.5689";"0.4199";"1734";"OK";"525.5";"";"";"525.5";"";""
"6";"5U - 10R";"10";"5";"0.5686";"0.4199";"1736";"OK";"344.2";"";"";"344.2";"";""
"7";"5U - 20R";"20";"5";"0.5678";"0.4203";"1743";"OK";"134.1";"";"";"134.1";"";""
"8";"H - 10L";"-10";"0";"0.5687";"0.4198";"1735";"OK";"523.8";"";"";"523.8";"";""
"9";"H - 5L";"-5";"0";"0.5689";"0.4197";"1733";"OK";"531.9";"";"";"531.9";"";""
"10";"HV";"0";"0";"0.5688";"0.4197";"1733";"OK";"506.1";"";"";"506.1";"";""
"11";"H - 5R";"5";"0";"0.5687";"0.4198";"1734";"OK";"437.7";"";"";"437.7";"";""
"12";"H - 10R";"10";"0";"0.5686";"0.4198";"1735";"OK";"333.6";"";"";"333.6";"";""
"13";"5D - 20L";"-20";"-5";"0.5673";"0.4202";"1745";"OK";"193.1";"";"";"193.1";"";""
"14";"5D - 10L";"-10";"-5";"0.5684";"0.4198";"1737";"OK";"423.4";"";"";"423.4";"";""
"15";"5D - V";"0";"-5";"0.5686";"0.4197";"1735";"OK";"411.9";"";"";"411.9";"";""
"16";"5D - 10R";"10";"-5";"0.5683";"0.4199";"1738";"OK";"276.3";"";"";"276.3";"";""
"17";"5D - 20R";"20";"-5";"0.5676";"0.4202";"1744";"OK";"113.4";"";"";"113.4";"";""
"18";"10D - 5L";"-5";"-10";"0.5681";"0.4198";"1739";"OK";"288.8";"";"";"288.8";"";""
"19";"10D - 5R";"5";"-10";"0.5680";"0.4199";"1740";"OK";"238.5";"";"";"238.5";"";""
