sep=;
"Name:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) LH #1 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5147 V";"Date:";"2025-03-21 ¿ÀÀü 7:27:50"
"Current:";"0.00006 A";"File:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) LH #1 2025-03-21"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"491.705";"0";"0";"OK";"491.705";"0";"0";"491.705";"0";"0"
"30min H-V";"-";"-";"469.115";"0";"0";"OK";"469.115";"0";"0";"469.115";"0";"0"
"10U - 5L";"35";"1000";"443.055";"-5";"10";"OK";"443.055";"-5";"10";"443.055";"-5";"10"
"10U - 5R";"35";"1000";"351.068";"5";"10";"OK";"351.068";"5";"10";"351.068";"5";"10"
"5U - 20L";"17.5";"1000";"210.576";"-20";"5";"OK";"210.576";"-20";"5";"210.576";"-20";"5"
"5U - 10L";"35";"1000";"506.343";"-10";"5";"OK";"506.343";"-10";"5";"506.343";"-10";"5"
"5U - V";"122.5";"1000";"485.705";"0";"5";"OK";"485.705";"0";"5";"485.705";"0";"5"
"5U - 10R";"35";"1000";"318.466";"10";"5";"OK";"318.466";"10";"5";"318.466";"10";"5"
"5U - 20R";"17.5";"1000";"122.962";"20";"5";"OK";"122.962";"20";"5";"122.962";"20";"5"
"H - 10L";"61.25";"1000";"484.006";"-10";"0";"OK";"484.006";"-10";"0";"484.006";"-10";"0"
"H - 5L";"157.5";"1000";"493.042";"-5";"0";"OK";"493.042";"-5";"0";"493.042";"-5";"0"
"HV";"175";"1000";"468.970";"0";"0";"OK";"468.970";"0";"0";"468.970";"0";"0"
"H - 5R";"157.5";"1000";"406.188";"5";"0";"OK";"406.188";"5";"0";"406.188";"5";"0"
"H - 10R";"61.25";"1000";"309.972";"10";"0";"OK";"309.972";"10";"0";"309.972";"10";"0"
"5D - 20L";"17.5";"1000";"180.179";"-20";"-5";"OK";"180.179";"-20";"-5";"180.179";"-20";"-5"
"5D - 10L";"35";"1000";"392.309";"-10";"-5";"OK";"392.309";"-10";"-5";"392.309";"-10";"-5"
"5D - V";"122.5";"1000";"382.369";"0";"-5";"OK";"382.369";"0";"-5";"382.369";"0";"-5"
"5D - 10R";"35";"1000";"256.876";"10";"-5";"OK";"256.876";"10";"-5";"256.876";"10";"-5"
"5D - 20R";"17.5";"1000";"105.433";"20";"-5";"OK";"105.433";"20";"-5";"105.433";"20";"-5"
"10D - 5L";"35";"1000";"268.081";"-5";"-10";"OK";"268.081";"-5";"-10";"268.081";"-5";"-10"
"10D - 5R";"35";"1000";"221.455";"5";"-10";"OK";"221.455";"5";"-10";"221.455";"5";"-10"
"MIN/MAX";"0.3";"1000";"(0.846) 514.763";"(45) -5";"(-15) 4";"OK";"0.846";"45";"-15";"514.763";"-5";"4"
