sep=;
"Name:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) LH #1 COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5148 V";"Date:";"2025-03-21 ¿ÀÀü 7:31:09"
"Current:";"0.00009 A";"File:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) LH #1 COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5685";"0.4193";"1734";"OK";"443.5";"";"";"443.5";"";""
"2";"10U - 5R";"5";"10";"0.5682";"0.4194";"1736";"OK";"351.2";"";"";"351.2";"";""
"3";"5U - 20L";"-20";"5";"0.5673";"0.4196";"1743";"OK";"211.0";"";"";"211.0";"";""
"4";"5U - 10L";"-10";"5";"0.5686";"0.4192";"1732";"OK";"508.2";"";"";"508.2";"";""
"5";"5U - V";"0";"5";"0.5687";"0.4192";"1732";"OK";"486.8";"";"";"486.8";"";""
"6";"5U - 10R";"10";"5";"0.5684";"0.4193";"1734";"OK";"319.0";"";"";"319.0";"";""
"7";"5U - 20R";"20";"5";"0.5676";"0.4197";"1741";"OK";"123.1";"";"";"123.1";"";""
"8";"H - 10L";"-10";"0";"0.5685";"0.4192";"1733";"OK";"486.5";"";"";"486.5";"";""
"9";"H - 5L";"-5";"0";"0.5686";"0.4191";"1731";"OK";"495.3";"";"";"495.3";"";""
"10";"HV";"0";"0";"0.5686";"0.4192";"1732";"OK";"470.6";"";"";"470.6";"";""
"11";"H - 5R";"5";"0";"0.5685";"0.4192";"1733";"OK";"407.6";"";"";"407.6";"";""
"12";"H - 10R";"10";"0";"0.5684";"0.4193";"1734";"OK";"310.9";"";"";"310.9";"";""
"13";"5D - 20L";"-20";"-5";"0.5671";"0.4196";"1744";"OK";"180.9";"";"";"180.9";"";""
"14";"5D - 10L";"-10";"-5";"0.5682";"0.4193";"1736";"OK";"394.6";"";"";"394.6";"";""
"15";"5D - V";"0";"-5";"0.5683";"0.4193";"1734";"OK";"384.1";"";"";"384.1";"";""
"16";"5D - 10R";"10";"-5";"0.5681";"0.4194";"1736";"OK";"257.9";"";"";"257.9";"";""
"17";"5D - 20R";"20";"-5";"0.5674";"0.4197";"1742";"OK";"105.7";"";"";"105.7";"";""
"18";"10D - 5L";"-5";"-10";"0.5679";"0.4194";"1738";"OK";"269.5";"";"";"269.5";"";""
"19";"10D - 5R";"5";"-10";"0.5678";"0.4195";"1739";"OK";"222.5";"";"";"222.5";"";""
