sep=;
"Name:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #2 1min COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.4661 V";"Date:";"2025-03-21 ¿ÀÀü 4:11:41"
"Current:";"0.00011 A";"File:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #2 1min COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3209";"0.3250";"6086";"OK";"1.086";"";"";"1.086";"";""
"2";"10U-V";"0";"10";"0.3215";"0.3261";"6048";"OK";"1.143";"";"";"1.143";"";""
"3";"10U-5R";"5";"10";"0.3216";"0.3261";"6045";"OK";"1.052";"";"";"1.052";"";""
"4";"5U-20L";"-20";"5";"0.3138";"0.3157";"6549";"OK";"0.383";"";"";"0.383";"";""
"5";"5U-10L";"-10";"5";"0.3215";"0.3253";"6056";"OK";"1.300";"";"";"1.300";"";""
"6";"5U-V";"0";"5";"0.3237";"0.3283";"5927";"OK";"1.558";"";"";"1.558";"";""
"7";"5U-10R";"10";"5";"0.3237";"0.3288";"5928";"OK";"1.172";"";"";"1.172";"";""
"8";"5U-20R";"20";"5";"0.3210";"0.3252";"6084";"OK";"0.418";"";"";"0.418";"";""
"9";"H-20L";"-20";"0";"0.3138";"0.3153";"6552";"OK";"0.397";"";"";"0.397";"";""
"10";"H-10L";"-10";"0";"0.3207";"0.3241";"6102";"OK";"1.299";"";"";"1.299";"";""
"11";"H-5L";"-5";"0";"0.3223";"0.3261";"6009";"OK";"1.437";"";"";"1.437";"";""
"12";"HV";"0";"0";"0.3233";"0.3275";"5951";"OK";"1.568";"";"";"1.568";"";""
"13";"H-5R";"5";"0";"0.3237";"0.3280";"5930";"OK";"1.480";"";"";"1.480";"";""
"14";"H-10R";"10";"0";"0.3236";"0.3282";"5935";"OK";"1.178";"";"";"1.178";"";""
"15";"H-20R";"20";"0";"0.3212";"0.3251";"6072";"OK";"0.422";"";"";"0.422";"";""
"16";"5D-20L";"-20";"-5";"0.3131";"0.3143";"6608";"OK";"0.345";"";"";"0.345";"";""
"17";"5D-10L";"-10";"-5";"0.3188";"0.3212";"6221";"OK";"1.001";"";"";"1.001";"";""
"18";"5D-V";"0";"-5";"0.3217";"0.3252";"6043";"OK";"1.224";"";"";"1.224";"";""
"19";"5D-10R";"10";"-5";"0.3217";"0.3254";"6045";"OK";"0.922";"";"";"0.922";"";""
"20";"5D-20R";"20";"-5";"0.3200";"0.3236";"6144";"OK";"0.352";"";"";"0.352";"";""
