sep=;
"Name:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #2 COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.4984 V";"Date:";"2025-03-21 ¿ÀÀü 4:55:35"
"Current:";"0.00014 A";"File:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #2 COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3205";"0.3237";"6114";"OK";"1.040";"";"";"1.040";"";""
"2";"10U-V";"0";"10";"0.3209";"0.3245";"6090";"OK";"1.085";"";"";"1.085";"";""
"3";"10U-5R";"5";"10";"0.3209";"0.3244";"6088";"OK";"0.997";"";"";"0.997";"";""
"4";"5U-20L";"-20";"5";"0.3135";"0.3147";"6576";"OK";"0.363";"";"";"0.363";"";""
"5";"5U-10L";"-10";"5";"0.3211";"0.3243";"6081";"OK";"1.254";"";"";"1.254";"";""
"6";"5U-V";"0";"5";"0.3233";"0.3271";"5955";"OK";"1.492";"";"";"1.492";"";""
"7";"5U-10R";"10";"5";"0.3232";"0.3275";"5956";"OK";"1.107";"";"";"1.107";"";""
"8";"5U-20R";"20";"5";"0.3206";"0.3240";"6107";"OK";"0.390";"";"";"0.390";"";""
"9";"H-20L";"-20";"0";"0.3134";"0.3142";"6591";"OK";"0.377";"";"";"0.377";"";""
"10";"H-10L";"-10";"0";"0.3203";"0.3231";"6128";"OK";"1.252";"";"";"1.252";"";""
"11";"H-5L";"-5";"0";"0.3219";"0.3251";"6033";"OK";"1.385";"";"";"1.385";"";""
"12";"HV";"0";"0";"0.3229";"0.3264";"5975";"OK";"1.503";"";"";"1.503";"";""
"13";"H-5R";"5";"0";"0.3233";"0.3269";"5954";"OK";"1.417";"";"";"1.417";"";""
"14";"H-10R";"10";"0";"0.3230";"0.3269";"5967";"OK";"1.118";"";"";"1.118";"";""
"15";"H-20R";"20";"0";"0.3208";"0.3242";"6096";"OK";"0.397";"";"";"0.397";"";""
"16";"5D-20L";"-20";"-5";"0.3126";"0.3132";"6649";"OK";"0.327";"";"";"0.327";"";""
"17";"5D-10L";"-10";"-5";"0.3183";"0.3202";"6255";"OK";"0.958";"";"";"0.958";"";""
"18";"5D-V";"0";"-5";"0.3212";"0.3241";"6074";"OK";"1.167";"";"";"1.167";"";""
"19";"5D-10R";"10";"-5";"0.3212";"0.3243";"6075";"OK";"0.871";"";"";"0.871";"";""
"20";"5D-20R";"20";"-5";"0.3191";"0.3221";"6196";"OK";"0.331";"";"";"0.331";"";""
