sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;65928.900;8.98
2;10;65828.930;8.81
3;20;65718.970;8.62
4;30;65628.990;8.47
5;40;65529.030;8.30
6;50;65449.050;8.16
7;60;65389.070;8.06
8;70;65299.100;7.91
9;80;65179.140;7.70
10;90;65109.160;7.59
11;100;65029.190;7.45
12;110;64949.210;7.31
13;120;64829.250;7.11
14;130;64749.280;6.97
15;140;64669.300;6.84
16;150;64579.330;6.69
17;160;64489.360;6.53
18;170;64409.390;6.40
19;180;64339.410;6.28
20;190;64239.440;6.11
21;200;64159.460;5.97
22;210;64079.490;5.84
23;220;63989.520;5.68
24;230;63899.550;5.53
25;240;63809.580;5.38
26;250;63739.600;5.26
27;260;63669.620;5.14
28;270;63589.650;5.01
29;280;63519.670;4.89
30;290;63409.710;4.70
31;300;63349.730;4.60
32;310;63279.750;4.48
33;320;63209.770;4.36
34;330;63129.800;4.23
35;340;63069.810;4.12
36;350;62989.840;3.99
37;360;62919.860;3.87
38;370;62839.890;3.73
39;380;62749.920;3.58
40;390;62699.930;3.50
41;400;62619.960;3.36
42;410;62539.980;3.22
43;420;62480.000;3.12
44;430;62410.030;3.00
45;440;62340.050;2.88
46;450.016;62280.070;2.78
47;460.016;62220.090;2.68
48;470.016;62160.110;2.58
49;480.016;62110.120;2.49
50;490.016;62030.150;2.36
51;500.016;61960.170;2.24
52;510.016;61920.180;2.17
53;520.016;61870.200;2.09
54;530.016;61800.220;1.97
55;540.016;61740.240;1.87
56;550.016;61680.260;1.76
57;560.016;61650.270;1.71
58;570.016;61570.290;1.58
59;580.016;61520.310;1.49
60;590.016;61480.320;1.43
61;600.016;61420.340;1.32
62;610.016;61350.360;1.20
63;620.016;61330.370;1.17
64;630.016;61260.390;1.05
65;640.016;61240.400;1.02
66;650.016;61170.420;0.90
67;660.016;61110.440;0.80
68;670.016;61070.450;0.73
69;680.016;61020.470;0.64
70;690.016;60990.480;0.59
71;700.016;60940.500;0.51
72;710.016;60890.510;0.42
73;720.016;60840.530;0.34
74;730.016;60790.540;0.25
75;740.016;60760.550;0.20
76;750.016;60730.560;0.15
77;760.016;60680.580;0.07
78;770.016;60640.590;0.00
79;780.016;60600.610;-0.07
80;790.016;60560.620;-0.14
81;800.016;60530.630;-0.19
82;810.016;60500.640;-0.24
83;820.016;60460.650;-0.31
84;830.016;60410.660;-0.39
85;840.016;60390.670;-0.42
86;850.016;60340.690;-0.51
87;860.016;60300.700;-0.58
88;870.016;60290.700;-0.59
89;880.016;60260.710;-0.64
90;890.016;60220.730;-0.71
91;900.016;60180.740;-0.78
92;910.016;60150.750;-0.83
93;920.016;60130.750;-0.87
94;930.016;60090.770;-0.93
95;940.016;60070.770;-0.97
96;950.016;60040.790;-1.02
97;960.016;60020.790;-1.05
98;970.016;60000.800;-1.09
99;980.016;59970.800;-1.14
100;990.016;59940.820;-1.19
101;1000.016;59900.830;-1.26
102;1010.016;59880.840;-1.29
103;1020.016;59840.850;-1.36
104;1030.016;59830.850;-1.37
105;1040.016;59800.860;-1.43
106;1050.016;59760.880;-1.49
107;1060.016;59740.880;-1.53
108;1070.016;59740.880;-1.53
109;1080.016;59710.890;-1.58
110;1090.016;59690.890;-1.61
111;1100.016;59680.900;-1.63
112;1110.016;59640.910;-1.70
113;1120.016;59620.920;-1.73
114;1130.016;59610.920;-1.75
115;1140.016;59590.930;-1.78
116;1150.016;59560.940;-1.83
117;1160.016;59540.950;-1.87
118;1170.016;59550.940;-1.85
119;1180.016;59530.950;-1.88
120;1190.016;59490.960;-1.95
121;1200.016;59490.960;-1.95
122;1210.016;59470.960;-1.99
123;1220.016;59460.970;-2.00
124;1230.016;59430.980;-2.05
125;1240.016;59420.980;-2.07
126;1250.016;59400.990;-2.10
127;1260.016;59371.000;-2.16
128;1270.016;59371.000;-2.16
129;1280.016;59351.000;-2.19
130;1290.016;59331.010;-2.22
131;1300.016;59301.020;-2.27
132;1310.016;59301.020;-2.27
133;1320.016;59291.020;-2.29
134;1330.016;59281.030;-2.31
135;1340.016;59261.040;-2.34
136;1350.016;59241.040;-2.38
137;1360.016;59241.040;-2.38
138;1370.016;59231.040;-2.39
139;1380.016;59211.050;-2.43
140;1390.016;59211.050;-2.43
141;1400.016;59201.050;-2.44
142;1410.016;59181.060;-2.48
143;1420.016;59181.060;-2.48
144;1430.016;59161.070;-2.51
145;1440.016;59151.070;-2.53
146;1450.016;59141.070;-2.55
147;1460.016;59131.070;-2.56
148;1470.016;59131.070;-2.56
149;1480.016;59111.080;-2.60
150;1490.016;59091.090;-2.63
151;1500.016;59091.090;-2.63
152;1510.016;59071.090;-2.66
153;1520.016;59081.090;-2.65
154;1530.016;59061.100;-2.68
155;1540.016;59051.100;-2.70
156;1550.016;59031.110;-2.73
157;1560.016;59031.110;-2.73
158;1570.016;59051.100;-2.70
159;1580.016;59011.110;-2.77
160;1590.016;59011.110;-2.77
161;1600.016;59011.110;-2.77
162;1610.016;58991.120;-2.80
163;1620.016;58991.120;-2.80
164;1630.016;58981.120;-2.82
165;1640.016;58981.120;-2.82
166;1650.016;58981.120;-2.82
167;1660.016;58961.130;-2.85
168;1670.016;58951.130;-2.87
169;1680.016;58951.130;-2.87
170;1690.016;58931.140;-2.90
171;1700.016;58921.140;-2.92
172;1710.016;58931.140;-2.90
173;1720.016;58911.140;-2.94
174;1730.016;58921.140;-2.92
