sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;11030.470;5.15
2;10;11023.470;5.09
3;20;11006.480;4.92
4;30;10999.480;4.85
5;40;10991.480;4.77
6;50;10983.480;4.69
7;60;10969.490;4.56
8;70;10960.490;4.47
9;80;10945.500;4.32
10;90;10943.500;4.30
11;100;10930.500;4.17
12;110;10923.500;4.11
13;120;10918.510;4.06
14;130;10909.510;3.97
15;140;10898.510;3.86
16;150;10885.520;3.73
17;160;10884.520;3.72
18;170;10876.520;3.64
19;180;10862.520;3.51
20;190;10850.530;3.39
21;200;10845.530;3.34
22;210;10833.530;3.22
23;220;10825.540;3.15
24;230;10816.540;3.06
25;240;10812.540;3.02
26;250;10800.540;2.90
27;260;10791.550;2.81
28;270;10785.550;2.75
29;280;10777.550;2.67
30;290;10768.550;2.59
31;300;10758.560;2.49
32;310;10751.560;2.42
33;320;10744.560;2.35
34;330;10732.570;2.23
35;340;10721.570;2.13
36;350;10716.570;2.08
37;360;10709.570;2.01
38;370;10705.570;1.97
39;380;10694.580;1.86
40;390;10685.580;1.77
41;400;10679.580;1.71
42;410;10670.580;1.63
43;420;10665.590;1.58
44;430;10662.590;1.55
45;440;10650.590;1.43
46;450;10642.590;1.35
47;460;10634.600;1.27
48;470;10630.600;1.23
49;480;10618.600;1.12
50;490;10618.600;1.12
51;500;10608.600;1.02
52;510;10605.610;0.99
53;520;10592.610;0.86
54;530;10594.610;0.88
55;540;10587.610;0.81
56;550;10578.610;0.73
57;560;10569.620;0.64
58;570;10563.620;0.58
59;580;10555.620;0.50
60;590;10553.620;0.48
61;600;10548.620;0.43
62;610;10538.630;0.33
63;620;10535.630;0.30
64;630;10530.630;0.25
65;640;10540.630;0.35
66;650;10514.630;0.10
67;660;10513.630;0.09
68;670;10504.640;0.00
69;680;10501.640;-0.03
70;690;10498.640;-0.06
71;700;10489.640;-0.15
72;710;10487.640;-0.17
73;720;10485.640;-0.19
74;730;10477.650;-0.26
75;740;10471.650;-0.32
76;750;10471.650;-0.32
77;760;10471.650;-0.32
78;770;10462.650;-0.41
79;780;10455.650;-0.48
80;790;10454.650;-0.49
81;800;10447.660;-0.56
82;810;10442.660;-0.61
83;820;10437.660;-0.66
84;830;10440.660;-0.63
85;840;10438.660;-0.65
86;850;10426.660;-0.76
87;860;10418.670;-0.84
88;870;10424.660;-0.78
89;880;10409.670;-0.93
90;890;10404.670;-0.98
91;900;10405.670;-0.97
92;910;10402.670;-1.00
93;920;10396.670;-1.06
94;930;10390.670;-1.12
95;940;10382.680;-1.20
96;950;10369.680;-1.32
97;960;10380.680;-1.21
98;970;10372.680;-1.29
99;980;10377.680;-1.24
100;990;10366.680;-1.35
101;1000;10364.680;-1.37
102;1010;10359.680;-1.42
103;1020;10356.690;-1.45
104;1030;10355.690;-1.46
105;1040;10351.690;-1.50
106;1050;10350.690;-1.51
107;1060;10345.690;-1.56
108;1070;10342.690;-1.59
109;1080;10340.690;-1.61
110;1090;10333.690;-1.68
111;1100;10331.690;-1.70
112;1110;10330.690;-1.70
113;1120;10327.690;-1.73
114;1130;10324.700;-1.76
115;1140;10318.700;-1.82
116;1150;10315.700;-1.85
117;1160;10318.700;-1.82
118;1170;10308.700;-1.92
119;1180;10314.700;-1.86
120;1190;10300.700;-2.00
121;1200;10301.700;-1.99
122;1210;10299.700;-2.01
123;1220;10299.700;-2.01
124;1230;10296.700;-2.04
125;1240;10290.710;-2.10
126;1250;10291.710;-2.09
127;1260;10287.710;-2.13
128;1270;10286.710;-2.14
129;1280;10285.710;-2.15
130;1290;10277.710;-2.22
131;1300;10267.710;-2.32
132;1310;10274.710;-2.25
133;1320;10267.710;-2.32
134;1330;10263.710;-2.36
135;1340;10262.720;-2.37
136;1350;10259.720;-2.40
137;1360;10263.710;-2.36
138;1370;10255.720;-2.44
139;1380;10254.720;-2.45
140;1390;10255.720;-2.44
141;1400;10244.720;-2.55
142;1410;10246.720;-2.53
143;1420;10247.720;-2.52
144;1430;10243.720;-2.56
145;1440;10240.720;-2.59
146;1450;10232.720;-2.67
147;1460;10233.720;-2.66
148;1470;10234.720;-2.65
149;1480;10234.720;-2.65
150;1490;10228.730;-2.70
151;1500;10226.730;-2.72
152;1510;10225.730;-2.73
153;1520;10226.730;-2.72
154;1530;10223.730;-2.75
155;1540;10219.730;-2.79
156;1550;10222.730;-2.76
157;1560;10217.730;-2.81
158;1570;10215.730;-2.83
159;1580;10215.730;-2.83
160;1590;10207.730;-2.91
161;1600;10210.730;-2.88
162;1610;10211.730;-2.87
163;1620;10202.730;-2.96
164;1630;10205.730;-2.93
