sep=;
"Name:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) RH #2 1min COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5146 V";"Date:";"2025-03-27 ¿ÀÀü 3:20:55"
"Current:";"0.00001 A";"File:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) RH #2 1min COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5715";"0.4192";"1714";"OK";"388.0";"";"";"388.0";"";""
"2";"10U - 5R";"5";"10";"0.5715";"0.4192";"1714";"OK";"481.5";"";"";"481.5";"";""
"3";"5U - 20L";"-20";"5";"0.5712";"0.4191";"1715";"OK";"132.8";"";"";"132.8";"";""
"4";"5U - 10L";"-10";"5";"0.5720";"0.4187";"1708";"OK";"345.4";"";"";"345.4";"";""
"5";"5U - V";"0";"5";"0.5718";"0.4188";"1710";"OK";"529.3";"";"";"529.3";"";""
"6";"5U - 10R";"10";"5";"0.5717";"0.4189";"1711";"OK";"552.8";"";"";"552.8";"";""
"7";"5U - 20R";"20";"5";"0.5702";"0.4195";"1724";"OK";"221.7";"";"";"221.7";"";""
"8";"H - 10L";"-10";"0";"0.5721";"0.4186";"1707";"OK";"332.2";"";"";"332.2";"";""
"9";"H - 5L";"-5";"0";"0.5720";"0.4186";"1708";"OK";"440.8";"";"";"440.8";"";""
"10";"HV";"0";"0";"0.5719";"0.4186";"1708";"OK";"509.8";"";"";"509.8";"";""
"11";"H - 5R";"5";"0";"0.5718";"0.4187";"1709";"OK";"532.6";"";"";"532.6";"";""
"12";"H - 10R";"10";"0";"0.5717";"0.4188";"1711";"OK";"522.9";"";"";"522.9";"";""
"13";"5D - 20L";"-20";"-5";"0.5713";"0.4188";"1713";"OK";"109.1";"";"";"109.1";"";""
"14";"5D - 10L";"-10";"-5";"0.5719";"0.4185";"1708";"OK";"266.7";"";"";"266.7";"";""
"15";"5D - V";"0";"-5";"0.5717";"0.4186";"1710";"OK";"404.4";"";"";"404.4";"";""
"16";"5D - 10R";"10";"-5";"0.5715";"0.4187";"1712";"OK";"411.6";"";"";"411.6";"";""
"17";"5D - 20R";"20";"-5";"0.5703";"0.4192";"1722";"OK";"189.4";"";"";"189.4";"";""
"18";"10D - 5L";"-5";"-10";"0.5711";"0.4188";"1714";"OK";"216.2";"";"";"216.2";"";""
"19";"10D - 5R";"5";"-10";"0.5706";"0.4191";"1719";"OK";"242.3";"";"";"242.3";"";""
