sep=;
"Name:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) RH #2 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5144 V";"Date:";"2025-03-27 ¿ÀÀü 4:17:32"
"Current:";"0.00001 A";"File:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) RH #2 2025-03-27"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"495.392";"0";"0";"OK";"495.392";"0";"0";"495.392";"0";"0"
"30min H-V";"-";"-";"459.464";"0";"0";"OK";"459.464";"0";"0";"459.464";"0";"0"
"10U - 5L";"35";"1000";"343.514";"-5";"10";"OK";"343.514";"-5";"10";"343.514";"-5";"10"
"10U - 5R";"35";"1000";"433.838";"5";"10";"OK";"433.838";"5";"10";"433.838";"5";"10"
"5U - 20L";"17.5";"1000";"115.553";"-20";"5";"OK";"115.553";"-20";"5";"115.553";"-20";"5"
"5U - 10L";"35";"1000";"306.828";"-10";"5";"OK";"306.828";"-10";"5";"306.828";"-10";"5"
"5U - V";"122.5";"1000";"475.910";"0";"5";"OK";"475.910";"0";"5";"475.910";"0";"5"
"5U - 10R";"35";"1000";"499.837";"10";"5";"OK";"499.837";"10";"5";"499.837";"10";"5"
"5U - 20R";"17.5";"1000";"202.407";"20";"5";"OK";"202.407";"20";"5";"202.407";"20";"5"
"H - 10L";"61.25";"1000";"296.671";"-10";"0";"OK";"296.671";"-10";"0";"296.671";"-10";"0"
"H - 5L";"157.5";"1000";"395.381";"-5";"0";"OK";"395.381";"-5";"0";"395.381";"-5";"0"
"HV";"175";"1000";"459.103";"0";"0";"OK";"459.103";"0";"0";"459.103";"0";"0"
"H - 5R";"157.5";"1000";"482.633";"5";"0";"OK";"482.633";"5";"0";"482.633";"5";"0"
"H - 10R";"61.25";"1000";"474.537";"10";"0";"OK";"474.537";"10";"0";"474.537";"10";"0"
"5D - 20L";"17.5";"1000";"97.119";"-20";"-5";"OK";"97.119";"-20";"-5";"97.119";"-20";"-5"
"5D - 10L";"35";"1000";"239.166";"-10";"-5";"OK";"239.166";"-10";"-5";"239.166";"-10";"-5"
"5D - V";"122.5";"1000";"364.441";"0";"-5";"OK";"364.441";"0";"-5";"364.441";"0";"-5"
"5D - 10R";"35";"1000";"373.225";"10";"-5";"OK";"373.225";"10";"-5";"373.225";"10";"-5"
"5D - 20R";"17.5";"1000";"173.094";"20";"-5";"OK";"173.094";"20";"-5";"173.094";"20";"-5"
"10D - 5L";"35";"1000";"193.227";"-5";"-10";"OK";"193.227";"-5";"-10";"193.227";"-5";"-10"
"10D - 5R";"35";"1000";"219.214";"5";"-10";"OK";"219.214";"5";"-10";"219.214";"5";"-10"
"MIN/MAX";"0.3";"1000";"(0.614) 501.825";"(-45) 4.9";"(-15) 4";"OK";"0.614";"-45";"-15";"501.825";"4.9";"4"
