sep=;
"Name:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) RH #2 COLOR 2025-03-27"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"James Kim"
"Voltage:";"13.5145 V";"Date:";"2025-03-27 ¿ÀÀü 4:20:44"
"Current:";"0.00008 A";"File:";"CE FL DOM HL LED T-SIG (STD ASSY-LED) RH #2 COLOR 2025-03-27"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.5714";"0.4181";"1709";"OK";"340.8";"";"";"340.8";"";""
"2";"10U - 5R";"5";"10";"0.5714";"0.4182";"1709";"OK";"430.9";"";"";"430.9";"";""
"3";"5U - 20L";"-20";"5";"0.5711";"0.4182";"1711";"OK";"114.7";"";"";"114.7";"";""
"4";"5U - 10L";"-10";"5";"0.5719";"0.4179";"1705";"OK";"304.8";"";"";"304.8";"";""
"5";"5U - V";"0";"5";"0.5718";"0.4180";"1706";"OK";"473.3";"";"";"473.3";"";""
"6";"5U - 10R";"10";"5";"0.5716";"0.4181";"1708";"OK";"497.7";"";"";"497.7";"";""
"7";"5U - 20R";"20";"5";"0.5700";"0.4188";"1721";"OK";"201.3";"";"";"201.3";"";""
"8";"H - 10L";"-10";"0";"0.5719";"0.4178";"1704";"OK";"295.1";"";"";"295.1";"";""
"9";"H - 5L";"-5";"0";"0.5718";"0.4179";"1705";"OK";"393.4";"";"";"393.4";"";""
"10";"HV";"0";"0";"0.5718";"0.4179";"1705";"OK";"457.1";"";"";"457.1";"";""
"11";"H - 5R";"5";"0";"0.5716";"0.4180";"1707";"OK";"481.1";"";"";"481.1";"";""
"12";"H - 10R";"10";"0";"0.5715";"0.4181";"1708";"OK";"473.0";"";"";"473.0";"";""
"13";"5D - 20L";"-20";"-5";"0.5711";"0.4181";"1711";"OK";"96.6";"";"";"96.6";"";""
"14";"5D - 10L";"-10";"-5";"0.5717";"0.4179";"1706";"OK";"238.2";"";"";"238.2";"";""
"15";"5D - V";"0";"-5";"0.5715";"0.4180";"1708";"OK";"363.5";"";"";"363.5";"";""
"16";"5D - 10R";"10";"-5";"0.5712";"0.4182";"1710";"OK";"372.6";"";"";"372.6";"";""
"17";"5D - 20R";"20";"-5";"0.5700";"0.4187";"1720";"OK";"172.3";"";"";"172.3";"";""
"18";"10D - 5L";"-5";"-10";"0.5709";"0.4183";"1713";"OK";"192.8";"";"";"192.8";"";""
"19";"10D - 5R";"5";"-10";"0.5704";"0.4185";"1717";"OK";"219.3";"";"";"219.3";"";""
