sep=;
"Name:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#1 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8152 V";"Date:";"2025-09-11 ¿ÀÈÄ 9:05:51"
"Current:";"1.19637 A";"File:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#1 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"5U-10L";"-10";"5";"0.3229";"0.3250";"5980";"OK";"333.4";"";"";"333.4";"";""
"2";"5U-V";"0";"5";"0.3233";"0.3252";"5962";"OK";"395.9";"";"";"395.9";"";""
"3";"5U-10R";"10";"5";"0.3213";"0.3222";"6078";"OK";"284.3";"";"";"284.3";"";""
"4";"H-20L";"-20";"0";"0.3196";"0.3207";"6181";"OK";"184.6";"";"";"184.6";"";""
"5";"H-10L";"-10";"0";"0.3231";"0.3252";"5969";"OK";"364.9";"";"";"364.9";"";""
"6";"H-5L";"-5";"0";"0.3247";"0.3270";"5879";"OK";"474.4";"";"";"474.4";"";""
"7";"H-V";"0";"0";"0.3247";"0.3268";"5880";"OK";"500.8";"";"";"500.8";"";""
"8";"H-5R";"5";"0";"0.3242";"0.3259";"5909";"OK";"470.0";"";"";"470.0";"";""
"9";"H-10R";"10";"0";"0.3234";"0.3246";"5955";"OK";"382.9";"";"";"382.9";"";""
"10";"H-20R";"20";"0";"0.3234";"0.3252";"5954";"OK";"210.0";"";"";"210.0";"";""
"11";"5D-10L";"-10";"-5";"0.3229";"0.3248";"5984";"OK";"326.6";"";"";"326.6";"";""
"12";"5D-V";"0";"-5";"0.3251";"0.3271";"5863";"OK";"452.6";"";"";"452.6";"";""
"13";"5D-10R";"10";"-5";"0.3230";"0.3241";"5978";"OK";"322.2";"";"";"322.2";"";""
