sep=;
"Name:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#2 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8162 V";"Date:";"2025-09-11 ¿ÀÈÄ 11:59:08"
"Current:";"1.47889 A";"File:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#2 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1MIN";"-";"-";"350.7789";"0";"0";"OK";"350.7789";"0";"0";"350.7789";"0";"0"
"30MIN";"-";"-";"331.8033";"0";"0";"OK";"331.8033";"0";"0";"331.8033";"0";"0"
"5U-10L";"100";"2500";"252.9006";"-10";"5";"OK";"252.9006";"-10";"5";"252.9006";"-10";"5"
"5U-V";"350";"2500";"295.0085";"0";"5";"NG";"295.0085";"0";"5";"295.0085";"0";"5"
"5U-10R";"100";"2500";"232.9490";"10";"5";"OK";"232.9490";"10";"5";"232.9490";"10";"5"
"H-20L";"50";"2500";"167.5643";"-20";"0";"OK";"167.5643";"-20";"0";"167.5643";"-20";"0"
"H-10L";"350";"2500";"269.9968";"-10";"0";"NG";"269.9968";"-10";"0";"269.9968";"-10";"0"
"H-5L";"450";"2500";"316.1167";"-5";"0";"NG";"316.1167";"-5";"0";"316.1167";"-5";"0"
"H-V";"500";"2500";"331.5503";"0";"0";"NG";"331.5503";"0";"0";"331.5503";"0";"0"
"H-5R";"450";"2500";"312.3577";"5";"0";"NG";"312.3577";"5";"0";"312.3577";"5";"0"
"H-10R";"350";"2500";"258.6114";"10";"0";"NG";"258.6114";"10";"0";"258.6114";"10";"0"
"H-20R";"50";"2500";"144.0344";"20";"0";"OK";"144.0344";"20";"0";"144.0344";"20";"0"
"5D-10L";"100";"2500";"241.3345";"-10";"-5";"OK";"241.3345";"-10";"-5";"241.3345";"-10";"-5"
"5D-V";"350";"2500";"300.2494";"0";"-5";"NG";"300.2494";"0";"-5";"300.2494";"0";"-5"
"5D-10R";"100";"2500";"230.2382";"10";"-5";"OK";"230.2382";"10";"-5";"230.2382";"10";"-5"
