sep=;
"Name:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#3 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8161 V";"Date:";"2025-09-12 ¿ÀÀü 1:41:11"
"Current:";"1.48198 A";"File:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#3 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1MIN";"-";"-";"614.8119";"0";"0";"OK";"614.8119";"0";"0";"614.8119";"0";"0"
"30MIN";"-";"-";"589.1495";"0";"0";"OK";"589.1495";"0";"0";"589.1495";"0";"0"
"5U-10L";"100";"2500";"405.6096";"-10";"5";"OK";"405.6096";"-10";"5";"405.6096";"-10";"5"
"5U-V";"350";"2500";"474.2473";"0";"5";"OK";"474.2473";"0";"5";"474.2473";"0";"5"
"5U-10R";"100";"2500";"327.7551";"10";"5";"OK";"327.7551";"10";"5";"327.7551";"10";"5"
"H-20L";"50";"2500";"213.8649";"-20";"0";"OK";"213.8649";"-20";"0";"213.8649";"-20";"0"
"H-10L";"350";"2500";"435.4647";"-10";"0";"OK";"435.4647";"-10";"0";"435.4647";"-10";"0"
"H-5L";"450";"2500";"566.9570";"-5";"0";"OK";"566.9570";"-5";"0";"566.9570";"-5";"0"
"H-V";"500";"2500";"589.3664";"0";"0";"OK";"589.3664";"0";"0";"589.3664";"0";"0"
"H-5R";"450";"2500";"548.9573";"5";"0";"OK";"548.9573";"5";"0";"548.9573";"5";"0"
"H-10R";"350";"2500";"452.2355";"10";"0";"OK";"452.2355";"10";"0";"452.2355";"10";"0"
"H-20R";"50";"2500";"244.9850";"20";"0";"OK";"244.9850";"20";"0";"244.9850";"20";"0"
"5D-10L";"100";"2500";"385.4773";"-10";"-5";"OK";"385.4773";"-10";"-5";"385.4773";"-10";"-5"
"5D-V";"350";"2500";"530.8129";"0";"-5";"OK";"530.8129";"0";"-5";"530.8129";"0";"-5"
"5D-10R";"100";"2500";"371.4534";"10";"-5";"OK";"371.4534";"10";"-5";"371.4534";"10";"-5"
