sep=;
"Name:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#3 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8159 V";"Date:";"2025-09-12 ¿ÀÀü 1:43:16"
"Current:";"1.46580 A";"File:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#3 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"5U-10L";"-10";"5";"0.3229";"0.3253";"5983";"OK";"406.7";"";"";"406.7";"";""
"2";"5U-V";"0";"5";"0.3227";"0.3248";"5993";"OK";"475.4";"";"";"475.4";"";""
"3";"5U-10R";"10";"5";"0.3210";"0.3222";"6095";"OK";"328.6";"";"";"328.6";"";""
"4";"H-20L";"-20";"0";"0.3202";"0.3219";"6140";"OK";"214.3";"";"";"214.3";"";""
"5";"H-10L";"-10";"0";"0.3230";"0.3254";"5977";"OK";"436.5";"";"";"436.5";"";""
"6";"H-5L";"-5";"0";"0.3243";"0.3269";"5900";"OK";"567.6";"";"";"567.6";"";""
"7";"H-V";"0";"0";"0.3241";"0.3262";"5917";"OK";"590.0";"";"";"590.0";"";""
"8";"H-5R";"5";"0";"0.3237";"0.3254";"5941";"OK";"548.9";"";"";"548.9";"";""
"9";"H-10R";"10";"0";"0.3230";"0.3244";"5979";"OK";"452.0";"";"";"452.0";"";""
"10";"H-20R";"20";"0";"0.3238";"0.3258";"5933";"OK";"245.6";"";"";"245.6";"";""
"11";"5D-10L";"-10";"-5";"0.3225";"0.3248";"6001";"OK";"386.4";"";"";"386.4";"";""
"12";"5D-V";"0";"-5";"0.3245";"0.3268";"5892";"OK";"531.0";"";"";"531.0";"";""
"13";"5D-10R";"10";"-5";"0.3229";"0.3242";"5984";"OK";"371.5";"";"";"371.5";"";""
