sep=;
"Name:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#1 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5149 V";"Date:";"2025-09-11 ¿ÀÈÄ 10:58:03"
"Current:";"0.37854 A";"File:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#1 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"49.4560";"0";"0";"OK";"49.4560";"0";"0";"49.4560";"0";"0"
"30min H-V";"-";"-";"49.8934";"0";"0";"OK";"49.8934";"0";"0";"49.8934";"0";"0"
"10U - 5L";"0.8";"125";"24.8130";"-5";"10";"OK";"24.8130";"-5";"10";"24.8130";"-5";"10"
"10U - 5R";"0.8";"125";"21.1985";"5";"10";"OK";"21.1985";"5";"10";"21.1985";"5";"10"
"5U - 20L";"0.4";"125";"17.8661";"-20";"5";"OK";"17.8661";"-20";"5";"17.8661";"-20";"5"
"5U - 10L";"0.8";"125";"33.1044";"-10";"5";"OK";"33.1044";"-10";"5";"33.1044";"-10";"5"
"5U - V";"2.8";"125";"39.5309";"0";"5";"OK";"39.5309";"0";"5";"39.5309";"0";"5"
"5U - 10R";"0.8";"125";"28.4997";"10";"5";"OK";"28.4997";"10";"5";"28.4997";"10";"5"
"5U - 20R";"0.4";"125";"14.4034";"20";"5";"OK";"14.4034";"20";"5";"14.4034";"20";"5"
"H - 10L";"1.4";"125";"36.1839";"-10";"0";"OK";"36.1839";"-10";"0";"36.1839";"-10";"0"
"H - 5L";"3.6";"125";"47.1609";"-5";"0";"OK";"47.1609";"-5";"0";"47.1609";"-5";"0"
"H - V";"4";"125";"49.8898";"0";"0";"OK";"49.8898";"0";"0";"49.8898";"0";"0"
"H - 5R";"3.6";"125";"46.9115";"5";"0";"OK";"46.9115";"5";"0";"46.9115";"5";"0"
"H - 10R";"1.4";"125";"38.3020";"10";"0";"OK";"38.3020";"10";"0";"38.3020";"10";"0"
"5D - 20L";"0.4";"250";"15.5384";"-20";"-5";"OK";"15.5384";"-20";"-5";"15.5384";"-20";"-5"
"5D - 10L";"0.8";"250";"32.3129";"-10";"-5";"OK";"32.3129";"-10";"-5";"32.3129";"-10";"-5"
"5D - V";"2.8";"250";"44.9922";"0";"-5";"OK";"44.9922";"0";"-5";"44.9922";"0";"-5"
"5D - 10R";"0.8";"250";"32.1321";"10";"-5";"OK";"32.1321";"10";"-5";"32.1321";"10";"-5"
"5D - 20R";"0.4";"250";"21.0467";"20";"-5";"OK";"21.0467";"20";"-5";"21.0467";"20";"-5"
"10D - 5L";"0.8";"250";"20.5841";"-5";"-10";"OK";"20.5841";"-5";"-10";"20.5841";"-5";"-10"
"10D - 5R";"0.8";"250";"18.3179";"5";"-10";"OK";"18.3179";"5";"-10";"18.3179";"5";"-10"
