sep=;
"Name:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#1 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5154 V";"Date:";"2025-09-11 ¿ÀÈÄ 11:01:15"
"Current:";"0.37233 A";"File:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#1 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.3222";"0.3265";"6011";"OK";"0.038";"";"";"0.038";"";""
"2";"10U - 5R";"5";"10";"0.3209";"0.3244";"6091";"OK";"0.032";"";"";"0.032";"";""
"3";"5U - 20L";"-20";"5";"0.3201";"0.3240";"6134";"OK";"0.024";"";"";"0.024";"";""
"4";"5U - 10L";"-10";"5";"0.3236";"0.3283";"5933";"OK";"0.050";"";"";"0.050";"";""
"5";"5U - V";"0";"5";"0.3239";"0.3286";"5917";"OK";"0.063";"";"";"0.063";"";""
"6";"5U - 10R";"10";"5";"0.3220";"0.3257";"6025";"OK";"0.043";"";"";"0.043";"";""
"7";"5U - 20R";"20";"5";"0.3217";"0.3252";"6047";"OK";"0.019";"";"";"0.019";"";""
"8";"H - 10L";"-10";"0";"0.3237";"0.3286";"5927";"OK";"0.056";"";"";"0.056";"";""
"9";"H - 5L";"-5";"0";"0.3255";"0.3304";"5835";"OK";"0.075";"";"";"0.075";"";""
"10";"H - V";"0";"0";"0.3254";"0.3303";"5838";"OK";"0.080";"";"";"0.080";"";""
"11";"H - 5R";"5";"0";"0.3249";"0.3293";"5867";"OK";"0.074";"";"";"0.074";"";""
"12";"H - 10R";"10";"0";"0.3241";"0.3281";"5907";"OK";"0.059";"";"";"0.059";"";""
"13";"5D - 20L";"-20";"-5";"0.3199";"0.3235";"6148";"OK";"0.020";"";"";"0.020";"";""
"14";"5D - 10L";"-10";"-5";"0.3236";"0.3281";"5936";"OK";"0.049";"";"";"0.049";"";""
"15";"5D - V";"0";"-5";"0.3258";"0.3305";"5819";"OK";"0.071";"";"";"0.071";"";""
"16";"5D - 10R";"10";"-5";"0.3239";"0.3277";"5920";"OK";"0.049";"";"";"0.049";"";""
"17";"5D - 20R";"20";"-5";"0.3246";"0.3294";"5880";"OK";"0.028";"";"";"0.028";"";""
"18";"10D - 5L";"-5";"-10";"0.3225";"0.3262";"5999";"OK";"0.031";"";"";"0.031";"";""
"19";"10D - 5R";"5";"-10";"0.3215";"0.3243";"6059";"OK";"0.028";"";"";"0.028";"";""
