sep=;
"Name:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#2 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5139 V";"Date:";"2025-09-12 ¿ÀÀü 12:08:21"
"Current:";"0.37361 A";"File:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#2 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.3244";"0.3288";"5892";"OK";"0.034";"";"";"0.034";"";""
"2";"10U - 5R";"5";"10";"0.3236";"0.3275";"5938";"OK";"0.032";"";"";"0.032";"";""
"3";"5U - 20L";"-20";"5";"0.3225";"0.3262";"6000";"OK";"0.021";"";"";"0.021";"";""
"4";"5U - 10L";"-10";"5";"0.3260";"0.3308";"5806";"OK";"0.037";"";"";"0.037";"";""
"5";"5U - V";"0";"5";"0.3270";"0.3316";"5755";"OK";"0.046";"";"";"0.046";"";""
"6";"5U - 10R";"10";"5";"0.3256";"0.3299";"5832";"OK";"0.035";"";"";"0.035";"";""
"7";"5U - 20R";"20";"5";"0.3244";"0.3282";"5895";"OK";"0.017";"";"";"0.017";"";""
"8";"H - 10L";"-10";"0";"0.3267";"0.3316";"5773";"OK";"0.041";"";"";"0.041";"";""
"9";"H - 5L";"-5";"0";"0.3281";"0.3332";"5701";"OK";"0.049";"";"";"0.049";"";""
"10";"H - V";"0";"0";"0.3286";"0.3337";"5680";"OK";"0.052";"";"";"0.052";"";""
"11";"H - 5R";"5";"0";"0.3284";"0.3330";"5688";"OK";"0.049";"";"";"0.049";"";""
"12";"H - 10R";"10";"0";"0.3276";"0.3320";"5727";"OK";"0.039";"";"";"0.039";"";""
"13";"5D - 20L";"-20";"-5";"0.3219";"0.3259";"6031";"OK";"0.020";"";"";"0.020";"";""
"14";"5D - 10L";"-10";"-5";"0.3259";"0.3307";"5811";"OK";"0.036";"";"";"0.036";"";""
"15";"5D - V";"0";"-5";"0.3283";"0.3332";"5692";"OK";"0.047";"";"";"0.047";"";""
"16";"5D - 10R";"10";"-5";"0.3273";"0.3319";"5741";"OK";"0.034";"";"";"0.034";"";""
"17";"5D - 20R";"20";"-5";"0.3272";"0.3320";"5748";"OK";"0.017";"";"";"0.017";"";""
"18";"10D - 5L";"-5";"-10";"0.3247";"0.3289";"5876";"OK";"0.032";"";"";"0.032";"";""
"19";"10D - 5R";"5";"-10";"0.3254";"0.3292";"5842";"OK";"0.030";"";"";"0.030";"";""
