sep=;
"Name:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#3 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5153 V";"Date:";"2025-09-12 ¿ÀÀü 1:49:05"
"Current:";"0.36535 A";"File:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#3 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"56.6849";"0";"0";"OK";"56.6849";"0";"0";"56.6849";"0";"0"
"30min H-V";"-";"-";"56.6885";"0";"0";"OK";"56.6885";"0";"0";"56.6885";"0";"0"
"10U - 5L";"0.8";"125";"27.7117";"-5";"10";"OK";"27.7117";"-5";"10";"27.7117";"-5";"10"
"10U - 5R";"0.8";"125";"22.3588";"5";"10";"OK";"22.3588";"5";"10";"22.3588";"5";"10"
"5U - 20L";"0.4";"125";"20.1431";"-20";"5";"OK";"20.1431";"-20";"5";"20.1431";"-20";"5"
"5U - 10L";"0.8";"125";"39.1152";"-10";"5";"OK";"39.1152";"-10";"5";"39.1152";"-10";"5"
"5U - V";"2.8";"125";"45.7476";"0";"5";"OK";"45.7476";"0";"5";"45.7476";"0";"5"
"5U - 10R";"0.8";"125";"31.6478";"10";"5";"OK";"31.6478";"10";"5";"31.6478";"10";"5"
"5U - 20R";"0.4";"125";"15.2709";"20";"5";"OK";"15.2709";"20";"5";"15.2709";"20";"5"
"H - 10L";"1.4";"125";"42.1115";"-10";"0";"OK";"42.1115";"-10";"0";"42.1115";"-10";"0"
"H - 5L";"3.6";"125";"54.8487";"-5";"0";"OK";"54.8487";"-5";"0";"54.8487";"-5";"0"
"H - V";"4";"125";"57.0535";"0";"0";"OK";"57.0535";"0";"0";"57.0535";"0";"0"
"H - 5R";"3.6";"125";"53.1789";"5";"0";"OK";"53.1789";"5";"0";"53.1789";"5";"0"
"H - 10R";"1.4";"125";"43.8429";"10";"0";"OK";"43.8429";"10";"0";"43.8429";"10";"0"
"5D - 20L";"0.4";"250";"17.2769";"-20";"-5";"OK";"17.2769";"-20";"-5";"17.2769";"-20";"-5"
"5D - 10L";"0.8";"250";"37.4417";"-10";"-5";"OK";"37.4417";"-10";"-5";"37.4417";"-10";"-5"
"5D - V";"2.8";"250";"51.5885";"0";"-5";"OK";"51.5885";"0";"-5";"51.5885";"0";"-5"
"5D - 10R";"0.8";"250";"36.1405";"10";"-5";"OK";"36.1405";"10";"-5";"36.1405";"10";"-5"
"5D - 20R";"0.4";"250";"24.0142";"20";"-5";"OK";"24.0142";"20";"-5";"24.0142";"20";"-5"
"10D - 5L";"0.8";"250";"22.0479";"-5";"-10";"OK";"22.0479";"-5";"-10";"22.0479";"-5";"-10"
"10D - 5R";"0.8";"250";"18.2636";"5";"-10";"OK";"18.2636";"5";"-10";"18.2636";"5";"-10"
