sep=;
"Name:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#1 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5156 V";"Date:";"2025-09-11 ¿ÀÈÄ 9:03:46"
"Current:";"1.12794 A";"File:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#1 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"423.7540";"0";"0";"OK";"423.7540";"0";"0";"423.7540";"0";"0"
"10min H-V";"-";"-";"401.5614";"0";"0";"OK";"401.5614";"0";"0";"401.5614";"0";"0"
"30min H-V";"-";"-";"393.6459";"0";"0";"OK";"393.6459";"0";"0";"393.6459";"0";"0"
"10U  - 5L";"40";"-";"192.6844";"-5";"10";"OK";"192.6844";"-5";"10";"192.6844";"-5";"10"
"10U  - 5R";"40";"-";"164.0944";"5";"10";"OK";"164.0944";"5";"10";"164.0944";"5";"10"
"5U  - 20L";"25";"-";"138.6851";"-20";"5";"OK";"138.6851";"-20";"5";"138.6851";"-20";"5"
"5U  - 10L";"75";"-";"260.5270";"-10";"5";"OK";"260.5270";"-10";"5";"260.5270";"-10";"5"
"5U  - V";"175";"-";"310.4059";"0";"5";"OK";"310.4059";"0";"5";"310.4059";"0";"5"
"5U  - 10R";"75";"-";"220.2263";"10";"5";"OK";"220.2263";"10";"5";"220.2263";"10";"5"
"5U  - 20R";"25";"-";"110.5649";"20";"5";"OK";"110.5649";"20";"5";"110.5649";"20";"5"
"H - 10L";"100";"-";"285.7556";"-10";"0";"OK";"285.7556";"-10";"0";"285.7556";"-10";"0"
"H - 5L";"200";"-";"373.3690";"-5";"0";"OK";"373.3690";"-5";"0";"373.3690";"-5";"0"
"H - V";"200";"-";"393.4290";"0";"0";"OK";"393.4290";"0";"0";"393.4290";"0";"0"
"H - 5R";"200";"-";"368.3811";"5";"0";"OK";"368.3811";"5";"0";"368.3811";"5";"0"
"H - 10R";"100";"-";"297.3217";"10";"0";"OK";"297.3217";"10";"0";"297.3217";"10";"0"
"5D  - 20L";"25";"-";"120.6492";"-20";"-5";"OK";"120.6492";"-20";"-5";"120.6492";"-20";"-5"
"5D  - 10L";"75";"-";"254.9608";"-10";"-5";"OK";"254.9608";"-10";"-5";"254.9608";"-10";"-5"
"5D  - V";"175";"-";"355.3692";"0";"-5";"OK";"355.3692";"0";"-5";"355.3692";"0";"-5"
"5D  - 10R";"75";"-";"248.1657";"10";"-5";"OK";"248.1657";"10";"-5";"248.1657";"10";"-5"
"5D  - 20R";"25";"-";"161.2029";"20";"-5";"OK";"161.2029";"20";"-5";"161.2029";"20";"-5"
"10D - 5L";"40";"-";"161.4920";"-5";"-10";"OK";"161.4920";"-5";"-10";"161.4920";"-5";"-10"
"10D - 5R";"40";"-";"142.4079";"5";"-10";"OK";"142.4079";"5";"-10";"142.4079";"5";"-10"
"Visibility";"0.3";"-";"";"";"";"";"";"";"";"";"";""
