sep=;
"Name:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#1 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5156 V";"Date:";"2025-09-11 ¿ÀÈÄ 10:16:54"
"Current:";"1.12794 A";"File:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#1 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U  - 5L";"-5";"10";"0.5734";"0.4159";"1685";"OK";"194.6";"";"";"194.6";"";""
"2";"10U  - 5R";"5";"10";"0.5732";"0.4160";"1687";"OK";"165.6";"";"";"165.6";"";""
"3";"5U  - 20L";"-20";"5";"0.5732";"0.4159";"1686";"OK";"140.0";"";"";"140.0";"";""
"4";"5U  - 10L";"-10";"5";"0.5737";"0.4159";"1683";"OK";"263.1";"";"";"263.1";"";""
"5";"5U  - V";"0";"5";"0.5737";"0.4158";"1683";"OK";"313.2";"";"";"313.2";"";""
"6";"5U  - 10R";"10";"5";"0.5733";"0.4159";"1685";"OK";"222.2";"";"";"222.2";"";""
"7";"5U  - 20R";"20";"5";"0.5735";"0.4156";"1683";"OK";"111.6";"";"";"111.6";"";""
"8";"H - 10L";"-10";"0";"0.5737";"0.4158";"1683";"OK";"288.6";"";"";"288.6";"";""
"9";"H - 5L";"-5";"0";"0.5740";"0.4157";"1680";"OK";"377.1";"";"";"377.1";"";""
"10";"H - V";"0";"0";"0.5740";"0.4157";"1680";"OK";"397.2";"";"";"397.2";"";""
"11";"H - 5R";"5";"0";"0.5739";"0.4156";"1680";"OK";"371.7";"";"";"371.7";"";""
"12";"H - 10R";"10";"0";"0.5738";"0.4156";"1681";"OK";"300.0";"";"";"300.0";"";""
"13";"5D  - 20L";"-20";"-5";"0.5731";"0.4159";"1687";"OK";"121.9";"";"";"121.9";"";""
"14";"5D  - 10L";"-10";"-5";"0.5737";"0.4158";"1683";"OK";"257.6";"";"";"257.6";"";""
"15";"5D  - V";"0";"-5";"0.5741";"0.4155";"1679";"OK";"358.4";"";"";"358.4";"";""
"16";"5D  - 10R";"10";"-5";"0.5737";"0.4157";"1682";"OK";"250.1";"";"";"250.1";"";""
"17";"5D  - 20R";"20";"-5";"0.5740";"0.4155";"1679";"OK";"162.6";"";"";"162.6";"";""
"18";"10D - 5L";"-5";"-10";"0.5736";"0.4157";"1683";"OK";"162.9";"";"";"162.9";"";""
"19";"10D - 5R";"5";"-10";"0.5733";"0.4159";"1686";"OK";"143.5";"";"";"143.5";"";""
