sep=;
"Name:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#2 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5154 V";"Date:";"2025-09-12 ¿ÀÀü 12:53:43"
"Current:";"1.15352 A";"File:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#2 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"253.7188";"0";"0";"OK";"253.7188";"0";"0";"253.7188";"0";"0"
"10min H-V";"-";"-";"241.1228";"0";"0";"OK";"241.1228";"0";"0";"241.1228";"0";"0"
"30min H-V";"-";"-";"236.3244";"0";"0";"OK";"236.3244";"0";"0";"236.3244";"0";"0"
"10U  - 5L";"40";"-";"160.2487";"-5";"10";"OK";"160.2487";"-5";"10";"160.2487";"-5";"10"
"10U  - 5R";"40";"-";"149.2522";"5";"10";"OK";"149.2522";"5";"10";"149.2522";"5";"10"
"5U  - 20L";"25";"-";"116.9626";"-20";"5";"OK";"116.9626";"-20";"5";"116.9626";"-20";"5"
"5U  - 10L";"75";"-";"179.4426";"-10";"5";"OK";"179.4426";"-10";"5";"179.4426";"-10";"5"
"5U  - V";"175";"-";"209.2330";"0";"5";"OK";"209.2330";"0";"5";"209.2330";"0";"5"
"5U  - 10R";"75";"-";"162.2481";"10";"5";"OK";"162.2481";"10";"5";"162.2481";"10";"5"
"5U  - 20R";"25";"-";"91.3708";"20";"5";"OK";"91.3708";"20";"5";"91.3708";"20";"5"
"H - 10L";"100";"-";"192.7383";"-10";"0";"OK";"192.7383";"-10";"0";"192.7383";"-10";"0"
"H - 5L";"200";"-";"225.9277";"-5";"0";"OK";"225.9277";"-5";"0";"225.9277";"-5";"0"
"H - V";"200";"-";"236.1244";"0";"0";"OK";"236.1244";"0";"0";"236.1244";"0";"0"
"H - 5R";"200";"-";"220.7294";"5";"0";"OK";"220.7294";"5";"0";"220.7294";"5";"0"
"H - 10R";"100";"-";"180.4422";"10";"0";"OK";"180.4422";"10";"0";"180.4422";"10";"0"
"5D  - 20L";"25";"-";"107.1657";"-20";"-5";"OK";"107.1657";"-20";"-5";"107.1657";"-20";"-5"
"5D  - 10L";"75";"-";"172.4448";"-10";"-5";"OK";"172.4448";"-10";"-5";"172.4448";"-10";"-5"
"5D  - V";"175";"-";"213.6316";"0";"-5";"OK";"213.6316";"0";"-5";"213.6316";"0";"-5"
"5D  - 10R";"75";"-";"160.5486";"10";"-5";"OK";"160.5486";"10";"-5";"160.5486";"10";"-5"
"5D  - 20R";"25";"-";"88.7716";"20";"-5";"OK";"88.7716";"20";"-5";"88.7716";"20";"-5"
"10D - 5L";"40";"-";"150.0520";"-5";"-10";"OK";"150.0520";"-5";"-10";"150.0520";"-5";"-10"
"10D - 5R";"40";"-";"141.5547";"5";"-10";"OK";"141.5547";"5";"-10";"141.5547";"5";"-10"
