sep=;
"Name:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#2 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5151 V";"Date:";"2025-09-12 ¿ÀÀü 12:56:54"
"Current:";"1.13315 A";"File:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#2 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U  - 5L";"-5";"10";"0.5739";"0.4156";"1680";"OK";"161.1";"";"";"161.1";"";""
"2";"10U  - 5R";"5";"10";"0.5737";"0.4157";"1682";"OK";"150.7";"";"";"150.7";"";""
"3";"5U  - 20L";"-20";"5";"0.5737";"0.4156";"1681";"OK";"116.2";"";"";"116.2";"";""
"4";"5U  - 10L";"-10";"5";"0.5743";"0.4154";"1677";"OK";"179.6";"";"";"179.6";"";""
"5";"5U  - V";"0";"5";"0.5744";"0.4154";"1676";"OK";"210.4";"";"";"210.4";"";""
"6";"5U  - 10R";"10";"5";"0.5743";"0.4154";"1677";"OK";"164.8";"";"";"164.8";"";""
"7";"5U  - 20R";"20";"5";"0.5741";"0.4153";"1678";"OK";"93.5";"";"";"93.5";"";""
"8";"H - 10L";"-10";"0";"0.5744";"0.4154";"1676";"OK";"192.5";"";"";"192.5";"";""
"9";"H - 5L";"-5";"0";"0.5747";"0.4153";"1674";"OK";"226.4";"";"";"226.4";"";""
"10";"H - V";"0";"0";"0.5748";"0.4152";"1673";"OK";"237.6";"";"";"237.6";"";""
"11";"H - 5R";"5";"0";"0.5747";"0.4152";"1673";"OK";"223.1";"";"";"223.1";"";""
"12";"H - 10R";"10";"0";"0.5747";"0.4152";"1673";"OK";"183.7";"";"";"183.7";"";""
"13";"5D  - 20L";"-20";"-5";"0.5736";"0.4156";"1682";"OK";"106.2";"";"";"106.2";"";""
"14";"5D  - 10L";"-10";"-5";"0.5743";"0.4154";"1677";"OK";"171.9";"";"";"171.9";"";""
"15";"5D  - V";"0";"-5";"0.5747";"0.4152";"1673";"OK";"214.9";"";"";"214.9";"";""
"16";"5D  - 10R";"10";"-5";"0.5746";"0.4152";"1674";"OK";"163.3";"";"";"163.3";"";""
"17";"5D  - 20R";"20";"-5";"0.5746";"0.4152";"1674";"OK";"90.8";"";"";"90.8";"";""
"18";"10D - 5L";"-5";"-10";"0.5740";"0.4155";"1679";"OK";"150.1";"";"";"150.1";"";""
"19";"10D - 5R";"5";"-10";"0.5740";"0.4155";"1679";"OK";"142.8";"";"";"142.8";"";""
