"Name:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) LH #1 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5040 V";"Date:";"2025-07-02 ¿ÀÀü 12:51:26"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) LH #1 2025-07-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"575.464";"0";"0";"OK";"575.464";"0";"0";"575.464";"0";"0"
"10min H-V";"-";"-";"506.520";"0";"0";"OK";"506.520";"0";"0";"506.520";"0";"0"
"30min H-V";"-";"-";"486.608";"0";"0";"OK";"486.608";"0";"0";"486.608";"0";"0"
"10U  - 5L";"100";"-";"362.429";"-5";"10";"OK";"362.429";"-5";"10";"362.429";"-5";"10"
"10U  - 5R";"100";"-";"368.833";"5";"10";"OK";"368.833";"5";"10";"368.833";"5";"10"
"5U  - 20L";"62.5";"-";"191.921";"-20";"5";"OK";"191.921";"-20";"5";"191.921";"-20";"5"
"5U  - 10L";"187.5";"-";"348.020";"-10";"5";"OK";"348.020";"-10";"5";"348.020";"-10";"5"
"5U  - V";"437.5";"-";"469.497";"0";"5";"OK";"469.497";"0";"5";"469.497";"0";"5"
"5U  - 10R";"187.5";"-";"351.722";"10";"5";"OK";"351.722";"10";"5";"351.722";"10";"5"
"5U  - 20R";"62.5";"-";"130.883";"20";"5";"OK";"130.883";"20";"5";"130.883";"20";"5"
"H - 10L";"250";"-";"349.621";"-10";"0";"OK";"349.621";"-10";"0";"349.621";"-10";"0"
"H - 5L";"500";"-";"432.373";"-5";"0";"NG";"432.373";"-5";"0";"432.373";"-5";"0"
"H - V";"500";"-";"486.107";"0";"0";"NG";"486.107";"0";"0";"486.107";"0";"0"
"H - 5R";"500";"-";"460.591";"5";"0";"NG";"460.591";"5";"0";"460.591";"5";"0"
"H - 10R";"250";"-";"361.329";"10";"0";"OK";"361.329";"10";"0";"361.329";"10";"0"
"5D  - 20L";"62.5";"-";"158.200";"-20";"-5";"OK";"158.200";"-20";"-5";"158.200";"-20";"-5"
"5D  - 10L";"187.5";"-";"286.581";"-10";"-5";"OK";"286.581";"-10";"-5";"286.581";"-10";"-5"
"5D  - V";"437.5";"-";"384.043";"0";"-5";"NG";"384.043";"0";"-5";"384.043";"0";"-5"
"5D  - 10R";"187.5";"-";"286.381";"10";"-5";"OK";"286.381";"10";"-5";"286.381";"10";"-5"
"5D  - 20R";"62.5";"-";"106.267";"20";"-5";"OK";"106.267";"20";"-5";"106.267";"20";"-5"
"10D - 5L";"100";"-";"232.947";"-5";"-10";"OK";"232.947";"-5";"-10";"232.947";"-5";"-10"
"10D - 5R";"100";"-";"238.751";"5";"-10";"OK";"238.751";"5";"-10";"238.751";"5";"-10"
"Visibility";"0.3";"-";"(5.534) 493.119";"(45) 1";"(-14.8) 1.6";"OK";"5.534";"45";"-14.8";"493.119";"1";"1.6"
