"Name:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) LH #1 COLOR 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 ¿ÀÀü 12:54:08"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) LH #1 COLOR 2025-07-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U  - 5L";"-5";"10";"0.5683";"0.4256";"1768";"OK";"358.9";"";"";"358.9";"";""
"10U  - 5R";"5";"10";"0.5686";"0.4255";"1766";"OK";"365.1";"";"";"365.1";"";""
"5U  - 20L";"-20";"5";"0.5683";"0.4258";"1769";"OK";"188.6";"";"";"188.6";"";""
"5U  - 10L";"-10";"5";"0.5681";"0.4257";"1770";"OK";"342.9";"";"";"342.9";"";""
"5U  - V";"0";"5";"0.5683";"0.4256";"1768";"OK";"465.1";"";"";"465.1";"";""
"5U  - 10R";"10";"5";"0.5685";"0.4256";"1767";"OK";"348.0";"";"";"348.0";"";""
"5U  - 20R";"20";"5";"0.5681";"0.4260";"1772";"OK";"129.4";"";"";"129.4";"";""
"H - 10L";"-10";"0";"0.5682";"0.4257";"1769";"OK";"343.9";"";"";"343.9";"";""
"H - 5L";"-5";"0";"0.5683";"0.4255";"1767";"OK";"427.6";"";"";"427.6";"";""
"H - V";"0";"0";"0.5685";"0.4253";"1765";"OK";"480.2";"";"";"480.2";"";""
"H - 5R";"5";"0";"0.5686";"0.4253";"1765";"OK";"454.8";"";"";"454.8";"";""
"H - 10R";"10";"0";"0.5685";"0.4254";"1766";"OK";"356.4";"";"";"356.4";"";""
"5D  - 20L";"-20";"-5";"0.5687";"0.4255";"1765";"OK";"155.4";"";"";"155.4";"";""
"5D  - 10L";"-10";"-5";"0.5685";"0.4254";"1766";"OK";"280.5";"";"";"280.5";"";""
"5D  - V";"0";"-5";"0.5688";"0.4252";"1762";"OK";"377.8";"";"";"377.8";"";""
"5D  - 10R";"10";"-5";"0.5689";"0.4252";"1762";"OK";"281.3";"";"";"281.3";"";""
"5D  - 20R";"20";"-5";"0.5687";"0.4257";"1766";"OK";"104.6";"";"";"104.6";"";""
"10D - 5L";"-5";"-10";"0.5690";"0.4251";"1761";"OK";"229.2";"";"";"229.2";"";""
"10D - 5R";"5";"-10";"0.5697";"0.4246";"1754";"OK";"234.1";"";"";"234.1";"";""
