"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) LH #2 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-07-01 ¿ÀÈÄ 10:29:42"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) LH #2 2025-07-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1MIN";"-";"-";"513.525";"0";"0";"OK";"513.525";"0";"0";"513.525";"0";"0"
"30MIN";"-";"-";"507.621";"0";"0";"OK";"507.621";"0";"0";"507.621";"0";"0"
"5U-10L";"100";"2500";"337.213";"-10";"5";"OK";"337.213";"-10";"5";"337.213";"-10";"5"
"5U-V";"350";"2500";"486.708";"0";"5";"OK";"486.708";"0";"5";"486.708";"0";"5"
"5U-10R";"100";"2500";"324.805";"10";"5";"OK";"324.805";"10";"5";"324.805";"10";"5"
"H-20L";"50";"2500";"171.809";"-20";"0";"OK";"171.809";"-20";"0";"171.809";"-20";"0"
"H-10L";"350";"2500";"344.418";"-10";"0";"NG";"344.418";"-10";"0";"344.418";"-10";"0"
"H-5L";"450";"2500";"428.071";"-5";"0";"NG";"428.071";"-5";"0";"428.071";"-5";"0"
"H-V";"500";"2500";"511.824";"0";"0";"OK";"511.824";"0";"0";"511.824";"0";"0"
"H-5R";"450";"2500";"452.486";"5";"0";"OK";"452.486";"5";"0";"452.486";"5";"0"
"H-10R";"350";"2500";"328.608";"10";"0";"NG";"328.608";"10";"0";"328.608";"10";"0"
"H-20R";"50";"2500";"128.882";"20";"0";"OK";"128.882";"20";"0";"128.882";"20";"0"
"5D-10L";"100";"2500";"256.762";"-10";"-5";"OK";"256.762";"-10";"-5";"256.762";"-10";"-5"
"5D-V";"350";"2500";"384.643";"0";"-5";"OK";"384.643";"0";"-5";"384.643";"0";"-5"
"5D-10R";"100";"2500";"261.365";"10";"-5";"OK";"261.365";"10";"-5";"261.365";"10";"-5"
"MAX";"-";"2500";"(33.121) 528.734";"(29.9) 0.4";"(-9.8) 1.4";"OK";"33.121";"29.9";"-9.8";"528.734";"0.4";"1.4"
