"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #2 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 오전 8:11:37"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #2 2025-07-01"
"Comment:";"PWM센서 사용. "

"Functions";"Min";"Max";"I [cd]";"H[°]";"V[°]";"N.O.K.";"Imin [cd]";"Hmin [°]";"Vmin [°]";"Imax [cd]";"Hmax [°]";"Vmax [°]"
"1min H-V";"-";"-";"56.511";"0";"0";"OK";"56.511";"0";"0";"56.511";"0";"0"
"30min H-V";"-";"-";"56.521";"0";"0";"OK";"56.521";"0";"0";"56.521";"0";"0"
"10U - 5L";"0.8";"125";"41.692";"-5";"10";"OK";"41.692";"-5";"10";"41.692";"-5";"10"
"10U - 5R";"0.8";"125";"42.563";"5";"10";"OK";"42.563";"5";"10";"42.563";"5";"10"
"5U - 20L";"0.4";"125";"20.155";"-20";"5";"OK";"20.155";"-20";"5";"20.155";"-20";"5"
"5U - 10L";"0.8";"125";"38.518";"-10";"5";"OK";"38.518";"-10";"5";"38.518";"-10";"5"
"5U - V";"2.8";"125";"56.080";"0";"5";"OK";"56.080";"0";"5";"56.080";"0";"5"
"5U - 10R";"0.8";"125";"37.357";"10";"5";"OK";"37.357";"10";"5";"37.357";"10";"5"
"5U - 20R";"0.4";"125";"15.359";"20";"5";"OK";"15.359";"20";"5";"15.359";"20";"5"
"H - 10L";"1.4";"125";"37.707";"-10";"0";"OK";"37.707";"-10";"0";"37.707";"-10";"0"
"H - 5L";"3.6";"125";"49.202";"-5";"0";"OK";"49.202";"-5";"0";"49.202";"-5";"0"
"H - V";"4";"125";"56.531";"0";"0";"OK";"56.531";"0";"0";"56.531";"0";"0"
"H - 5R";"3.6";"125";"51.014";"5";"0";"OK";"51.014";"5";"0";"51.014";"5";"0"
"H - 10R";"1.4";"125";"37.687";"10";"0";"OK";"37.687";"10";"0";"37.687";"10";"0"
"5D - 20L";"0.4";"250";"16.531";"-20";"-5";"OK";"16.531";"-20";"-5";"16.531";"-20";"-5"
"5D - 10L";"0.8";"250";"29.327";"-10";"-5";"OK";"29.327";"-10";"-5";"29.327";"-10";"-5"
"5D - V";"2.8";"250";"42.633";"0";"-5";"OK";"42.633";"0";"-5";"42.633";"0";"-5"
"5D - 10R";"0.8";"250";"29.507";"10";"-5";"OK";"29.507";"10";"-5";"29.507";"10";"-5"
"5D - 20R";"0.4";"250";"12.265";"20";"-5";"OK";"12.265";"20";"-5";"12.265";"20";"-5"
"10D - 5L";"0.8";"250";"24.100";"-5";"-10";"OK";"24.100";"-5";"-10";"24.100";"-5";"-10"
"10D - 5R";"0.8";"250";"25.202";"5";"-10";"OK";"25.202";"5";"-10";"25.202";"5";"-10"
"above h-h Visibility";"0.05";"125";"(1.041) 58.163";"(45) -0.7";"(0.2) 2.2";"OK";"1.041";"45";"0.2";"58.163";"-0.7";"2.2"
"below h-h Visibility";"0.05";"250";"(0.741) 56.351";"(44.9) -0.1";"(-10.8) -0.01";"OK";"0.741";"44.9";"-10.8";"56.351";"-0.1";"-0.01"
