"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) LH #3 COLOR 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-07-01 ¿ÀÈÄ 11:17:47"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) LH #3 COLOR 2025-07-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"5U-10L";"-10";"5";"0.3298";"0.3408";"5618";"OK";"386.1";"";"";"386.1";"";""
"5U-V";"0";"5";"0.3312";"0.3423";"5555";"OK";"533.2";"";"";"533.2";"";""
"5U-10R";"10";"5";"0.3298";"0.3409";"5617";"OK";"355.6";"";"";"355.6";"";""
"H-20L";"-20";"0";"0.3287";"0.3398";"5667";"OK";"177.6";"";"";"177.6";"";""
"H-10L";"-10";"0";"0.3299";"0.3404";"5614";"OK";"367.2";"";"";"367.2";"";""
"H-5L";"-5";"0";"0.3309";"0.3416";"5569";"OK";"467.8";"";"";"467.8";"";""
"H-V";"0";"0";"0.3314";"0.3423";"5544";"OK";"520.1";"";"";"520.1";"";""
"H-5R";"5";"0";"0.3310";"0.3420";"5562";"OK";"467.4";"";"";"467.4";"";""
"H-10R";"10";"0";"0.3300";"0.3408";"5610";"OK";"347.2";"";"";"347.2";"";""
"H-20R";"20";"0";"0.3286";"0.3400";"5672";"OK";"138.7";"";"";"138.7";"";""
"5D-10L";"-10";"-5";"0.3300";"0.3412";"5606";"OK";"273.0";"";"";"273.0";"";""
"5D-V";"0";"-5";"0.3320";"0.3434";"5522";"OK";"375.2";"";"";"375.2";"";""
"5D-10R";"10";"-5";"0.3307";"0.3422";"5577";"OK";"260.1";"";"";"260.1";"";""
