"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #3 COLOR 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 ¿ÀÀü 10:11:29"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #3 COLOR 2025-07-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"Emin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Emax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U - 5L";"-5";"10";"0.3302";"0.3417";"5601";"OK";"0.111";"";"";"0.111";"";""
"10U - 5R";"5";"10";"0.3302";"0.3418";"5599";"OK";"0.111";"";"";"0.111";"";""
"5U - 20L";"-20";"5";"0.3280";"0.3392";"5701";"OK";"0.043";"";"";"0.043";"";""
"5U - 10L";"-10";"5";"0.3292";"0.3400";"5645";"OK";"0.103";"";"";"0.103";"";""
"5U - V";"0";"5";"0.3305";"0.3415";"5585";"OK";"0.150";"";"";"0.150";"";""
"5U - 10R";"10";"5";"0.3290";"0.3399";"5653";"OK";"0.096";"";"";"0.096";"";""
"5U - 20R";"20";"5";"0.3282";"0.3392";"5689";"OK";"0.034";"";"";"0.034";"";""
"H - 10L";"-10";"0";"0.3293";"0.3398";"5642";"OK";"0.099";"";"";"0.099";"";""
"H - 5L";"-5";"0";"0.3303";"0.3409";"5595";"OK";"0.130";"";"";"0.130";"";""
"H - V";"0";"0";"0.3309";"0.3416";"5570";"OK";"0.147";"";"";"0.147";"";""
"H - 5R";"5";"0";"0.3304";"0.3412";"5592";"OK";"0.131";"";"";"0.131";"";""
"H - 10R";"10";"0";"0.3292";"0.3400";"5643";"OK";"0.094";"";"";"0.094";"";""
"5D - 20L";"-20";"-5";"0.3286";"0.3397";"5674";"OK";"0.034";"";"";"0.034";"";""
"5D - 10L";"-10";"-5";"0.3296";"0.3406";"5627";"OK";"0.073";"";"";"0.073";"";""
"5D - V";"0";"-5";"0.3313";"0.3427";"5548";"OK";"0.104";"";"";"0.104";"";""
"5D - 10R";"10";"-5";"0.3301";"0.3415";"5604";"OK";"0.069";"";"";"0.069";"";""
"5D - 20R";"20";"-5";"0.3291";"0.3407";"5650";"OK";"0.025";"";"";"0.025";"";""
"10D - 5L";"-5";"-10";"0.3307";"0.3426";"5576";"OK";"0.057";"";"";"0.057";"";""
"10D - 5R";"5";"-10";"0.3314";"0.3436";"5546";"OK";"0.057";"";"";"0.057";"";""
