sep=;
"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #1 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"12.8105 V";"Date:";"2025-06-30 ¿ÀÈÄ 8:18:25"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #1 2025-06-30"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1MIN";"-";"-";"540.6000";"0";"0";"OK";"540.6000";"0";"0";"540.6000";"0";"0"
"30MIN";"-";"-";"526.0000";"0";"0";"OK";"526.0000";"0";"0";"526.0000";"0";"0"
"5U-10L";"100";"2500";"329.2000";"-10";"5";"OK";"329.2000";"-10";"5";"329.2000";"-10";"5"
"5U-V";"350";"2500";"513.7000";"0";"5";"OK";"513.7000";"0";"5";"513.7000";"0";"5"
"5U-10R";"100";"2500";"381.9000";"10";"5";"OK";"381.9000";"10";"5";"381.9000";"10";"5"
"H-20L";"50";"2500";"133.8000";"-20";"0";"OK";"133.8000";"-20";"0";"133.8000";"-20";"0"
"H-10L";"350";"2500";"336.5000";"-10";"0";"NG";"336.5000";"-10";"0";"336.5000";"-10";"0"
"H-5L";"450";"2500";"472.0000";"-5";"0";"OK";"472.0000";"-5";"0";"472.0000";"-5";"0"
"H-V";"500";"2500";"525.8000";"0";"0";"OK";"525.8000";"0";"0";"525.8000";"0";"0"
"H-5R";"450";"2500";"479.4000";"5";"0";"OK";"479.4000";"5";"0";"479.4000";"5";"0"
"H-10R";"350";"2500";"375.9000";"10";"0";"OK";"375.9000";"10";"0";"375.9000";"10";"0"
"H-20R";"50";"2500";"169.8000";"20";"0";"OK";"169.8000";"20";"0";"169.8000";"20";"0"
"5D-10L";"100";"2500";"264.4000";"-10";"-5";"OK";"264.4000";"-10";"-5";"264.4000";"-10";"-5"
"5D-V";"350";"2500";"394.5000";"0";"-5";"OK";"394.5000";"0";"-5";"394.5000";"0";"-5"
"5D-10R";"100";"2500";"286.5000";"10";"-5";"OK";"286.5000";"10";"-5";"286.5000";"10";"-5"
"MAX";"-";"2500";"(32.9000) 537.4000";"(-30) 0.2";"(-9.8) 2.2";"OK";"32.9000";"-30";"-9.8";"537.4000";"0.2";"2.2"
