sep=;
"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #1 COLOR 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.5133 V";"Date:";"2025-07-01 ¿ÀÀü 12:41:03"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #1 COLOR 2025-06-30"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U - 5L";"-5";"10";"0.3309";"0.3418";"5566";"OK";"0.066";"";"";"0.066";"";""
"10U - 5R";"5";"10";"0.3308";"0.3420";"5574";"OK";"0.068";"";"";"0.068";"";""
"5U - 20L";"-20";"5";"0.3297";"0.3390";"5621";"OK";"0.020";"";"";"0.020";"";""
"5U - 10L";"-10";"5";"0.3298";"0.3395";"5619";"OK";"0.058";"";"";"0.058";"";""
"5U - V";"0";"5";"0.3309";"0.3413";"5569";"OK";"0.095";"";"";"0.095";"";""
"5U - 10R";"10";"5";"0.3295";"0.3400";"5629";"OK";"0.067";"";"";"0.067";"";""
"5U - 20R";"20";"5";"0.3285";"0.3392";"5679";"OK";"0.027";"";"";"0.027";"";""
"H - 10L";"-10";"0";"0.3301";"0.3394";"5605";"OK";"0.060";"";"";"0.060";"";""
"H - 5L";"-5";"0";"0.3310";"0.3407";"5564";"OK";"0.088";"";"";"0.088";"";""
"H - V";"0";"0";"0.3312";"0.3412";"5553";"OK";"0.099";"";"";"0.099";"";""
"H - 5R";"5";"0";"0.3306";"0.3407";"5583";"OK";"0.089";"";"";"0.089";"";""
"H - 10R";"10";"0";"0.3297";"0.3396";"5623";"OK";"0.068";"";"";"0.068";"";""
"5D - 20L";"-20";"-5";"0.3304";"0.3395";"5593";"OK";"0.017";"";"";"0.017";"";""
"5D - 10L";"-10";"-5";"0.3308";"0.3404";"5574";"OK";"0.047";"";"";"0.047";"";""
"5D - V";"0";"-5";"0.3316";"0.3417";"5535";"OK";"0.074";"";"";"0.074";"";""
"5D - 10R";"10";"-5";"0.3297";"0.3396";"5620";"OK";"0.052";"";"";"0.052";"";""
"5D - 20R";"20";"-5";"0.3289";"0.3392";"5659";"OK";"0.022";"";"";"0.022";"";""
"10D - 5L";"-5";"-10";"0.3318";"0.3426";"5529";"OK";"0.041";"";"";"0.041";"";""
"10D - 5R";"5";"-10";"0.3310";"0.3417";"5561";"OK";"0.041";"";"";"0.041";"";""
