"Name:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #1 2025-07-02"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 ¿ÀÀü 11:22:02"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #1 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"573.763";"0";"0";"OK";"573.763";"0";"0";"573.763";"0";"0"
"10min H-V";"-";"-";"518.128";"0";"0";"OK";"518.128";"0";"0";"518.128";"0";"0"
"30min H-V";"-";"-";"498.515";"0";"0";"OK";"498.515";"0";"0";"498.515";"0";"0"
"10U  - 5L";"100";"-";"360.328";"-5";"10";"OK";"360.328";"-5";"10";"360.328";"-5";"10"
"10U  - 5R";"100";"-";"360.828";"5";"10";"OK";"360.828";"5";"10";"360.828";"5";"10"
"5U  - 20L";"62.5";"-";"129.982";"-20";"5";"OK";"129.982";"-20";"5";"129.982";"-20";"5"
"5U  - 10L";"187.5";"-";"354.824";"-10";"5";"OK";"354.824";"-10";"5";"354.824";"-10";"5"
"5U  - V";"437.5";"-";"470.598";"0";"5";"OK";"470.598";"0";"5";"470.598";"0";"5"
"5U  - 10R";"187.5";"-";"351.422";"10";"5";"OK";"351.422";"10";"5";"351.422";"10";"5"
"5U  - 20R";"62.5";"-";"194.323";"20";"5";"OK";"194.323";"20";"5";"194.323";"20";"5"
"H - 10L";"250";"-";"377.439";"-10";"0";"OK";"377.439";"-10";"0";"377.439";"-10";"0"
"H - 5L";"500";"-";"479.703";"-5";"0";"NG";"479.703";"-5";"0";"479.703";"-5";"0"
"H - V";"500";"-";"498.315";"0";"0";"NG";"498.315";"0";"0";"498.315";"0";"0"
"H - 5R";"500";"-";"442.580";"5";"0";"NG";"442.580";"5";"0";"442.580";"5";"0"
"H - 10R";"250";"-";"355.625";"10";"0";"OK";"355.625";"10";"0";"355.625";"10";"0"
"5D  - 20L";"62.5";"-";"114.372";"-20";"-5";"OK";"114.372";"-20";"-5";"114.372";"-20";"-5"
"5D  - 10L";"187.5";"-";"313.999";"-10";"-5";"OK";"313.999";"-10";"-5";"313.999";"-10";"-5"
"5D  - V";"437.5";"-";"410.159";"0";"-5";"NG";"410.159";"0";"-5";"410.159";"0";"-5"
"5D  - 10R";"187.5";"-";"299.589";"10";"-5";"OK";"299.589";"10";"-5";"299.589";"10";"-5"
"5D  - 20R";"62.5";"-";"162.903";"20";"-5";"OK";"162.903";"20";"-5";"162.903";"20";"-5"
"10D - 5L";"100";"-";"270.471";"-5";"-10";"OK";"270.471";"-5";"-10";"270.471";"-5";"-10"
"10D - 5R";"100";"-";"255.662";"5";"-10";"OK";"255.662";"5";"-10";"255.662";"5";"-10"
"Visibility";"0.3";"-";"(5.626) 503.429";"(-45) -1.7";"(-15) 1";"OK";"5.626";"-45";"-15";"503.429";"-1.7";"1"
