sep=;
"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #2 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.5131 V";"Date:";"2025-07-01 ¿ÀÀü 2:30:26"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #2 2025-06-30"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"63.0900";"0";"0";"OK";"63.0900";"0";"0";"63.0900";"0";"0"
"30min H-V";"-";"-";"63.0700";"0";"0";"OK";"63.0700";"0";"0";"63.0700";"0";"0"
"10U - 5L";"0.8";"125";"45.8300";"-5";"10";"OK";"45.8300";"-5";"10";"45.8300";"-5";"10"
"10U - 5R";"0.8";"125";"47.8700";"5";"10";"OK";"47.8700";"5";"10";"47.8700";"5";"10"
"5U - 20L";"0.4";"125";"15.8800";"-20";"5";"OK";"15.8800";"-20";"5";"15.8800";"-20";"5"
"5U - 10L";"0.8";"125";"39.7500";"-10";"5";"OK";"39.7500";"-10";"5";"39.7500";"-10";"5"
"5U - V";"2.8";"125";"62.3200";"0";"5";"OK";"62.3200";"0";"5";"62.3200";"0";"5"
"5U - 10R";"0.8";"125";"47.3200";"10";"5";"OK";"47.3200";"10";"5";"47.3200";"10";"5"
"5U - 20R";"0.4";"125";"22.1500";"20";"5";"OK";"22.1500";"20";"5";"22.1500";"20";"5"
"H - 10L";"1.4";"125";"39.8500";"-10";"0";"OK";"39.8500";"-10";"0";"39.8500";"-10";"0"
"H - 5L";"3.6";"125";"55.9200";"-5";"0";"OK";"55.9200";"-5";"0";"55.9200";"-5";"0"
"H - V";"4";"125";"63.0800";"0";"0";"OK";"63.0800";"0";"0";"63.0800";"0";"0"
"H - 5R";"3.6";"125";"57.9400";"5";"0";"OK";"57.9400";"5";"0";"57.9400";"5";"0"
"H - 10R";"1.4";"125";"46.5700";"10";"0";"OK";"46.5700";"10";"0";"46.5700";"10";"0"
"5D - 20L";"0.4";"250";"12.3300";"-20";"-5";"OK";"12.3300";"-20";"-5";"12.3300";"-20";"-5"
"5D - 10L";"0.8";"250";"30.6700";"-10";"-5";"OK";"30.6700";"-10";"-5";"30.6700";"-10";"-5"
"5D - V";"2.8";"250";"46.7900";"0";"-5";"OK";"46.7900";"0";"-5";"46.7900";"0";"-5"
"5D - 10R";"0.8";"250";"35.4700";"10";"-5";"OK";"35.4700";"10";"-5";"35.4700";"10";"-5"
"5D - 20R";"0.4";"250";"17.8200";"20";"-5";"OK";"17.8200";"20";"-5";"17.8200";"20";"-5"
"10D - 5L";"0.8";"250";"26.0400";"-5";"-10";"OK";"26.0400";"-5";"-10";"26.0400";"-5";"-10"
"10D - 5R";"0.8";"250";"26.9100";"5";"-10";"OK";"26.9100";"5";"-10";"26.9100";"5";"-10"
"above h-h Visibility";"0.05";"125";"(0.9955) 65.0400";"(-45) 0";"(0.6) 2.2";"OK";"0.9955";"-45";"0.6";"65.0400";"0";"2.2"
"below h-h Visibility";"0.05";"250";"(0.6400) 63.0400";"(-45) 0";"(-14.8) -0.01";"OK";"0.6400";"-45";"-14.8";"63.0400";"0";"-0.01"
