"Name:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #2 COLOR 2025-07-02"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 ¿ÀÈÄ 1:12:04"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #2 COLOR 2025-07-02"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U  - 5L";"-5";"10";"0.5682";"0.4258";"1770";"OK";"340.1";"";"";"340.1";"";""
"10U  - 5R";"5";"10";"0.5675";"0.4263";"1777";"OK";"340.2";"";"";"340.2";"";""
"5U  - 20L";"-20";"5";"0.5680";"0.4261";"1772";"OK";"122.9";"";"";"122.9";"";""
"5U  - 10L";"-10";"5";"0.5682";"0.4258";"1770";"OK";"332.0";"";"";"332.0";"";""
"5U  - V";"0";"5";"0.5677";"0.4261";"1774";"OK";"431.1";"";"";"431.1";"";""
"5U  - 10R";"10";"5";"0.5672";"0.4265";"1780";"OK";"333.8";"";"";"333.8";"";""
"5U  - 20R";"20";"5";"0.5672";"0.4268";"1782";"OK";"194.2";"";"";"194.2";"";""
"H - 10L";"-10";"0";"0.5682";"0.4257";"1769";"OK";"347.7";"";"";"347.7";"";""
"H - 5L";"-5";"0";"0.5680";"0.4258";"1771";"OK";"434.8";"";"";"434.8";"";""
"H - V";"0";"0";"0.5678";"0.4260";"1773";"OK";"452.0";"";"";"452.0";"";""
"H - 5R";"5";"0";"0.5675";"0.4262";"1777";"OK";"405.5";"";"";"405.5";"";""
"H - 10R";"10";"0";"0.5672";"0.4264";"1779";"OK";"338.3";"";"";"338.3";"";""
"5D  - 20L";"-20";"-5";"0.5682";"0.4262";"1771";"OK";"104.8";"";"";"104.8";"";""
"5D  - 10L";"-10";"-5";"0.5686";"0.4255";"1765";"OK";"286.6";"";"";"286.6";"";""
"5D  - V";"0";"-5";"0.5680";"0.4257";"1770";"OK";"373.1";"";"";"373.1";"";""
"5D  - 10R";"10";"-5";"0.5675";"0.4263";"1777";"OK";"289.6";"";"";"289.6";"";""
"5D  - 20R";"20";"-5";"0.5674";"0.4266";"1779";"OK";"165.1";"";"";"165.1";"";""
"10D - 5L";"-5";"-10";"0.5691";"0.4252";"1761";"OK";"247.8";"";"";"247.8";"";""
"10D - 5R";"5";"-10";"0.5682";"0.4258";"1770";"OK";"241.1";"";"";"241.1";"";""
