sep=;
"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #3 COLOR 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"12.8108 V";"Date:";"2025-06-30 ¿ÀÈÄ 10:40:38"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #3 COLOR 2025-06-30"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"5U-10L";"-10";"5";"0.3285";"0.3380";"5678";"OK";"348.2";"";"";"348.2";"";""
"5U-V";"0";"5";"0.3295";"0.3394";"5632";"OK";"524.0";"";"";"524.0";"";""
"5U-10R";"10";"5";"0.3281";"0.3381";"5698";"OK";"376.0";"";"";"376.0";"";""
"H-20L";"-20";"0";"0.3279";"0.3372";"5708";"OK";"143.6";"";"";"143.6";"";""
"H-10L";"-10";"0";"0.3287";"0.3378";"5670";"OK";"359.5";"";"";"359.5";"";""
"H-5L";"-5";"0";"0.3296";"0.3390";"5626";"OK";"495.4";"";"";"495.4";"";""
"H-V";"0";"0";"0.3297";"0.3393";"5621";"OK";"540.9";"";"";"540.9";"";""
"H-5R";"5";"0";"0.3291";"0.3387";"5652";"OK";"480.1";"";"";"480.1";"";""
"H-10R";"10";"0";"0.3281";"0.3379";"5695";"OK";"371.7";"";"";"371.7";"";""
"H-20R";"20";"0";"0.3268";"0.3367";"5761";"OK";"173.0";"";"";"173.0";"";""
"5D-10L";"-10";"-5";"0.3292";"0.3382";"5647";"OK";"287.0";"";"";"287.0";"";""
"5D-V";"0";"-5";"0.3299";"0.3395";"5615";"OK";"414.1";"";"";"414.1";"";""
"5D-10R";"10";"-5";"0.3280";"0.3377";"5700";"OK";"288.3";"";"";"288.3";"";""
