sep=;
"Name:";"CT1 NAS HL LED HIGH (OPT ASSY-LED) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 1:03:38"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED HIGH (OPT ASSY-LED) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"40982.5";"0";"2";"";"";"";"OK";"40982.5";"0";"2";"40982.5";"0";"2"
"1U - 3L (120%)";"6000";"-";"44935.4";"-3";"1";"";"";"";"OK";"44935.4";"-3";"1";"44935.4";"-3";"1"
"1U - 3R (120%)";"6000";"-";"22193.9";"3";"1";"";"";"";"OK";"22193.9";"3";"1";"22193.9";"3";"1"
"H - V (120%)";"48000";"60000";"61772.5";"0";"0";"54354.6";"0";"0.25";"OK";"61772.5";"0";"0";"61772.5";"0";"0"
"H - 3L (120%)";"18000";"-";"48290.8";"-3";"0";"";"";"";"OK";"48290.8";"-3";"0";"48290.8";"-3";"0"
"H - 3R (120%)";"18000";"-";"31672.8";"3";"0";"";"";"";"OK";"31672.8";"3";"0";"31672.8";"3";"0"
"H - 6L (120%)";"6000";"-";"21168.3";"-6";"0";"";"";"";"OK";"21168.3";"-6";"0";"21168.3";"-6";"0"
"H - 6R (120%)";"6000";"-";"16667.8";"6";"0";"";"";"";"OK";"16667.8";"6";"0";"16667.8";"6";"0"
"H - 9L (120%)";"3600";"-";"9459.0";"-9";"0";"";"";"";"OK";"9459.0";"-9";"0";"9459.0";"-9";"0"
"H - 9R (120%)";"3600";"-";"9538.7";"9";"0";"";"";"";"OK";"9538.7";"9";"0";"9538.7";"9";"0"
"H - 12L (120%)";"1800";"-";"5783.0";"-12";"0";"";"";"";"OK";"5783.0";"-12";"0";"5783.0";"-12";"0"
"H - 12R (120%)";"1800";"-";"6114.5";"12";"0";"";"";"";"OK";"6114.5";"12";"0";"6114.5";"12";"0"
"1.5D - V (120%)";"6000";"-";"70285.6";"0";"-1.5";"";"";"";"OK";"70285.6";"0";"-1.5";"70285.6";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"14487.3";"-9";"-1.5";"";"";"";"OK";"14487.3";"-9";"-1.5";"14487.3";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"16160.0";"9";"-1.5";"";"";"";"OK";"16160.0";"9";"-1.5";"16160.0";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"44666.5";"0";"-2.5";"";"";"";"OK";"44666.5";"0";"-2.5";"44666.5";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8612.7";"-12";"-2.5";"";"";"";"OK";"8612.7";"-12";"-2.5";"8612.7";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"10902.8";"12";"-2.5";"";"";"";"OK";"10902.8";"12";"-2.5";"10902.8";"12";"-2.5"
"4D - V (120%)";"-";"9600";"9608.4";"0";"-4";"9478.9";"0.25";"-4";"OK";"9608.4";"0";"-4";"9608.4";"0";"-4"
"MAX ";"-";"-";"80690.5";"-0.64";"-0.62";"";"";"";"OK";"80690.5";"-0.64";"-0.62";"80690.5";"-0.64";"-0.62"
