sep=;
"Name:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2UP) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 1:29:31"
"Current:";"0.00085 A";"File:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2UP) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"41291.2";"0";"2";"";"";"";"OK";"41291.2";"0";"2";"41291.2";"0";"2"
"1U - 3L (120%)";"6000";"-";"46170.0";"-3";"1";"";"";"";"OK";"46170.0";"-3";"1";"46170.0";"-3";"1"
"1U - 3R (120%)";"6000";"-";"21636.3";"3";"1";"";"";"";"OK";"21636.3";"3";"1";"21636.3";"3";"1"
"H - V (120%)";"48000";"60000";"64411.0";"0";"0";"54314.8";"0";"0.25";"OK";"64411.0";"0";"0";"64411.0";"0";"0"
"H - 3L (120%)";"18000";"-";"49406.0";"-3";"0";"";"";"";"OK";"49406.0";"-3";"0";"49406.0";"-3";"0"
"H - 3R (120%)";"18000";"-";"33962.9";"3";"0";"";"";"";"OK";"33962.9";"3";"0";"33962.9";"3";"0"
"H - 6L (120%)";"6000";"-";"23757.1";"-6";"0";"";"";"";"OK";"23757.1";"-6";"0";"23757.1";"-6";"0"
"H - 6R (120%)";"6000";"-";"18121.5";"6";"0";"";"";"";"OK";"18121.5";"6";"0";"18121.5";"6";"0"
"H - 9L (120%)";"3600";"-";"10633.9";"-9";"0";"";"";"";"OK";"10633.9";"-9";"0";"10633.9";"-9";"0"
"H - 9R (120%)";"3600";"-";"9907.1";"9";"0";"";"";"";"OK";"9907.1";"9";"0";"9907.1";"9";"0"
"H - 12L (120%)";"1800";"-";"6166.3";"-12";"0";"";"";"";"OK";"6166.3";"-12";"0";"6166.3";"-12";"0"
"H - 12R (120%)";"1800";"-";"6070.7";"12";"0";"";"";"";"OK";"6070.7";"12";"0";"6070.7";"12";"0"
"1.5D - V (120%)";"6000";"-";"68463.5";"0";"-1.5";"";"";"";"OK";"68463.5";"0";"-1.5";"68463.5";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"15124.5";"-9";"-1.5";"";"";"";"OK";"15124.5";"-9";"-1.5";"15124.5";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"15901.1";"9";"-1.5";"";"";"";"OK";"15901.1";"9";"-1.5";"15901.1";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"41749.2";"0";"-2.5";"";"";"";"OK";"41749.2";"0";"-2.5";"41749.2";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8642.6";"-12";"-2.5";"";"";"";"OK";"8642.6";"-12";"-2.5";"8642.6";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"10783.3";"12";"-2.5";"";"";"";"OK";"10783.3";"12";"-2.5";"10783.3";"12";"-2.5"
"4D - V (120%)";"-";"9600";"9080.7";"0";"-4";"";"";"";"OK";"9080.7";"0";"-4";"9080.7";"0";"-4"
"MAX ";"-";"-";"80222.6";"-0.77";"-0.58";"";"";"";"OK";"80222.6";"-0.77";"-0.58";"80222.6";"-0.77";"-0.58"
