sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;25429.860;0.98
2;10;25300.420;0.45
3;20;25250.630;0.24
4;30;25210.810;0.08
5;40;25190.890;0.00
6;50;25170.980;-0.08
7;60;25151.070;-0.16
8;70;25131.150;-0.24
9;80;25111.240;-0.33
10;90;25101.280;-0.37
11;100;25091.330;-0.41
12;110;25071.410;-0.49
13;120;25061.460;-0.53
14;130;25051.500;-0.57
15;140;25041.540;-0.61
16;150;25031.580;-0.65
17;160;25021.630;-0.69
18;170;25001.710;-0.77
19;180;24991.760;-0.81
20;190;24991.760;-0.81
21;200;24981.800;-0.85
22;210;24971.840;-0.90
23;220;24961.890;-0.94
24;230;24951.930;-0.98
25;240;24941.970;-1.02
26;250;24932.020;-1.06
27;260;24922.060;-1.10
28;270;24912.100;-1.14
29;280;24912.100;-1.14
30;290;24902.140;-1.18
31;300;24892.190;-1.22
32;310;24882.230;-1.26
33;320;24882.230;-1.26
34;330;24872.280;-1.30
35;340;24862.320;-1.34
36;350;24852.360;-1.38
37;360;24842.400;-1.42
38;370;24842.400;-1.42
39;380;24832.450;-1.47
40;390;24822.490;-1.51
41;400;24812.530;-1.55
42;410;24802.580;-1.59
43;420;24792.620;-1.63
44;430;24792.620;-1.63
45;440;24782.660;-1.67
46;450;24782.660;-1.67
47;460;24772.710;-1.71
48;470;24762.750;-1.75
49;480;24762.750;-1.75
50;490;24742.840;-1.83
51;500;24742.840;-1.83
52;510;24732.880;-1.87
53;520;24732.880;-1.87
54;530;24722.920;-1.91
55;540;24712.960;-1.95
56;550;24712.960;-1.95
57;560;24703.010;-1.99
58;570;24693.050;-2.03
59;580;24693.050;-2.03
60;590;24683.090;-2.08
61;600;24673.140;-2.12
62;610;24663.180;-2.16
63;620;24663.180;-2.16
64;630;24653.220;-2.20
65;640;24653.220;-2.20
66;650;24643.270;-2.24
67;660;24633.310;-2.28
68;670;24633.310;-2.28
69;680;24623.350;-2.32
70;690;24623.350;-2.32
71;700;24613.400;-2.36
72;710;24603.440;-2.40
73;720;24603.440;-2.40
74;730;24603.440;-2.40
75;740;24593.480;-2.44
76;750;24583.530;-2.48
77;760;24573.570;-2.52
78;770;24573.570;-2.52
79;780;24573.570;-2.52
80;790;24563.610;-2.56
81;800;24553.650;-2.60
82;810;24553.650;-2.60
83;820;24553.650;-2.60
84;830;24543.700;-2.65
85;840;24533.740;-2.69
86;850;24533.740;-2.69
87;860;24533.740;-2.69
88;870;24523.780;-2.73
89;880;24523.780;-2.73
90;890;24513.830;-2.77
91;900;24513.830;-2.77
92;910;24503.870;-2.81
93;920;24503.870;-2.81
94;930;24503.870;-2.81
95;940;24493.910;-2.85
96;950;24483.960;-2.89
97;960;24483.960;-2.89
98;970;24474.000;-2.93
99;980;24474.000;-2.93
100;990;24464.040;-2.97
101;1000;24464.040;-2.97
