sep=;
"Name:";"CT1 NAS HL LED LOW (OPT ASSY-LED) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 11:54:37"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (OPT ASSY-LED) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.3) 114.5";"(-90) 2";"10";"(0.3) 107.2";"(-90) 2";"(10) 10.25";"NG";"0.3";"-90";"10";"114.5";"2";"10"
"4U - 8R (120%)";"76.8";"-";"222.8";"8";"4";"";"";"";"OK";"222.8";"8";"4";"222.8";"8";"4"
"4U - 8L (120%)";"76.8";"-";"144.3";"-8";"4";"";"";"";"OK";"144.3";"-8";"4";"144.3";"-8";"4"
"2U-4L (120%)";"162";"-";"181.6";"-4";"2";"";"";"";"OK";"181.6";"-4";"2";"181.6";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(368.9) 381.3";"(3) 1.5";"1.5";"";"";"";"OK";"368.9";"3";"1.5";"381.3";"1.5";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(47.4) 382.2";"(20) 1.5";"1.5";"";"";"";"OK";"47.4";"20";"1.5";"382.2";"1.5";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(77.5) 324.7";"(-20) -1.5";"1";"";"";"";"OK";"77.5";"-20";"1";"324.7";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(198.6) 422.5";"(-13.25) -1.5";"0.5";"";"";"";"OK";"198.6";"-13.25";"0.5";"422.5";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(654.0) 675.8";"(1.4) 2.2";"0.5";"";"";"";"OK";"654.0";"1.4";"0.5";"675.8";"2.2";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(661.3) 683.4";"(1.4) 2.2";"0.5";"";"";"";"OK";"661.3";"1.4";"0.5";"683.4";"2.2";"0.5"
"H - 4L (120%)";"162";"-";"410.5";"-4";"0";"";"";"";"OK";"410.5";"-4";"0";"410.5";"-4";"0"
"H - 8L (120%)";"76.8";"-";"3819.5";"-8";"0";"";"";"";"OK";"3819.5";"-8";"0";"3819.5";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"24095.6";"2";"-1.5";"";"";"";"OK";"24095.6";"2";"-1.5";"24095.6";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"6082.7";"-15";"-2";"";"";"";"OK";"6082.7";"-15";"-2";"6082.7";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7718.6";"15";"-2";"";"";"";"OK";"7718.6";"15";"-2";"7718.6";"15";"-2"
"4D - 4R (120%)";"-";"10000";"7960.5";"4";"-4";"";"";"";"OK";"7960.5";"4";"-4";"7960.5";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"28028.6";"1.3";"-0.6";"";"";"";"OK";"28028.6";"1.3";"-0.6";"28028.6";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"27202.2";"0";"-0.86";"";"";"";"OK";"27202.2";"0";"-0.86";"27202.2";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"18201.2";"-3.5";"-0.86";"6218.1";"-3.5";"-0.61";"OK";"18201.2";"-3.5";"-0.86";"18201.2";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"9678.1";"-9";"-2";"";"";"";"OK";"9678.1";"-9";"-2";"9678.1";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"11918.4";"9";"-2";"";"";"";"OK";"11918.4";"9";"-2";"11918.4";"9";"-2"
"4D - 20L (120%)";"360";"-";"2635.6";"-20";"-4";"";"";"";"OK";"2635.6";"-20";"-4";"2635.6";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3980.8";"20";"-4";"";"";"";"OK";"3980.8";"20";"-4";"3980.8";"20";"-4"
"4D - V (120%)";"-";"9600";"8333.9";"0";"-4";"";"";"";"OK";"8333.9";"0";"-4";"8333.9";"0";"-4"
"MAX";"-";"-";"27968.9";"1.17";"-0.7";"";"";"";"OK";"27968.9";"1.17";"-0.7";"27968.9";"1.17";"-0.7"
