sep=;
"Name:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2UP) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 1:16:02"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2UP) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.2) 98.0";"(-88.8) 2.7";"(20) 10";"";"";"";"OK";"0.2";"-88.8";"20";"98.0";"2.7";"10"
"4U - 8R (120%)";"76.8";"-";"223.7";"8";"4";"";"";"";"OK";"223.7";"8";"4";"223.7";"8";"4"
"4U - 8L (120%)";"76.8";"-";"142.4";"-8";"4";"";"";"";"OK";"142.4";"-8";"4";"142.4";"-8";"4"
"2U-4L (120%)";"162";"-";"176.4";"-4";"2";"";"";"";"OK";"176.4";"-4";"2";"176.4";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(379.0) 390.0";"(1) 1.5";"1.5";"";"";"";"OK";"379.0";"1";"1.5";"390.0";"1.5";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(48.2) 390.7";"(20) 1.5";"1.5";"";"";"";"OK";"48.2";"20";"1.5";"390.7";"1.5";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(70.0) 329.4";"(-19) -1.5";"1";"";"";"";"OK";"70.0";"-19";"1";"329.4";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(193.7) 438.0";"(-14) -1.5";"0.5";"";"";"";"OK";"193.7";"-14";"0.5";"438.0";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(708.2) 743.0";"(1) 2.8";"0.5";"";"";"";"OK";"708.2";"1";"0.5";"743.0";"2.8";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(717.2) 752.3";"(1) 2.8";"0.5";"";"";"";"OK";"717.2";"1";"0.5";"752.3";"2.8";"0.5"
"H - 4L (120%)";"162";"-";"481.4";"-4";"0";"";"";"";"OK";"481.4";"-4";"0";"481.4";"-4";"0"
"H - 8L (120%)";"76.8";"-";"5184.5";"-8";"0";"";"";"";"OK";"5184.5";"-8";"0";"5184.5";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"22363.1";"2";"-1.5";"";"";"";"OK";"22363.1";"2";"-1.5";"22363.1";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"5582.8";"-15";"-2";"";"";"";"OK";"5582.8";"-15";"-2";"5582.8";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7210.8";"15";"-2";"";"";"";"OK";"7210.8";"15";"-2";"7210.8";"15";"-2"
"4D - 4R (120%)";"-";"10000";"6811.5";"4";"-4";"";"";"";"OK";"6811.5";"4";"-4";"6811.5";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"26634.6";"1.3";"-0.6";"";"";"";"OK";"26634.6";"1.3";"-0.6";"26634.6";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"25469.7";"0";"-0.86";"";"";"";"OK";"25469.7";"0";"-0.86";"25469.7";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"18957.9";"-3.5";"-0.86";"9727.9";"-3.5";"-0.61";"NG";"18957.9";"-3.5";"-0.86";"18957.9";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"9200.2";"-9";"-2";"";"";"";"OK";"9200.2";"-9";"-2";"9200.2";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"11151.7";"9";"-2";"";"";"";"OK";"11151.7";"9";"-2";"11151.7";"9";"-2"
"4D - 20L (120%)";"360";"-";"2446.4";"-20";"-4";"";"";"";"OK";"2446.4";"-20";"-4";"2446.4";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3719.9";"20";"-4";"";"";"";"OK";"3719.9";"20";"-4";"3719.9";"20";"-4"
"4D - V (120%)";"-";"9600";"7061.4";"0";"-4";"";"";"";"OK";"7061.4";"0";"-4";"7061.4";"0";"-4"
"MAX";"-";"-";"26863.7";"1.11";"-0.56";"";"";"";"OK";"26863.7";"1.11";"-0.56";"26863.7";"1.11";"-0.56"
