sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;63275.940;23.56
2;10;62847.800;22.70
3;20;62648.660;22.30
4;30;62489.350;21.98
5;40;62349.950;21.70
6;50;62220.510;21.45
7;60;62081.120;21.17
8;70;61951.680;20.91
9;80;61832.200;20.67
10;90;61712.710;20.43
11;100;61593.230;20.19
12;110;61473.750;19.95
13;120;61364.220;19.73
14;130;61244.740;19.49
15;140;61125.260;19.26
16;150;61015.730;19.04
17;160;60906.210;18.82
18;170;60796.680;18.60
19;180;60687.160;18.38
20;190;60567.670;18.14
21;200;60478.060;17.96
22;210;60348.620;17.70
23;220;60259.010;17.52
24;230;60149.480;17.30
25;240;60049.910;17.10
26;250;59950.350;16.91
27;260;59830.860;16.67
28;270;59741.250;16.49
29;280;59631.730;16.27
30;290;59522.200;16.05
31;300;59432.590;15.87
32;310;59333.020;15.67
33;320;59223.490;15.45
34;330;59133.880;15.27
35;340;59034.310;15.07
36;350;58954.660;14.91
37;360;58845.130;14.70
38;370;58755.520;14.52
39;380;58665.910;14.34
40;390;58576.300;14.16
41;400;58496.640;14.00
42;410;58397.070;13.80
43;420;58307.460;13.62
44;430;58217.850;13.44
45;440;58148.150;13.30
46;450;58068.500;13.14
47;460;57968.930;12.94
48;470;57889.270;12.78
49;480;57819.570;12.64
50;490;57739.920;12.49
51;500;57650.310;12.31
52;510;57570.650;12.15
53;520;57491.000;11.99
54;530;57421.300;11.85
55;540;57361.560;11.73
56;550;57271.950;11.55
57;560;57192.290;11.39
58;570;57132.550;11.27
59;580;57052.890;11.11
60;590;56983.200;10.97
61;600;56923.460;10.85
62;610;56853.760;10.71
63;620;56764.140;10.53
64;630;56714.360;10.43
65;640;56644.660;10.29
66;650;56574.960;10.16
67;660;56535.140;10.08
68;670;56465.440;9.94
69;680;56375.830;9.76
70;690;56316.090;9.64
71;700;56266.300;9.54
72;710;56196.610;9.40
73;720;56136.860;9.28
74;730;56077.120;9.16
75;740;56007.420;9.02
76;750;55947.680;8.90
77;760;55877.980;8.76
78;770;55808.290;8.62
79;780;55758.500;8.52
80;790;55698.760;8.40
81;800;55639.020;8.28
82;810;55579.280;8.16
83;820;55519.540;8.04
84;830;55479.710;7.96
85;840;55419.970;7.85
86;850;55360.230;7.73
87;860;55310.440;7.63
88;870;55260.660;7.53
89;880;55210.880;7.43
90;890;55151.130;7.31
91;900;55121.260;7.25
92;910;55061.520;7.13
93;920;55011.730;7.03
94;930;54961.950;6.93
95;940;54912.170;6.83
96;950;54872.340;6.75
97;960;54822.550;6.65
98;970;54782.730;6.57
99;980;54742.900;6.49
100;990;54693.120;6.39
101;1000;54643.330;6.29
102;1010;54603.500;6.21
103;1020;54553.720;6.11
104;1030;54523.850;6.05
105;1040;54484.020;5.97
106;1050;54434.240;5.87
107;1060;54404.370;5.81
108;1070;54374.500;5.75
109;1080;54334.670;5.68
110;1090;54294.840;5.60
111;1100;54245.050;5.50
112;1110;54215.190;5.44
113;1120;54175.360;5.36
114;1130;54125.570;5.26
115;1140;54095.700;5.20
116;1150;54075.790;5.16
117;1160;54026.000;5.06
118;1170;53986.180;4.98
119;1180;53936.390;4.88
120;1190;53916.480;4.84
121;1200;53876.650;4.76
122;1210;53846.780;4.70
123;1220;53806.950;4.62
124;1230;53757.170;4.52
125;1240;53737.250;4.48
126;1250;53707.390;4.42
127;1260;53677.520;4.36
128;1270;53637.690;4.28
129;1280;53607.820;4.22
130;1290;53567.990;4.14
131;1300;53548.070;4.10
132;1310;53508.250;4.02
133;1320;53468.420;3.94
134;1330;53428.590;3.86
135;1340;53388.770;3.78
136;1350;53368.850;3.74
137;1360;53338.980;3.68
138;1370;53299.150;3.60
139;1380;53279.240;3.56
140;1390;53239.410;3.48
141;1400;53209.540;3.42
142;1410;53169.710;3.35
143;1420;53159.760;3.33
144;1430;53119.930;3.25
145;1440;53080.100;3.17
146;1450;53060.190;3.13
147;1460;53030.320;3.07
148;1470;52990.490;2.99
149;1480;52960.620;2.93
150;1490.015;52940.710;2.89
151;1500.015;52920.790;2.85
152;1510.031;52890.920;2.79
153;1520.031;52851.090;2.71
154;1530.031;52821.220;2.65
155;1540.031;52801.310;2.61
156;1550.031;52771.440;2.55
157;1560.031;52741.570;2.49
158;1570.031;52721.660;2.45
159;1580.031;52681.830;2.37
160;1590.031;52671.870;2.35
161;1600.031;52642.000;2.29
162;1610.031;52602.170;2.21
163;1620.031;52582.260;2.17
164;1630.031;52572.300;2.15
165;1640.031;52542.430;2.09
166;1650.031;52512.560;2.03
167;1660.031;52492.640;1.99
168;1670.031;52452.820;1.91
169;1680.031;52432.910;1.87
170;1690.031;52403.040;1.81
171;1700.031;52393.080;1.79
172;1710.031;52353.250;1.71
173;1720.031;52333.340;1.67
174;1730.031;52313.420;1.63
175;1740.031;52283.550;1.57
176;1750.031;52263.640;1.53
177;1760.031;52243.720;1.49
178;1770.031;52223.810;1.45
179;1780.031;52193.940;1.39
180;1790.031;52174.030;1.35
181;1800.031;52144.160;1.29
182;1810.031;52114.290;1.23
183;1820.031;52104.330;1.21
184;1830.031;52074.460;1.15
185;1840.031;52054.540;1.12
186;1850.031;52034.630;1.08
187;1860.031;52004.760;1.02
188;1870.031;51974.890;0.96
189;1880.031;51954.980;0.92
190;1890.031;51935.060;0.88
191;1900.031;51905.190;0.82
192;1910.031;51895.230;0.80
193;1920.031;51865.360;0.74
194;1930.031;51845.450;0.70
195;1940.031;51825.540;0.66
196;1950.031;51795.660;0.60
197;1960.031;51785.710;0.58
198;1970.031;51765.790;0.54
199;1980.031;51735.930;0.48
200;1990.031;51716.010;0.44
201;2000.031;51706.050;0.42
202;2010.031;51666.230;0.34
203;2020.031;51656.270;0.32
204;2030.031;51636.360;0.28
205;2040.031;51616.440;0.24
206;2050.031;51586.570;0.18
207;2060.031;51556.700;0.12
208;2070.031;51556.700;0.12
209;2080.031;51536.790;0.08
210;2090.031;51516.870;0.04
211;2100.031;51496.960;0.00
212;2110.031;51477.050;-0.04
213;2120.031;51467.090;-0.06
214;2130.031;51437.220;-0.12
215;2140.031;51417.300;-0.16
216;2150.031;51397.390;-0.20
217;2160.031;51387.430;-0.22
218;2170.031;51347.610;-0.30
219;2180.031;51337.650;-0.32
220;2190.031;51327.690;-0.34
221;2200.031;51307.780;-0.38
222;2210.031;51277.910;-0.44
223;2220.031;51257.990;-0.48
224;2230.031;51257.990;-0.48
225;2240.031;51228.130;-0.54
226;2250.047;51208.210;-0.58
227;2260.047;51188.300;-0.62
228;2270.047;51168.380;-0.66
229;2280.047;51158.430;-0.68
230;2290.062;51148.470;-0.70
231;2300.062;51138.510;-0.72
232;2310.062;51108.640;-0.78
233;2320.062;51078.770;-0.84
234;2330.062;51068.810;-0.86
235;2340.062;51058.860;-0.88
236;2350.062;51048.900;-0.90
237;2360.062;51019.030;-0.96
238;2370.062;50999.110;-1.00
239;2380.062;50989.160;-1.02
240;2390.062;50969.250;-1.06
241;2400.062;50959.290;-1.08
242;2410.062;50929.420;-1.14
243;2420.062;50919.460;-1.15
244;2430.062;50909.500;-1.17
245;2440.062;50879.630;-1.23
246;2450.062;50859.720;-1.27
247;2460.062;50849.760;-1.29
248;2470.062;50849.760;-1.29
249;2480.062;50829.850;-1.33
250;2490.062;50819.890;-1.35
251;2500.062;50790.020;-1.41
252;2510.062;50770.110;-1.45
253;2520.062;50760.150;-1.47
254;2530.062;50730.280;-1.53
255;2540.062;50730.280;-1.53
256;2550.062;50710.370;-1.57
257;2560.062;50690.450;-1.61
258;2570.062;50680.500;-1.63
259;2580.062;50680.500;-1.63
260;2590.062;50640.670;-1.71
261;2600.062;50630.710;-1.73
262;2610.062;50630.710;-1.73
263;2620.062;50610.800;-1.77
264;2630.062;50590.880;-1.81
265;2640.062;50580.930;-1.83
266;2650.062;50551.050;-1.89
267;2660.062;50541.100;-1.91
268;2670.062;50541.100;-1.91
269;2680.062;50511.230;-1.97
270;2690.062;50521.180;-1.95
271;2700.062;50501.270;-1.99
272;2710.062;50481.360;-2.03
273;2720.062;50461.450;-2.07
274;2730.062;50451.490;-2.09
275;2740.062;50421.620;-2.15
276;2750.062;50411.660;-2.17
277;2760.062;50401.700;-2.19
278;2770.062;50381.790;-2.23
279;2780.062;50361.880;-2.27
280;2790.062;50361.880;-2.27
281;2800.062;50351.920;-2.29
282;2810.062;50332.000;-2.33
283;2820.062;50322.050;-2.35
284;2830.062;50312.090;-2.37
285;2840.062;50292.180;-2.41
286;2850.062;50272.260;-2.45
287;2860.062;50272.260;-2.45
288;2870.062;50252.350;-2.49
289;2880.062;50242.390;-2.51
290;2890.062;50222.480;-2.55
291;2900.062;50192.610;-2.61
292;2910.062;50182.650;-2.63
293;2920.062;50172.700;-2.65
294;2930.062;50152.780;-2.69
295;2940.062;50162.740;-2.67
296;2950.062;50162.740;-2.67
297;2960.062;50142.820;-2.71
298;2970.062;50132.870;-2.73
299;2980.062;50112.950;-2.77
300;2990.062;50103.000;-2.79
301;3000.062;50083.080;-2.83
302;3010.062;50073.130;-2.85
303;3020.062;50053.210;-2.89
304;3030.062;50053.210;-2.89
305;3040.062;50033.300;-2.93
306;3050.062;50013.380;-2.97
307;3060.062;50003.430;-2.99
