sep=;
"Name:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2DOWN) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 6:50:37"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2DOWN) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"37298.5";"0";"2";"";"";"";"OK";"37298.5";"0";"2";"37298.5";"0";"2"
"1U - 3L (120%)";"6000";"-";"39130.5";"-3";"1";"";"";"";"OK";"39130.5";"-3";"1";"39130.5";"-3";"1"
"1U - 3R (120%)";"6000";"-";"22144.1";"3";"1";"";"";"";"OK";"22144.1";"3";"1";"22144.1";"3";"1"
"H - V (120%)";"48000";"60000";"51935.1";"0";"0";"";"";"";"OK";"51935.1";"0";"0";"51935.1";"0";"0"
"H - 3L (120%)";"18000";"-";"41898.5";"-3";"0";"";"";"";"OK";"41898.5";"-3";"0";"41898.5";"-3";"0"
"H - 3R (120%)";"18000";"-";"27829.5";"3";"0";"";"";"";"OK";"27829.5";"3";"0";"27829.5";"3";"0"
"H - 6L (120%)";"6000";"-";"16867.0";"-6";"0";"";"";"";"OK";"16867.0";"-6";"0";"16867.0";"-6";"0"
"H - 6R (120%)";"6000";"-";"12466.0";"6";"0";"";"";"";"OK";"12466.0";"6";"0";"12466.0";"6";"0"
"H - 9L (120%)";"3600";"-";"8114.9";"-9";"0";"";"";"";"OK";"8114.9";"-9";"0";"8114.9";"-9";"0"
"H - 9R (120%)";"3600";"-";"7925.7";"9";"0";"";"";"";"OK";"7925.7";"9";"0";"7925.7";"9";"0"
"H - 12L (120%)";"1800";"-";"4878.9";"-12";"0";"";"";"";"OK";"4878.9";"-12";"0";"4878.9";"-12";"0"
"H - 12R (120%)";"1800";"-";"5672.4";"12";"0";"";"";"";"OK";"5672.4";"12";"0";"5672.4";"12";"0"
"1.5D - V (120%)";"6000";"-";"70574.3";"0";"-1.5";"";"";"";"OK";"70574.3";"0";"-1.5";"70574.3";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"14955.2";"-9";"-1.5";"";"";"";"OK";"14955.2";"-9";"-1.5";"14955.2";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"16757.4";"9";"-1.5";"";"";"";"OK";"16757.4";"9";"-1.5";"16757.4";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"48997.8";"0";"-2.5";"";"";"";"OK";"48997.8";"0";"-2.5";"48997.8";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8134.8";"-12";"-2.5";"";"";"";"OK";"8134.8";"-12";"-2.5";"8134.8";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"10833.1";"12";"-2.5";"";"";"";"OK";"10833.1";"12";"-2.5";"10833.1";"12";"-2.5"
"4D - V (120%)";"-";"9600";"11330.9";"0";"-4";"9030.9";"0";"-4.25";"OK";"11330.9";"0";"-4";"11330.9";"0";"-4"
"MAX ";"-";"-";"75283.9";"-0.2";"-0.73";"";"";"";"OK";"75283.9";"-0.2";"-0.73";"75283.9";"-0.2";"-0.73"
