sep=;
"Name:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2UP) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 6:29:54"
"Current:";"0.00085 A";"File:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2UP) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"36133.5";"0";"2";"";"";"";"OK";"36133.5";"0";"2";"36133.5";"0";"2"
"1U - 3L (120%)";"6000";"-";"40335.3";"-3";"1";"";"";"";"OK";"40335.3";"-3";"1";"40335.3";"-3";"1"
"1U - 3R (120%)";"6000";"-";"20570.9";"3";"1";"";"";"";"OK";"20570.9";"3";"1";"20570.9";"3";"1"
"H - V (120%)";"48000";"60000";"50660.6";"0";"0";"";"";"";"OK";"50660.6";"0";"0";"50660.6";"0";"0"
"H - 3L (120%)";"18000";"-";"43720.6";"-3";"0";"";"";"";"OK";"43720.6";"-3";"0";"43720.6";"-3";"0"
"H - 3R (120%)";"18000";"-";"24951.9";"3";"0";"";"";"";"OK";"24951.9";"3";"0";"24951.9";"3";"0"
"H - 6L (120%)";"6000";"-";"19077.4";"-6";"0";"";"";"";"OK";"19077.4";"-6";"0";"19077.4";"-6";"0"
"H - 6R (120%)";"6000";"-";"10544.3";"6";"0";"";"";"";"OK";"10544.3";"6";"0";"10544.3";"6";"0"
"H - 9L (120%)";"3600";"-";"8373.7";"-9";"0";"";"";"";"OK";"8373.7";"-9";"0";"8373.7";"-9";"0"
"H - 9R (120%)";"3600";"-";"6272.8";"9";"0";"";"";"";"OK";"6272.8";"9";"0";"6272.8";"9";"0"
"H - 12L (120%)";"1800";"-";"4175.9";"-12";"0";"";"";"";"OK";"4175.9";"-12";"0";"4175.9";"-12";"0"
"H - 12R (120%)";"1800";"-";"3894.1";"12";"0";"";"";"";"OK";"3894.1";"12";"0";"3894.1";"12";"0"
"1.5D - V (120%)";"6000";"-";"69479.1";"0";"-1.5";"";"";"";"OK";"69479.1";"0";"-1.5";"69479.1";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"16468.7";"-9";"-1.5";"";"";"";"OK";"16468.7";"-9";"-1.5";"16468.7";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"16369.1";"9";"-1.5";"";"";"";"OK";"16369.1";"9";"-1.5";"16369.1";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"47942.4";"0";"-2.5";"";"";"";"OK";"47942.4";"0";"-2.5";"47942.4";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8473.3";"-12";"-2.5";"";"";"";"OK";"8473.3";"-12";"-2.5";"8473.3";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"10823.1";"12";"-2.5";"";"";"";"OK";"10823.1";"12";"-2.5";"10823.1";"12";"-2.5"
"4D - V (120%)";"-";"9600";"11082.0";"0";"-4";"8961.2";"0";"-4.25";"OK";"11082.0";"0";"-4";"11082.0";"0";"-4"
"MAX ";"-";"-";"74955.4";"-0.2";"-0.71";"";"";"";"OK";"74955.4";"-0.2";"-0.71";"74955.4";"-0.2";"-0.71"
