sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;27829.470;0.00
2;10;27819.510;-0.04
3;20;27799.600;-0.11
4;30;27799.600;-0.11
5;40;27789.640;-0.15
6;50;27779.680;-0.18
7;60;27769.720;-0.22
8;70;27759.770;-0.26
9;80;27749.810;-0.29
10;90;27739.860;-0.33
11;100;27729.900;-0.37
12;110;27719.940;-0.40
13;120;27719.940;-0.40
14;130;27709.980;-0.44
15;140;27700.030;-0.48
16;150.016;27700.030;-0.48
17;160.016;27680.110;-0.55
18;170.016;27680.110;-0.55
19;180.016;27670.160;-0.59
20;190.016;27660.200;-0.62
21;200.016;27650.240;-0.66
22;210.016;27640.290;-0.70
23;220.016;27630.330;-0.73
24;230.016;27630.330;-0.73
25;240.016;27620.370;-0.77
26;250.016;27610.420;-0.81
27;260.016;27600.460;-0.84
28;270.016;27590.500;-0.88
29;280.016;27590.500;-0.88
30;290.016;27580.540;-0.92
31;300.016;27570.590;-0.95
32;310.016;27570.590;-0.95
33;320.016;27550.670;-1.03
34;330.016;27550.670;-1.03
35;340.016;27540.720;-1.06
36;350.016;27540.720;-1.06
37;360.016;27520.800;-1.14
38;370.016;27510.850;-1.17
39;380.016;27510.850;-1.17
40;390.031;27510.850;-1.17
41;400.031;27500.890;-1.21
42;410.031;27490.930;-1.25
43;420.031;27490.930;-1.25
44;430.031;27471.020;-1.32
45;440.031;27461.060;-1.36
46;450.031;27461.060;-1.36
47;460.031;27451.110;-1.39
48;470.031;27451.110;-1.39
49;480.031;27441.150;-1.43
50;490.031;27431.190;-1.47
51;500.031;27431.190;-1.47
52;510.031;27421.230;-1.50
53;520.031;27411.280;-1.54
54;530.031;27411.280;-1.54
55;540.031;27391.360;-1.61
56;550.031;27391.360;-1.61
57;560.031;27381.410;-1.65
58;570.031;27371.450;-1.69
59;580.031;27371.450;-1.69
60;590.031;27361.490;-1.72
61;600.031;27351.540;-1.76
62;610.031;27351.540;-1.76
63;620.031;27341.580;-1.80
64;630.031;27341.580;-1.80
65;640.031;27321.670;-1.87
66;650.031;27311.710;-1.91
67;660.031;27311.710;-1.91
68;670.031;27311.710;-1.91
69;680.031;27301.750;-1.94
70;690.031;27291.790;-1.98
71;700.031;27291.790;-1.98
72;710.031;27281.840;-2.02
73;720.031;27261.920;-2.09
74;730.031;27271.880;-2.05
75;740.031;27271.880;-2.05
76;750.031;27261.920;-2.09
77;760.031;27251.970;-2.13
78;770.031;27251.970;-2.13
79;780.031;27242.010;-2.16
80;790.031;27242.010;-2.16
81;800.031;27242.010;-2.16
82;810.031;27232.050;-2.20
83;820.031;27222.100;-2.24
84;830.031;27222.100;-2.24
85;840.031;27212.140;-2.27
86;850.031;27202.180;-2.31
87;860.031;27202.180;-2.31
88;870.031;27192.230;-2.35
89;880.031;27182.270;-2.38
90;890.031;27162.360;-2.46
91;900.031;27172.310;-2.42
92;910.031;27172.310;-2.42
93;920.031;27172.310;-2.42
94;930.031;27152.400;-2.49
95;940.031;27152.400;-2.49
96;950.031;27142.440;-2.53
97;960.031;27142.440;-2.53
