sep=;
"Name:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2UP) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 6:19:12"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2UP) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.3) 106.4";"(-90) 0.9";"10";"(0.3) 104.1";"(-90) 0.9";"(10) 10.25";"NG";"0.3";"-90";"10";"106.4";"0.9";"10"
"4U - 8R (120%)";"76.8";"-";"207.9";"8";"4";"";"";"";"OK";"207.9";"8";"4";"207.9";"8";"4"
"4U - 8L (120%)";"76.8";"-";"130.3";"-8";"4";"";"";"";"OK";"130.3";"-8";"4";"130.3";"-8";"4"
"2U-4L (120%)";"162";"-";"154.4";"-4";"2";"154.4";"-4";"2";"NG";"154.4";"-4";"2";"154.4";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(344.3) 405.2";"(1) 3";"1.5";"";"";"";"OK";"344.3";"1";"1.5";"405.2";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(49.9) 407.1";"(20) 3.5";"1.5";"";"";"";"OK";"49.9";"20";"1.5";"407.1";"3.5";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(66.5) 227.9";"(-20) -1.5";"1";"";"";"";"OK";"66.5";"-20";"1";"227.9";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(102.9) 258.1";"(-15) -1.5";"0.5";"";"";"";"OK";"102.9";"-15";"0.5";"258.1";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(410.1) 476.4";"(1) 3";"0.5";"(608.7) 647.7";"(1.2) 3";"0.25";"OK";"410.1";"1";"0.5";"476.4";"3";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(409.0) 475.3";"(1) 3";"0.5";"";"";"";"OK";"409.0";"1";"0.5";"475.3";"3";"0.5"
"H - 4L (120%)";"162";"-";"249.4";"-4";"0";"";"";"";"OK";"249.4";"-4";"0";"249.4";"-4";"0"
"H - 8L (120%)";"76.8";"-";"2522.1";"-8";"0";"";"";"";"OK";"2522.1";"-8";"0";"2522.1";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"25330.3";"2";"-1.5";"";"";"";"OK";"25330.3";"2";"-1.5";"25330.3";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"5134.8";"-15";"-2";"";"";"";"OK";"5134.8";"-15";"-2";"5134.8";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7256.6";"15";"-2";"";"";"";"OK";"7256.6";"15";"-2";"7256.6";"15";"-2"
"4D - 4R (120%)";"-";"10000";"7291.4";"4";"-4";"";"";"";"OK";"7291.4";"4";"-4";"7291.4";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"29303.1";"1.3";"-0.6";"";"";"";"OK";"29303.1";"1.3";"-0.6";"29303.1";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"28994.4";"0";"-0.86";"";"";"";"OK";"28994.4";"0";"-0.86";"28994.4";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"16687.7";"-3.5";"-0.86";"4421.8";"-3.5";"-0.61";"OK";"16687.7";"-3.5";"-0.86";"16687.7";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"9917.0";"-9";"-2";"";"";"";"OK";"9917.0";"-9";"-2";"9917.0";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"11460.4";"9";"-2";"";"";"";"OK";"11460.4";"9";"-2";"11460.4";"9";"-2"
"4D - 20L (120%)";"360";"-";"1913.7";"-20";"-4";"";"";"";"OK";"1913.7";"-20";"-4";"1913.7";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3416.2";"20";"-4";"";"";"";"OK";"3416.2";"20";"-4";"3416.2";"20";"-4"
"4D - V (120%)";"-";"9600";"7801.2";"0";"-4";"";"";"";"OK";"7801.2";"0";"-4";"7801.2";"0";"-4"
"MAX";"-";"-";"29781.0";"0.74";"-0.71";"";"";"";"OK";"29781.0";"0.74";"-0.71";"29781.0";"0.74";"-0.71"
