sep=;
"Name:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2UP) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 8:19:37"
"Current:";"0.00085 A";"File:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2UP) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"10853.0";"0";"2";"";"";"";"OK";"10853.0";"0";"2";"10853.0";"0";"2"
"1U - 3L (120%)";"6000";"-";"20312.0";"-3";"1";"";"";"";"OK";"20312.0";"-3";"1";"20312.0";"-3";"1"
"1U - 3R (120%)";"6000";"-";"20650.6";"3";"1";"";"";"";"OK";"20650.6";"3";"1";"20650.6";"3";"1"
"H - V (120%)";"48000";"60000";"67746.6";"0";"0";"57769.8";"0";"0.25";"OK";"67746.6";"0";"0";"67746.6";"0";"0"
"H - 3L (120%)";"18000";"-";"29392.7";"-3";"0";"";"";"";"OK";"29392.7";"-3";"0";"29392.7";"-3";"0"
"H - 3R (120%)";"18000";"-";"44148.8";"3";"0";"";"";"";"OK";"44148.8";"3";"0";"44148.8";"3";"0"
"H - 6L (120%)";"6000";"-";"18838.4";"-6";"0";"";"";"";"OK";"18838.4";"-6";"0";"18838.4";"-6";"0"
"H - 6R (120%)";"6000";"-";"15632.3";"6";"0";"";"";"";"OK";"15632.3";"6";"0";"15632.3";"6";"0"
"H - 9L (120%)";"3600";"-";"8204.5";"-9";"0";"";"";"";"OK";"8204.5";"-9";"0";"8204.5";"-9";"0"
"H - 9R (120%)";"3600";"-";"6401.3";"9";"0";"";"";"";"OK";"6401.3";"9";"0";"6401.3";"9";"0"
"H - 12L (120%)";"1800";"-";"4477.6";"-12";"0";"";"";"";"OK";"4477.6";"-12";"0";"4477.6";"-12";"0"
"H - 12R (120%)";"1800";"-";"4291.4";"12";"0";"";"";"";"OK";"4291.4";"12";"0";"4291.4";"12";"0"
"1.5D - V (120%)";"6000";"-";"38692.4";"0";"-1.5";"";"";"";"OK";"38692.4";"0";"-1.5";"38692.4";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"14437.5";"-9";"-1.5";"";"";"";"OK";"14437.5";"-9";"-1.5";"14437.5";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"17882.6";"9";"-1.5";"";"";"";"OK";"17882.6";"9";"-1.5";"17882.6";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"20521.1";"0";"-2.5";"";"";"";"OK";"20521.1";"0";"-2.5";"20521.1";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"9269.9";"-12";"-2.5";"";"";"";"OK";"9269.9";"-12";"-2.5";"9269.9";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"12625.3";"12";"-2.5";"";"";"";"OK";"12625.3";"12";"-2.5";"12625.3";"12";"-2.5"
"4D - V (120%)";"-";"9600";"11201.5";"0";"-4";"10474.6";"0";"-4.25";"NG";"11201.5";"0";"-4";"11201.5";"0";"-4"
"MAX ";"-";"-";"69688.2";"0.2";"-0.26";"";"";"";"OK";"69688.2";"0.2";"-0.26";"69688.2";"0.2";"-0.26"
