sep=;
"Name:";"CT1 NAS HL LED LOW (STD ASSY-LED) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 6:52:04"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (STD ASSY-LED) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.2) 78.4";"(-79.4) 1.5";"(26) 10";"";"";"";"OK";"0.2";"-79.4";"26";"78.4";"1.5";"10"
"4U - 8R (120%)";"76.8";"-";"306.1";"8";"4";"";"";"";"OK";"306.1";"8";"4";"306.1";"8";"4"
"4U - 8L (120%)";"76.8";"-";"275.0";"-8";"4";"";"";"";"OK";"275.0";"-8";"4";"275.0";"-8";"4"
"2U-4L (120%)";"162";"-";"430.4";"-4";"2";"";"";"";"OK";"430.4";"-4";"2";"430.4";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(605.2) 661.3";"(3) 1.25";"1.5";"";"";"";"OK";"605.2";"3";"1.5";"661.3";"1.25";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(60.2) 662.1";"(20) 1.25";"1.5";"";"";"";"OK";"60.2";"20";"1.5";"662.1";"1.25";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(36.8) 504.1";"(-20) -5.75";"1";"";"";"";"OK";"36.8";"-20";"1";"504.1";"-5.75";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(81.3) 439.5";"(-15) -6";"0.5";"";"";"";"OK";"81.3";"-15";"0.5";"439.5";"-6";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(1075.9) 1225.3";"(3) 1.2";"0.5";"";"";"";"OK";"1075.9";"3";"0.5";"1225.3";"1.2";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(1081.1) 1227.3";"(3) 1.2";"0.5";"";"";"";"OK";"1081.1";"3";"0.5";"1227.3";"1.2";"0.5"
"H - 4L (120%)";"162";"-";"319.2";"-4";"0";"";"";"";"OK";"319.2";"-4";"0";"319.2";"-4";"0"
"H - 8L (120%)";"76.8";"-";"2657.5";"-8";"0";"";"";"";"OK";"2657.5";"-8";"0";"2657.5";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"31224.8";"2";"-1.5";"";"";"";"OK";"31224.8";"2";"-1.5";"31224.8";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"7796.2";"-15";"-2";"";"";"";"OK";"7796.2";"-15";"-2";"7796.2";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"10295.4";"15";"-2";"";"";"";"OK";"10295.4";"15";"-2";"10295.4";"15";"-2"
"4D - 4R (120%)";"-";"10000";"12446.1";"4";"-4";"11569.9";"4";"-4.25";"NG";"12446.1";"4";"-4";"12446.1";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"22084.4";"1.3";"-0.6";"";"";"";"OK";"22084.4";"1.3";"-0.6";"22084.4";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"26146.8";"0";"-0.86";"";"";"";"OK";"26146.8";"0";"-0.86";"26146.8";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"6982.8";"-3.5";"-0.86";"";"";"";"OK";"6982.8";"-3.5";"-0.86";"6982.8";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"12037.9";"-9";"-2";"";"";"";"OK";"12037.9";"-9";"-2";"12037.9";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"16399.0";"9";"-2";"";"";"";"OK";"16399.0";"9";"-2";"16399.0";"9";"-2"
"4D - 20L (120%)";"360";"-";"2375.7";"-20";"-4";"";"";"";"OK";"2375.7";"-20";"-4";"2375.7";"-20";"-4"
"4D - 20R (120%)";"360";"-";"6028.9";"20";"-4";"";"";"";"OK";"6028.9";"20";"-4";"6028.9";"20";"-4"
"4D - V (120%)";"-";"9600";"11241.3";"0";"-4";"10534.4";"0";"-4.25";"NG";"11241.3";"0";"-4";"11241.3";"0";"-4"
"MAX";"-";"-";"31503.6";"0.93";"-1.32";"";"";"";"OK";"31503.6";"0.93";"-1.32";"31503.6";"0.93";"-1.32"
