sep=;
"Name:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2UP) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 8:07:30"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2UP) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.3) 69.6";"(-90) 1";"10";"";"";"";"OK";"0.3";"-90";"10";"69.6";"1";"10"
"4U - 8R (120%)";"76.8";"-";"273.3";"8";"4";"";"";"";"OK";"273.3";"8";"4";"273.3";"8";"4"
"4U - 8L (120%)";"76.8";"-";"258.0";"-8";"4";"";"";"";"OK";"258.0";"-8";"4";"258.0";"-8";"4"
"2U-4L (120%)";"162";"-";"415.1";"-4";"2";"";"";"";"OK";"415.1";"-4";"2";"415.1";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(564.7) 618.8";"(3) 1";"1.5";"";"";"";"OK";"564.7";"3";"1.5";"618.8";"1";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(57.9) 617.9";"(20) 1";"1.5";"";"";"";"OK";"57.9";"20";"1.5";"617.9";"1";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(35.5) 507.4";"(-20) -1.5";"1";"";"";"";"OK";"35.5";"-20";"1";"507.4";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(82.2) 469.9";"(-15) -6";"0.5";"";"";"";"OK";"82.2";"-15";"0.5";"469.9";"-6";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(1043.5) 1226.7";"(3) 1";"0.5";"";"";"";"OK";"1043.5";"3";"0.5";"1226.7";"1";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(1046.5) 1229.7";"(3) 1";"0.5";"";"";"";"OK";"1046.5";"3";"0.5";"1229.7";"1";"0.5"
"H - 4L (120%)";"162";"-";"322.8";"-4";"0";"";"";"";"OK";"322.8";"-4";"0";"322.8";"-4";"0"
"H - 8L (120%)";"76.8";"-";"2343.8";"-8";"0";"";"";"";"OK";"2343.8";"-8";"0";"2343.8";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"30099.6";"2";"-1.5";"";"";"";"OK";"30099.6";"2";"-1.5";"30099.6";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"7485.6";"-15";"-2";"";"";"";"OK";"7485.6";"-15";"-2";"7485.6";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"9518.8";"15";"-2";"";"";"";"OK";"9518.8";"15";"-2";"9518.8";"15";"-2"
"4D - 4R (120%)";"-";"10000";"12535.7";"4";"-4";"11729.2";"4";"-4.25";"NG";"12535.7";"4";"-4";"12535.7";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"21845.4";"1.3";"-0.6";"";"";"";"OK";"21845.4";"1.3";"-0.6";"21845.4";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"25738.5";"0";"-0.86";"";"";"";"OK";"25738.5";"0";"-0.86";"25738.5";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"6160.3";"-3.5";"-0.86";"";"";"";"OK";"6160.3";"-3.5";"-0.86";"6160.3";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"11679.4";"-9";"-2";"";"";"";"OK";"11679.4";"-9";"-2";"11679.4";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"15602.4";"9";"-2";"";"";"";"OK";"15602.4";"9";"-2";"15602.4";"9";"-2"
"4D - 20L (120%)";"360";"-";"2270.2";"-20";"-4";"";"";"";"OK";"2270.2";"-20";"-4";"2270.2";"-20";"-4"
"4D - 20R (120%)";"360";"-";"6113.5";"20";"-4";"";"";"";"OK";"6113.5";"20";"-4";"6113.5";"20";"-4"
"4D - V (120%)";"-";"9600";"11311.0";"0";"-4";"10643.9";"0";"-4.25";"NG";"11311.0";"0";"-4";"11311.0";"0";"-4"
"MAX";"-";"-";"30398.3";"1.24";"-1.44";"";"";"";"OK";"30398.3";"1.24";"-1.44";"30398.3";"1.24";"-1.44"
