sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;66691.150;12.33
2;10;66740.940;12.41
3;20;66810.630;12.53
4;30;66870.380;12.64
5;40;66920.160;12.72
6;50;66969.950;12.81
7;60;66989.860;12.84
8;70;67029.690;12.91
9;80;67079.470;13.00
10;90;67099.380;13.03
11;100;67089.420;13.02
12;110;67119.300;13.07
13;120;67129.250;13.09
14;130;67109.340;13.05
15;140;67089.420;13.02
16;150;67069.520;12.98
17;160;67069.520;12.98
18;170;67059.550;12.96
19;180;66999.810;12.86
20;190;66969.950;12.81
21;200;66969.950;12.81
22;210;66890.290;12.67
23;220;66840.500;12.59
24;230;66790.720;12.50
25;240;66790.720;12.50
26;250;66730.980;12.40
27;260;66661.280;12.28
28;270;66641.370;12.24
29;280;66561.710;12.10
30;290;66492.020;11.98
31;300;66442.230;11.90
32;310;66382.480;11.79
33;320;66332.700;11.71
34;330;66282.920;11.62
35;340;66213.220;11.50
36;350;66143.520;11.38
37;360;66083.780;11.28
38;370;66043.950;11.21
39;380;65974.260;11.09
40;390;65894.600;10.95
41;400;65834.860;10.85
42;410;65765.160;10.73
43;420;65715.380;10.64
44;430;65635.720;10.50
45;440;65526.200;10.31
46;450;65516.240;10.30
47;460;65426.630;10.14
48;470;65327.060;9.97
49;480;65297.190;9.92
50;490;65217.530;9.78
51;500;65167.750;9.69
52;510;65117.960;9.61
53;520;65028.350;9.45
54;530;64988.520;9.38
55;540;64898.910;9.23
56;550;64869.040;9.18
57;560;64789.390;9.04
58;570;64759.520;8.99
59;580;64659.950;8.82
60;590;64610.160;8.73
61;600;64590.250;8.69
62;610;64510.590;8.56
63;620;64450.860;8.45
64;630;64401.070;8.37
65;640;64301.500;8.20
66;650;64251.710;8.11
67;660;64231.800;8.08
68;670;64132.230;7.90
69;680;64102.360;7.85
70;690;64032.660;7.73
71;700;63972.920;7.63
72;710;63933.100;7.56
73;720;63853.440;7.42
74;730;63793.700;7.32
75;740;63743.910;7.23
76;750;63694.130;7.15
77;760;63624.430;7.02
78;770;63574.650;6.94
79;780;63524.860;6.85
80;790;63465.120;6.75
81;800;63405.380;6.65
82;810;63375.510;6.59
83;820;63335.680;6.53
84;830;63256.030;6.39
85;840;63226.160;6.34
86;850;63166.420;6.23
87;860;63106.680;6.13
88;870;63027.020;5.99
89;880;62977.230;5.91
90;890;62947.370;5.85
91;900;62887.630;5.75
92;910;62837.840;5.66
93;920;62778.100;5.56
94;930;62738.270;5.49
95;940;62688.490;5.41
96;950;62628.750;5.30
97;960;62578.960;5.22
98;970;62539.130;5.15
99;980;62469.430;5.03
100;990;62429.610;4.96
101;1000;62389.780;4.89
102;1010;62330.040;4.79
103;1020;62280.250;4.70
104;1030;62240.430;4.63
105;1040;62200.600;4.56
106;1050;62140.860;4.46
107;1060.015;62101.030;4.39
108;1070.015;62051.250;4.30
109;1080.015;62001.460;4.22
110;1090.015;61971.590;4.17
111;1100.015;61931.770;4.10
112;1110.015;61881.980;4.01
113;1120.015;61822.240;3.91
114;1130.015;61792.370;3.86
115;1140.015;61752.540;3.79
