sep=;
"Name:";"CT1 NAS HL LED HIGH (STD ASSY-LED) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 10:33:30"
"Current:";"0.00085 A";"File:";"CT1 NAS HL LED HIGH (STD ASSY-LED) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"7657.8";"0";"2";"";"";"";"OK";"7657.8";"0";"2";"7657.8";"0";"2"
"1U - 3L (120%)";"6000";"-";"14507.2";"-3";"1";"";"";"";"OK";"14507.2";"-3";"1";"14507.2";"-3";"1"
"1U - 3R (120%)";"6000";"-";"12774.7";"3";"1";"";"";"";"OK";"12774.7";"3";"1";"12774.7";"3";"1"
"H - V (120%)";"48000";"60000";"57939.1";"0";"0";"";"";"";"OK";"57939.1";"0";"0";"57939.1";"0";"0"
"H - 3L (120%)";"18000";"-";"35974.2";"-3";"0";"";"";"";"OK";"35974.2";"-3";"0";"35974.2";"-3";"0"
"H - 3R (120%)";"18000";"-";"39737.9";"3";"0";"";"";"";"OK";"39737.9";"3";"0";"39737.9";"3";"0"
"H - 6L (120%)";"6000";"-";"27381.4";"-6";"0";"";"";"";"OK";"27381.4";"-6";"0";"27381.4";"-6";"0"
"H - 6R (120%)";"6000";"-";"23816.9";"6";"0";"";"";"";"OK";"23816.9";"6";"0";"23816.9";"6";"0"
"H - 9L (120%)";"3600";"-";"15124.5";"-9";"0";"";"";"";"OK";"15124.5";"-9";"0";"15124.5";"-9";"0"
"H - 9R (120%)";"3600";"-";"12057.8";"9";"0";"";"";"";"OK";"12057.8";"9";"0";"12057.8";"9";"0"
"H - 12L (120%)";"1800";"-";"10205.8";"-12";"0";"";"";"";"OK";"10205.8";"-12";"0";"10205.8";"-12";"0"
"H - 12R (120%)";"1800";"-";"9369.4";"12";"0";"";"";"";"OK";"9369.4";"12";"0";"9369.4";"12";"0"
"1.5D - V (120%)";"6000";"-";"58088.4";"0";"-1.5";"";"";"";"OK";"58088.4";"0";"-1.5";"58088.4";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"18758.8";"-9";"-1.5";"";"";"";"OK";"18758.8";"-9";"-1.5";"18758.8";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"22014.7";"9";"-1.5";"";"";"";"OK";"22014.7";"9";"-1.5";"22014.7";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"23707.3";"0";"-2.5";"";"";"";"OK";"23707.3";"0";"-2.5";"23707.3";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"9459.0";"-12";"-2.5";"";"";"";"OK";"9459.0";"-12";"-2.5";"9459.0";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"12545.7";"12";"-2.5";"";"";"";"OK";"12545.7";"12";"-2.5";"12545.7";"12";"-2.5"
"4D - V (120%)";"-";"9600";"9160.3";"0";"-4";"";"";"";"OK";"9160.3";"0";"-4";"9160.3";"0";"-4"
"MAX ";"-";"-";"83637.8";"-1.16";"-0.64";"";"";"";"OK";"83637.8";"-1.16";"-0.64";"83637.8";"-1.16";"-0.64"
