sep=;
"Name:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2DOWN) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 11:18:51"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2DOWN) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"7152.0";"0";"2";"";"";"";"OK";"7152.0";"0";"2";"7152.0";"0";"2"
"1U - 3L (120%)";"6000";"-";"13302.4";"-3";"1";"";"";"";"OK";"13302.4";"-3";"1";"13302.4";"-3";"1"
"1U - 3R (120%)";"6000";"-";"12844.4";"3";"1";"";"";"";"OK";"12844.4";"3";"1";"12844.4";"3";"1"
"H - V (120%)";"48000";"60000";"43402.0";"0";"0";"43471.7";"-0.25";"0";"NG";"43402.0";"0";"0";"43402.0";"0";"0"
"H - 3L (120%)";"18000";"-";"29761.1";"-3";"0";"";"";"";"OK";"29761.1";"-3";"0";"29761.1";"-3";"0"
"H - 3R (120%)";"18000";"-";"29104.0";"3";"0";"";"";"";"OK";"29104.0";"3";"0";"29104.0";"3";"0"
"H - 6L (120%)";"6000";"-";"20262.2";"-6";"0";"";"";"";"OK";"20262.2";"-6";"0";"20262.2";"-6";"0"
"H - 6R (120%)";"6000";"-";"17424.5";"6";"0";"";"";"";"OK";"17424.5";"6";"0";"17424.5";"6";"0"
"H - 9L (120%)";"3600";"-";"11261.2";"-9";"0";"";"";"";"OK";"11261.2";"-9";"0";"11261.2";"-9";"0"
"H - 9R (120%)";"3600";"-";"9807.5";"9";"0";"";"";"";"OK";"9807.5";"9";"0";"9807.5";"9";"0"
"H - 12L (120%)";"1800";"-";"8323.9";"-12";"0";"";"";"";"OK";"8323.9";"-12";"0";"8323.9";"-12";"0"
"H - 12R (120%)";"1800";"-";"8363.8";"12";"0";"";"";"";"OK";"8363.8";"12";"0";"8363.8";"12";"0"
"1.5D - V (120%)";"6000";"-";"65247.4";"0";"-1.5";"";"";"";"OK";"65247.4";"0";"-1.5";"65247.4";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"19784.3";"-9";"-1.5";"";"";"";"OK";"19784.3";"-9";"-1.5";"19784.3";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"23338.9";"9";"-1.5";"";"";"";"OK";"23338.9";"9";"-1.5";"23338.9";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"28645.9";"0";"-2.5";"";"";"";"OK";"28645.9";"0";"-2.5";"28645.9";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"10245.6";"-12";"-2.5";"";"";"";"OK";"10245.6";"-12";"-2.5";"10245.6";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"13421.9";"12";"-2.5";"";"";"";"OK";"13421.9";"12";"-2.5";"13421.9";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10166.0";"0";"-4";"8712.3";"0";"-4.25";"OK";"10166.0";"0";"-4";"10166.0";"0";"-4"
"MAX ";"-";"-";"77912.6";"-0.97";"-0.88";"";"";"";"OK";"77912.6";"-0.97";"-0.88";"77912.6";"-0.97";"-0.88"
