sep=;
"Name:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2DOWN) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 11:08:58"
"Current:";"0.00085 A";"File:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2DOWN) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.2) 74.9";"(-89.5) 2.4";"10";"";"";"";"OK";"0.2";"-89.5";"10";"74.9";"2.4";"10"
"4U - 8R (120%)";"76.8";"-";"304.9";"8";"4";"";"";"";"OK";"304.9";"8";"4";"304.9";"8";"4"
"4U - 8L (120%)";"76.8";"-";"286.3";"-8";"4";"";"";"";"OK";"286.3";"-8";"4";"286.3";"-8";"4"
"2U-4L (120%)";"162";"-";"447.1";"-4";"2";"";"";"";"OK";"447.1";"-4";"2";"447.1";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(565.8) 631.7";"(3) 1";"1.5";"";"";"";"OK";"565.8";"3";"1.5";"631.7";"1";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(59.8) 632.1";"(20) 1";"1.5";"";"";"";"OK";"59.8";"20";"1.5";"632.1";"1";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(39.4) 388.3";"(-20) -1.5";"1";"";"";"";"OK";"39.4";"-20";"1";"388.3";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(105.3) 328.1";"(-15) -6.25";"0.5";"";"";"";"OK";"105.3";"-15";"0.5";"328.1";"-6.25";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(895.1) 995.1";"(2.2) 1";"0.5";"";"";"";"OK";"895.1";"2.2";"0.5";"995.1";"1";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(895.1) 995.5";"(2.2) 1";"0.5";"";"";"";"OK";"895.1";"2.2";"0.5";"995.5";"1";"0.5"
"H - 4L (120%)";"162";"-";"1256.6";"-4";"0";"";"";"";"OK";"1256.6";"-4";"0";"1256.6";"-4";"0"
"H - 8L (120%)";"76.8";"-";"2151.7";"-8";"0";"";"";"";"OK";"2151.7";"-8";"0";"2151.7";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"37437.9";"2";"-1.5";"";"";"";"OK";"37437.9";"2";"-1.5";"37437.9";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"8363.8";"-15";"-2";"";"";"";"OK";"8363.8";"-15";"-2";"8363.8";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"10793.3";"15";"-2";"";"";"";"OK";"10793.3";"15";"-2";"10793.3";"15";"-2"
"4D - 4R (120%)";"-";"10000";"11709.3";"4";"-4";"10335.2";"4";"-4.25";"NG";"11709.3";"4";"-4";"11709.3";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"29890.5";"1.3";"-0.6";"";"";"";"OK";"29890.5";"1.3";"-0.6";"29890.5";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"33714.0";"0";"-0.86";"";"";"";"OK";"33714.0";"0";"-0.86";"33714.0";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"11410.6";"-3.5";"-0.86";"8353.8";"-3.5";"-0.61";"OK";"11410.6";"-3.5";"-0.86";"11410.6";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"14457.4";"-9";"-2";"";"";"";"OK";"14457.4";"-9";"-2";"14457.4";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"18440.1";"9";"-2";"";"";"";"OK";"18440.1";"9";"-2";"18440.1";"9";"-2"
"4D - 20L (120%)";"360";"-";"1829.1";"-20";"-4";"";"";"";"OK";"1829.1";"-20";"-4";"1829.1";"-20";"-4"
"4D - 20R (120%)";"360";"-";"4921.7";"20";"-4";"";"";"";"OK";"4921.7";"20";"-4";"4921.7";"20";"-4"
"4D - V (120%)";"-";"9600";"10803.2";"0";"-4";"9319.6";"0";"-4.25";"OK";"10803.2";"0";"-4";"10803.2";"0";"-4"
"MAX";"-";"-";"37876.0";"2.15";"-1.24";"";"";"";"OK";"37876.0";"2.15";"-1.24";"37876.0";"2.15";"-1.24"
