sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;68722.350;9.04
2;10;68363.910;8.46
3;20;68184.680;8.16
4;30;68065.200;7.97
5;40;67945.720;7.77
6;50;67846.150;7.61
7;60;67726.660;7.42
8;70;67607.180;7.22
9;80;67507.620;7.06
10;90;67418.000;6.91
11;100;67308.480;6.73
12;110;67198.950;6.56
13;120.015;67149.160;6.48
14;130.015;67029.690;6.28
15;140.015;66950.030;6.15
16;150.015;66860.410;6.00
17;160.015;66750.890;5.83
18;170.015;66671.230;5.70
19;180.015;66591.580;5.57
20;190.015;66501.970;5.42
21;200.015;66402.400;5.26
22;210.015;66332.700;5.14
23;220.015;66253.050;5.01
24;230.015;66163.440;4.87
25;240.015;66123.610;4.80
26;250.015;66024.040;4.64
27;260.015;65954.340;4.53
28;270.015;65904.550;4.45
29;280.015;65834.860;4.33
30;290.015;65765.160;4.22
31;300.015;65675.550;4.07
32;310.015;65635.720;4.01
33;320.015;65566.020;3.89
34;330.015;65506.280;3.80
35;340.015;65416.670;3.65
36;350.015;65356.930;3.55
37;360.015;65297.190;3.46
38;370.015;65247.400;3.38
39;380.015;65187.660;3.28
40;390.015;65137.880;3.20
41;400.015;65088.090;3.12
42;410.015;65018.390;3.00
43;420.015;64988.520;2.95
44;430.015;64908.870;2.82
45;440.015;64869.040;2.76
46;450.015;64809.300;2.66
47;460.015;64769.470;2.60
48;470.015;64719.690;2.52
49;480.015;64679.860;2.45
50;490.015;64610.160;2.34
51;500.015;64560.380;2.26
52;510.015;64540.460;2.22
53;520.015;64500.640;2.16
54;530.015;64450.860;2.08
55;540.015;64391.110;1.98
56;550.015;64361.240;1.93
57;560.015;64301.500;1.83
58;570.015;64271.630;1.79
59;580.015;64221.840;1.70
60;590.015;64182.020;1.64
61;600.015;64152.150;1.59
62;610.015;64122.280;1.54
63;620.015;64072.490;1.46
64;630.015;64032.660;1.40
65;640.015;64012.750;1.36
66;650.015;63972.920;1.30
67;660.015;63933.100;1.23
68;670.015;63893.270;1.17
69;680.015;63873.360;1.14
70;690.015;63843.480;1.09
71;700.015;63813.610;1.04
72;710.015;63753.870;0.94
73;720.015;63714.040;0.88
74;730.015;63684.180;0.83
75;740.015;63654.300;0.78
76;750.015;63654.300;0.78
77;760.015;63614.480;0.71
78;770.015;63564.690;0.63
79;780.015;63554.730;0.62
80;790.015;63524.860;0.57
81;800.015;63494.990;0.52
82;810.015;63465.120;0.47
83;820.015;63425.300;0.41
84;830.015;63385.470;0.34
85;840.015;63375.510;0.32
86;850.015;63355.600;0.29
87;860.015;63335.680;0.26
88;870.015;63285.900;0.18
89;880.015;63256.030;0.13
90;890.015;63236.110;0.10
91;900.015;63216.200;0.06
92;910.015;63176.380;0.00
93;920.015;63166.420;-0.02
94;930.015;63146.500;-0.05
95;940.015;63116.630;-0.10
96;950.015;63086.760;-0.15
97;960.015;63066.850;-0.18
98;970.015;63036.980;-0.23
99;980.015;63017.060;-0.26
100;990.015;62967.280;-0.34
101;1000.015;62947.370;-0.37
102;1010.015;62927.450;-0.41
103;1020.015;62907.540;-0.44
104;1030.015;62877.670;-0.49
105;1040.015;62847.800;-0.54
106;1050.015;62827.880;-0.57
107;1060.015;62817.930;-0.58
108;1070.015;62798.010;-0.62
109;1080.015;62748.230;-0.70
110;1090.015;62728.310;-0.73
111;1100.015;62728.310;-0.73
112;1110.015;62698.450;-0.78
113;1120.015;62668.570;-0.83
114;1130.015;62628.750;-0.89
115;1140.015;62628.750;-0.89
116;1150.015;62588.920;-0.96
117;1160.015;62578.960;-0.97
118;1170.015;62549.090;-1.02
119;1180.015;62539.130;-1.04
120;1190.015;62509.260;-1.09
121;1200.015;62469.430;-1.15
122;1210.015;62469.430;-1.15
123;1220.015;62449.520;-1.18
124;1230.015;62449.520;-1.18
125;1240.015;62389.780;-1.28
126;1250.015;62379.820;-1.30
