sep=;
"Name:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2DOWN) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 1:53:00"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED HIGH (OPT ASSY-LED)(2DOWN) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"40225.8";"0";"2";"";"";"";"OK";"40225.8";"0";"2";"40225.8";"0";"2"
"1U - 3L (120%)";"6000";"-";"43481.7";"-3";"1";"";"";"";"OK";"43481.7";"-3";"1";"43481.7";"-3";"1"
"1U - 3R (120%)";"6000";"-";"22373.1";"3";"1";"";"";"";"OK";"22373.1";"3";"1";"22373.1";"3";"1"
"H - V (120%)";"48000";"60000";"57739.9";"0";"0";"";"";"";"OK";"57739.9";"0";"0";"57739.9";"0";"0"
"H - 3L (120%)";"18000";"-";"46847.1";"-3";"0";"";"";"";"OK";"46847.1";"-3";"0";"46847.1";"-3";"0"
"H - 3R (120%)";"18000";"-";"27212.1";"3";"0";"";"";"";"OK";"27212.1";"3";"0";"27212.1";"3";"0"
"H - 6L (120%)";"6000";"-";"17374.8";"-6";"0";"";"";"";"OK";"17374.8";"-6";"0";"17374.8";"-6";"0"
"H - 6R (120%)";"6000";"-";"13212.8";"6";"0";"";"";"";"OK";"13212.8";"6";"0";"13212.8";"6";"0"
"H - 9L (120%)";"3600";"-";"8035.2";"-9";"0";"";"";"";"OK";"8035.2";"-9";"0";"8035.2";"-9";"0"
"H - 9R (120%)";"3600";"-";"8443.4";"9";"0";"";"";"";"OK";"8443.4";"9";"0";"8443.4";"9";"0"
"H - 12L (120%)";"1800";"-";"5281.1";"-12";"0";"";"";"";"OK";"5281.1";"-12";"0";"5281.1";"-12";"0"
"H - 12R (120%)";"1800";"-";"5501.2";"12";"0";"";"";"";"OK";"5501.2";"12";"0";"5501.2";"12";"0"
"1.5D - V (120%)";"6000";"-";"71868.7";"0";"-1.5";"";"";"";"OK";"71868.7";"0";"-1.5";"71868.7";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"14258.3";"-9";"-1.5";"";"";"";"OK";"14258.3";"-9";"-1.5";"14258.3";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"16608.1";"9";"-1.5";"";"";"";"OK";"16608.1";"9";"-1.5";"16608.1";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"48569.6";"0";"-2.5";"";"";"";"OK";"48569.6";"0";"-2.5";"48569.6";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8652.5";"-12";"-2.5";"";"";"";"OK";"8652.5";"-12";"-2.5";"8652.5";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"11032.2";"12";"-2.5";"";"";"";"OK";"11032.2";"12";"-2.5";"11032.2";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10604.1";"0";"-4";"8493.2";"0";"-4.25";"OK";"10604.1";"0";"-4";"10604.1";"0";"-4"
"MAX ";"-";"-";"79903.9";"-0.62";"-0.79";"";"";"";"OK";"79903.9";"-0.62";"-0.79";"79903.9";"-0.62";"-0.79"
