sep=;
"Name:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2DOWN) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 1:41:09"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2DOWN) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.2) 98.7";"(-89.8) 2.9";"(14) 10";"";"";"";"OK";"0.2";"-89.8";"14";"98.7";"2.9";"10"
"4U - 8R (120%)";"76.8";"-";"226.5";"8";"4";"";"";"";"OK";"226.5";"8";"4";"226.5";"8";"4"
"4U - 8L (120%)";"76.8";"-";"142.9";"-8";"4";"";"";"";"OK";"142.9";"-8";"4";"142.9";"-8";"4"
"2U-4L (120%)";"162";"-";"174.3";"-4";"2";"";"";"";"OK";"174.3";"-4";"2";"174.3";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(370.9) 381.4";"(1.25) 1.75";"1.5";"";"";"";"OK";"370.9";"1.25";"1.5";"381.4";"1.75";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(49.6) 381.7";"(20) 1.75";"1.5";"";"";"";"OK";"49.6";"20";"1.5";"381.7";"1.75";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(74.5) 297.7";"(-18) -1.5";"1";"";"";"";"OK";"74.5";"-18";"1";"297.7";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(186.3) 374.1";"(-15) -1.5";"0.5";"";"";"";"OK";"186.3";"-15";"0.5";"374.1";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(603.4) 636.2";"(1) 2.4";"0.5";"";"";"";"OK";"603.4";"1";"0.5";"636.2";"2.4";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(604.7) 637.2";"(1) 2.4";"0.5";"";"";"";"OK";"604.7";"1";"0.5";"637.2";"2.4";"0.5"
"H - 4L (120%)";"162";"-";"432.1";"-4";"0";"";"";"";"OK";"432.1";"-4";"0";"432.1";"-4";"0"
"H - 8L (120%)";"76.8";"-";"3191.2";"-8";"0";"";"";"";"OK";"3191.2";"-8";"0";"3191.2";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"22801.2";"2";"-1.5";"";"";"";"OK";"22801.2";"2";"-1.5";"22801.2";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"5432.5";"-15";"-2";"";"";"";"OK";"5432.5";"-15";"-2";"5432.5";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7265.5";"15";"-2";"";"";"";"OK";"7265.5";"15";"-2";"7265.5";"15";"-2"
"4D - 4R (120%)";"-";"10000";"7146.0";"4";"-4";"";"";"";"OK";"7146.0";"4";"-4";"7146.0";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"26106.9";"1.3";"-0.6";"";"";"";"OK";"26106.9";"1.3";"-0.6";"26106.9";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"25648.9";"0";"-0.86";"";"";"";"OK";"25648.9";"0";"-0.86";"25648.9";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"16189.9";"-3.5";"-0.86";"5106.9";"-3.5";"-0.61";"OK";"16189.9";"-3.5";"-0.86";"16189.9";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"8991.1";"-9";"-2";"";"";"";"OK";"8991.1";"-9";"-2";"8991.1";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"11510.2";"9";"-2";"";"";"";"OK";"11510.2";"9";"-2";"11510.2";"9";"-2"
"4D - 20L (120%)";"360";"-";"2296.1";"-20";"-4";"";"";"";"OK";"2296.1";"-20";"-4";"2296.1";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3645.2";"20";"-4";"";"";"";"OK";"3645.2";"20";"-4";"3645.2";"20";"-4"
"4D - V (120%)";"-";"9600";"7412.9";"0";"-4";"";"";"";"OK";"7412.9";"0";"-4";"7412.9";"0";"-4"
"MAX";"-";"-";"26505.2";"1.28";"-0.7";"";"";"";"OK";"26505.2";"1.28";"-0.7";"26505.2";"1.28";"-0.7"
