sep=;
"Name:";"CT1 NAS HL LED HIGH (OPT ASSY-LED) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 6:05:50"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED HIGH (OPT ASSY-LED) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"35914.5";"0";"2";"";"";"";"OK";"35914.5";"0";"2";"35914.5";"0";"2"
"1U - 3L (120%)";"6000";"-";"38443.5";"-3";"1";"";"";"";"OK";"38443.5";"-3";"1";"38443.5";"-3";"1"
"1U - 3R (120%)";"6000";"-";"21228.1";"3";"1";"";"";"";"OK";"21228.1";"3";"1";"21228.1";"3";"1"
"H - V (120%)";"48000";"60000";"50192.6";"0";"0";"";"";"";"OK";"50192.6";"0";"0";"50192.6";"0";"0"
"H - 3L (120%)";"18000";"-";"41370.8";"-3";"0";"";"";"";"OK";"41370.8";"-3";"0";"41370.8";"-3";"0"
"H - 3R (120%)";"18000";"-";"26365.8";"3";"0";"";"";"";"OK";"26365.8";"3";"0";"26365.8";"3";"0"
"H - 6L (120%)";"6000";"-";"17862.6";"-6";"0";"";"";"";"OK";"17862.6";"-6";"0";"17862.6";"-6";"0"
"H - 6R (120%)";"6000";"-";"11241.3";"6";"0";"";"";"";"OK";"11241.3";"6";"0";"11241.3";"6";"0"
"H - 9L (120%)";"3600";"-";"7965.5";"-9";"0";"";"";"";"OK";"7965.5";"-9";"0";"7965.5";"-9";"0"
"H - 9R (120%)";"3600";"-";"6876.2";"9";"0";"";"";"";"OK";"6876.2";"9";"0";"6876.2";"9";"0"
"H - 12L (120%)";"1800";"-";"4351.2";"-12";"0";"";"";"";"OK";"4351.2";"-12";"0";"4351.2";"-12";"0"
"H - 12R (120%)";"1800";"-";"4629.0";"12";"0";"";"";"";"OK";"4629.0";"12";"0";"4629.0";"12";"0"
"1.5D - V (120%)";"6000";"-";"68792.1";"0";"-1.5";"";"";"";"OK";"68792.1";"0";"-1.5";"68792.1";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"15253.9";"-9";"-1.5";"";"";"";"OK";"15253.9";"-9";"-1.5";"15253.9";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"16329.3";"9";"-1.5";"";"";"";"OK";"16329.3";"9";"-1.5";"16329.3";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"47683.5";"0";"-2.5";"";"";"";"OK";"47683.5";"0";"-2.5";"47683.5";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8134.8";"-12";"-2.5";"";"";"";"OK";"8134.8";"-12";"-2.5";"8134.8";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"10693.7";"12";"-2.5";"";"";"";"OK";"10693.7";"12";"-2.5";"10693.7";"12";"-2.5"
"4D - V (120%)";"-";"9600";"11032.2";"0";"-4";"8911.4";"0";"-4.25";"OK";"11032.2";"0";"-4";"11032.2";"0";"-4"
"MAX ";"-";"-";"74288.3";"-0.1";"-0.7";"";"";"";"OK";"74288.3";"-0.1";"-0.7";"74288.3";"-0.1";"-0.7"
