sep=;
"Name:";"CT1 NAS HL LED LOW (OPT ASSY-LED) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 2:23:16"
"Current:";"0.00098 A";"File:";"CT1 NAS HL LED LOW (OPT ASSY-LED) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.3) 122.6";"(-90) 2.1";"10";"(0.3) 115.6";"(-90) 2.1";"(10) 10.25";"NG";"0.3";"-90";"10";"122.6";"2.1";"10"
"4U - 8R (120%)";"76.8";"-";"217.1";"8";"4";"";"";"";"OK";"217.1";"8";"4";"217.1";"8";"4"
"4U - 8L (120%)";"76.8";"-";"133.6";"-8";"4";"";"";"";"OK";"133.6";"-8";"4";"133.6";"-8";"4"
"2U-4L (120%)";"162";"-";"157.0";"-4";"2";"157.1";"-3.75";"2";"NG";"157.0";"-4";"2";"157.0";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(358.7) 411.0";"(1) 3";"1.5";"";"";"";"OK";"358.7";"1";"1.5";"411.0";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(51.3) 411.2";"(20) 3";"1.5";"";"";"";"OK";"51.3";"20";"1.5";"411.2";"3";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(65.7) 230.9";"(-20) -1.5";"1";"";"";"";"OK";"65.7";"-20";"1";"230.9";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(105.4) 266.6";"(-14.5) -1.5";"0.5";"";"";"";"OK";"105.4";"-14.5";"0.5";"266.6";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(417.9) 489.9";"(1) 3";"0.5";"(559.5) 615.1";"(1) 3";"0.25";"NG";"417.9";"1";"0.5";"489.9";"3";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(416.3) 486.8";"(1) 3";"0.5";"";"";"";"OK";"416.3";"1";"0.5";"486.8";"3";"0.5"
"H - 4L (120%)";"162";"-";"248.5";"-4";"0";"";"";"";"OK";"248.5";"-4";"0";"248.5";"-4";"0"
"H - 8L (120%)";"76.8";"-";"2024.2";"-8";"0";"";"";"";"OK";"2024.2";"-8";"0";"2024.2";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"27361.5";"2";"-1.5";"";"";"";"OK";"27361.5";"2";"-1.5";"27361.5";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"5450.4";"-15";"-2";"";"";"";"OK";"5450.4";"-15";"-2";"5450.4";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7735.5";"15";"-2";"";"";"";"OK";"7735.5";"15";"-2";"7735.5";"15";"-2"
"4D - 4R (120%)";"-";"10000";"8234.3";"4";"-4";"";"";"";"OK";"8234.3";"4";"-4";"8234.3";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"30488.0";"1.3";"-0.6";"";"";"";"OK";"30488.0";"1.3";"-0.6";"30488.0";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"30617.4";"0";"-0.86";"";"";"";"OK";"30617.4";"0";"-0.86";"30617.4";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"15214.1";"-3.5";"-0.86";"2893.5";"-3.5";"-0.61";"OK";"15214.1";"-3.5";"-0.86";"15214.1";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"10136.1";"-9";"-2";"";"";"";"OK";"10136.1";"-9";"-2";"10136.1";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"12057.8";"9";"-2";"";"";"";"OK";"12057.8";"9";"-2";"12057.8";"9";"-2"
"4D - 20L (120%)";"360";"-";"2006.3";"-20";"-4";"";"";"";"OK";"2006.3";"-20";"-4";"2006.3";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3616.3";"20";"-4";"";"";"";"OK";"3616.3";"20";"-4";"3616.3";"20";"-4"
"4D - V (120%)";"-";"9600";"8642.6";"0";"-4";"";"";"";"OK";"8642.6";"0";"-4";"8642.6";"0";"-4"
"MAX";"-";"-";"30926.1";"0.79";"-0.72";"";"";"";"OK";"30926.1";"0.79";"-0.72";"30926.1";"0.79";"-0.72"
