sep=;
"Name:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2DOWN) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-05 ¿ÀÀü 6:42:33"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (OPT ASSY-LED)(2DOWN) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.2) 108.4";"(-85.5) 1";"(11) 10";"(0.2) 104.3";"(-85.5) 1";"(11) 10.25";"NG";"0.2";"-85.5";"11";"108.4";"1";"10"
"4U - 8R (120%)";"76.8";"-";"222.2";"8";"4";"";"";"";"OK";"222.2";"8";"4";"222.2";"8";"4"
"4U - 8L (120%)";"76.8";"-";"128.4";"-8";"4";"";"";"";"OK";"128.4";"-8";"4";"128.4";"-8";"4"
"2U-4L (120%)";"162";"-";"152.5";"-4";"2";"157.8";"-4";"2.25";"NG";"152.5";"-4";"2";"152.5";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(334.6) 403.8";"(1) 3";"1.5";"";"";"";"OK";"334.6";"1";"1.5";"403.8";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(54.1) 404.6";"(17) 3.75";"1.5";"";"";"";"OK";"54.1";"17";"1.5";"404.6";"3.75";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(60.3) 213.4";"(-19.75) -1.5";"1";"";"";"";"OK";"60.3";"-19.75";"1";"213.4";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(121.3) 247.0";"(-15) -1.5";"0.5";"";"";"";"OK";"121.3";"-15";"0.5";"247.0";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(432.6) 523.4";"(1) 3";"0.5";"(598.5) 655.7";"(1.6) 3";"0.25";"NG";"432.6";"1";"0.5";"523.4";"3";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(432.4) 523.4";"(1) 3";"0.5";"";"";"";"OK";"432.4";"1";"0.5";"523.4";"3";"0.5"
"H - 4L (120%)";"162";"-";"280.3";"-4";"0";"";"";"";"OK";"280.3";"-4";"0";"280.3";"-4";"0"
"H - 8L (120%)";"76.8";"-";"3342.5";"-8";"0";"";"";"";"OK";"3342.5";"-8";"0";"3342.5";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"25091.3";"2";"-1.5";"";"";"";"OK";"25091.3";"2";"-1.5";"25091.3";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"4850.0";"-15";"-2";"";"";"";"OK";"4850.0";"-15";"-2";"4850.0";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7204.8";"15";"-2";"";"";"";"OK";"7204.8";"15";"-2";"7204.8";"15";"-2"
"4D - 4R (120%)";"-";"10000";"7099.3";"4";"-4";"";"";"";"OK";"7099.3";"4";"-4";"7099.3";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"28994.4";"1.3";"-0.6";"";"";"";"OK";"28994.4";"1.3";"-0.6";"28994.4";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"28626.0";"0";"-0.86";"";"";"";"OK";"28626.0";"0";"-0.86";"28626.0";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"17673.5";"-3.5";"-0.86";"5166.6";"-3.5";"-0.61";"OK";"17673.5";"-3.5";"-0.86";"17673.5";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"9409.2";"-9";"-2";"";"";"";"OK";"9409.2";"-9";"-2";"9409.2";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"11659.5";"9";"-2";"";"";"";"OK";"11659.5";"9";"-2";"11659.5";"9";"-2"
"4D - 20L (120%)";"360";"-";"1707.6";"-20";"-4";"";"";"";"OK";"1707.6";"-20";"-4";"1707.6";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3122.5";"20";"-4";"";"";"";"OK";"3122.5";"20";"-4";"3122.5";"20";"-4"
"4D - V (120%)";"-";"9600";"7578.2";"0";"-4";"";"";"";"OK";"7578.2";"0";"-4";"7578.2";"0";"-4"
"MAX";"-";"-";"29482.3";"0.93";"-0.71";"";"";"";"OK";"29482.3";"0.93";"-0.71";"29482.3";"0.93";"-0.71"
