sep=;
"Name:";"CT1 NAS HL LED HIGH (STD ASSY-LED) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 7:42:40"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED HIGH (STD ASSY-LED) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"10843.0";"0";"2";"";"";"";"OK";"10843.0";"0";"2";"10843.0";"0";"2"
"1U - 3L (120%)";"6000";"-";"19864.0";"-3";"1";"";"";"";"OK";"19864.0";"-3";"1";"19864.0";"-3";"1"
"1U - 3R (120%)";"6000";"-";"20919.4";"3";"1";"";"";"";"OK";"20919.4";"3";"1";"20919.4";"3";"1"
"H - V (120%)";"48000";"60000";"65386.8";"0";"0";"54902.2";"0";"0.25";"OK";"65386.8";"0";"0";"65386.8";"0";"0"
"H - 3L (120%)";"18000";"-";"28257.6";"-3";"0";"";"";"";"OK";"28257.6";"-3";"0";"28257.6";"-3";"0"
"H - 3R (120%)";"18000";"-";"44686.5";"3";"0";"";"";"";"OK";"44686.5";"3";"0";"44686.5";"3";"0"
"H - 6L (120%)";"6000";"-";"19834.1";"-6";"0";"";"";"";"OK";"19834.1";"-6";"0";"19834.1";"-6";"0"
"H - 6R (120%)";"6000";"-";"17753.1";"6";"0";"";"";"";"OK";"17753.1";"6";"0";"17753.1";"6";"0"
"H - 9L (120%)";"3600";"-";"8672.4";"-9";"0";"";"";"";"OK";"8672.4";"-9";"0";"8672.4";"-9";"0"
"H - 9R (120%)";"3600";"-";"7498.5";"9";"0";"";"";"";"OK";"7498.5";"9";"0";"7498.5";"9";"0"
"H - 12L (120%)";"1800";"-";"4605.1";"-12";"0";"";"";"";"OK";"4605.1";"-12";"0";"4605.1";"-12";"0"
"H - 12R (120%)";"1800";"-";"5052.1";"12";"0";"";"";"";"OK";"5052.1";"12";"0";"5052.1";"12";"0"
"1.5D - V (120%)";"6000";"-";"37836.1";"0";"-1.5";"";"";"";"OK";"37836.1";"0";"-1.5";"37836.1";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"14447.4";"-9";"-1.5";"";"";"";"OK";"14447.4";"-9";"-1.5";"14447.4";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"18549.7";"9";"-1.5";"";"";"";"OK";"18549.7";"9";"-1.5";"18549.7";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"20073.1";"0";"-2.5";"";"";"";"OK";"20073.1";"0";"-2.5";"20073.1";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8991.1";"-12";"-2.5";"";"";"";"OK";"8991.1";"-12";"-2.5";"8991.1";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"12635.3";"12";"-2.5";"";"";"";"OK";"12635.3";"12";"-2.5";"12635.3";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10853.0";"0";"-4";"10106.2";"0";"-4.25";"NG";"10853.0";"0";"-4";"10853.0";"0";"-4"
"MAX ";"-";"-";"68363.9";"0.44";"-0.18";"";"";"";"OK";"68363.9";"0.44";"-0.18";"68363.9";"0.44";"-0.18"
