sep=;
"Name:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2UP) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 10:56:37"
"Current:";"0.00085 A";"File:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2UP) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"7304.4";"0";"2";"";"";"";"OK";"7304.4";"0";"2";"7304.4";"0";"2"
"1U - 3L (120%)";"6000";"-";"13909.8";"-3";"1";"";"";"";"OK";"13909.8";"-3";"1";"13909.8";"-3";"1"
"1U - 3R (120%)";"6000";"-";"12655.2";"3";"1";"";"";"";"OK";"12655.2";"3";"1";"12655.2";"3";"1"
"H - V (120%)";"48000";"60000";"53458.5";"0";"0";"";"";"";"OK";"53458.5";"0";"0";"53458.5";"0";"0"
"H - 3L (120%)";"18000";"-";"33415.3";"-3";"0";"";"";"";"OK";"33415.3";"-3";"0";"33415.3";"-3";"0"
"H - 3R (120%)";"18000";"-";"34540.4";"3";"0";"";"";"";"OK";"34540.4";"3";"0";"34540.4";"3";"0"
"H - 6L (120%)";"6000";"-";"23189.6";"-6";"0";"";"";"";"OK";"23189.6";"-6";"0";"23189.6";"-6";"0"
"H - 6R (120%)";"6000";"-";"19027.6";"6";"0";"";"";"";"OK";"19027.6";"6";"0";"19027.6";"6";"0"
"H - 9L (120%)";"3600";"-";"12485.9";"-9";"0";"";"";"";"OK";"12485.9";"-9";"0";"12485.9";"-9";"0"
"H - 9R (120%)";"3600";"-";"9309.7";"9";"0";"";"";"";"OK";"9309.7";"9";"0";"9309.7";"9";"0"
"H - 12L (120%)";"1800";"-";"8134.8";"-12";"0";"";"";"";"OK";"8134.8";"-12";"0";"8134.8";"-12";"0"
"H - 12R (120%)";"1800";"-";"7390.0";"12";"0";"";"";"";"OK";"7390.0";"12";"0";"7390.0";"12";"0"
"1.5D - V (120%)";"6000";"-";"63007.1";"0";"-1.5";"";"";"";"OK";"63007.1";"0";"-1.5";"63007.1";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"19117.2";"-9";"-1.5";"";"";"";"OK";"19117.2";"-9";"-1.5";"19117.2";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"21287.8";"9";"-1.5";"";"";"";"OK";"21287.8";"9";"-1.5";"21287.8";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"25997.4";"0";"-2.5";"";"";"";"OK";"25997.4";"0";"-2.5";"25997.4";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"10245.6";"-12";"-2.5";"";"";"";"OK";"10245.6";"-12";"-2.5";"10245.6";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"13063.4";"12";"-2.5";"";"";"";"OK";"13063.4";"12";"-2.5";"13063.4";"12";"-2.5"
"4D - V (120%)";"-";"9600";"9996.7";"0";"-4";"8702.3";"0";"-4.25";"OK";"9996.7";"0";"-4";"9996.7";"0";"-4"
"MAX ";"-";"-";"84533.9";"-1.14";"-0.76";"";"";"";"OK";"84533.9";"-1.14";"-0.76";"84533.9";"-1.14";"-0.76"
