sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;39289.830;0.00
2;10;39299.790;0.03
3;20;39299.790;0.03
4;30;39299.790;0.03
5;40;39309.740;0.05
6;50;39309.740;0.05
7;60;39309.740;0.05
8;70;39309.740;0.05
9;80;39309.740;0.05
10;90;39309.740;0.05
11;100;39299.790;0.03
12;110;39299.790;0.03
13;120;39309.740;0.05
14;130;39299.790;0.03
15;140;39299.790;0.03
16;150;39289.830;0.00
17;160;39289.830;0.00
18;170;39279.870;-0.03
19;180;39279.870;-0.03
20;190;39279.870;-0.03
21;200;39269.920;-0.05
22;210;39259.960;-0.08
23;220;39250.000;-0.10
24;230;39250.000;-0.10
25;240;39240.050;-0.13
26;250;39230.090;-0.15
27;260;39220.130;-0.18
28;270;39220.130;-0.18
29;280;39210.180;-0.21
30;290;39200.220;-0.23
31;300;39190.260;-0.26
32;310;39180.300;-0.28
33;320;39170.350;-0.31
34;330;39170.350;-0.31
35;340;39150.430;-0.36
36;350;39140.480;-0.39
37;360;39140.480;-0.39
38;370;39120.560;-0.44
39;380;39120.560;-0.44
40;390;39100.650;-0.49
41;400;39090.690;-0.52
42;410;39090.690;-0.52
43;420;39080.730;-0.54
44;430;39070.780;-0.57
45;440;39060.820;-0.59
46;450;39050.860;-0.62
47;460;39030.950;-0.67
48;470;39030.950;-0.67
49;480;39021.000;-0.70
50;490;39001.080;-0.75
51;500;39001.080;-0.75
52;510;38991.130;-0.77
53;520;38981.170;-0.80
54;530;38971.210;-0.83
55;540;38961.250;-0.85
56;550;38951.300;-0.88
57;560;38941.340;-0.90
58;570;38931.380;-0.93
59;580;38921.430;-0.95
60;590;38911.470;-0.98
61;600;38901.510;-1.01
62;610;38891.550;-1.03
63;620;38881.600;-1.06
64;630;38871.640;-1.08
65;640;38861.680;-1.11
66;650;38851.730;-1.13
67;660;38841.770;-1.16
68;670;38831.810;-1.19
69;680;38821.860;-1.21
70;690;38811.900;-1.24
71;700;38811.900;-1.24
72;710;38801.940;-1.26
73;720;38791.980;-1.29
74;730;38782.030;-1.32
75;740;38772.070;-1.34
76;750;38762.120;-1.37
77;760;38762.120;-1.37
78;770;38742.200;-1.42
79;780;38742.200;-1.42
80;790;38732.250;-1.44
81;800;38722.290;-1.47
82;810;38712.330;-1.50
83;820;38712.330;-1.50
84;830;38702.380;-1.52
85;840;38692.420;-1.55
86;850;38692.420;-1.55
87;860;38672.500;-1.60
88;870;38672.500;-1.60
89;880;38662.550;-1.62
90;890;38652.590;-1.65
91;900;38642.630;-1.68
92;910;38642.630;-1.68
93;920;38632.680;-1.70
94;930;38632.680;-1.70
95;940;38622.720;-1.73
96;950.016;38622.720;-1.73
97;960.016;38602.800;-1.78
