sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;70317.490;3.98
2;10;70107.560;3.66
3;20;69957.610;3.43
4;30;69767.670;3.14
5;40.016;69587.730;2.87
6;50.016;69447.770;2.66
7;60.016;69297.820;2.43
8;70.016;69177.860;2.25
9;80.016;69047.900;2.05
10;90.016;68957.930;1.91
11;100.016;68867.960;1.78
12;110.016;68767.990;1.63
13;120.016;68688.020;1.50
14;130.016;68598.050;1.37
15;140.016;68508.070;1.23
16;150.016;68438.090;1.12
17;160.016;68358.130;1.00
18;170.016;68298.140;0.91
19;180.016;68228.160;0.80
20;190.016;68178.180;0.73
21;200.016;68108.200;0.62
22;210.016;68048.220;0.53
23;220.016;67978.240;0.43
24;230.016;67928.260;0.35
25;240.016;67888.270;0.29
26;250.016;67808.300;0.17
27;260.016;67798.300;0.15
28;270.016;67698.340;0.00
29;280.016;67668.340;-0.05
30;290.016;67608.360;-0.14
31;300.016;67578.380;-0.18
32;310.016;67518.390;-0.27
33;320.016;67488.400;-0.32
34;330.016;67458.410;-0.36
35;340.016;67418.420;-0.43
36;350.016;67378.440;-0.49
37;360.016;67338.450;-0.55
38;370.016;67298.460;-0.61
39;380.016;67248.480;-0.68
40;390.016;67238.480;-0.70
41;400.016;67208.490;-0.74
42;410.016;67158.510;-0.82
43;420.016;67108.520;-0.90
44;430.016;67118.520;-0.88
45;440.016;67088.530;-0.93
46;450.016;67018.550;-1.03
47;460.016;67008.550;-1.05
48;470.016;66968.570;-1.11
49;480.016;66948.570;-1.14
50;490.016;66898.590;-1.22
51;500.016;66898.590;-1.22
52;510.016;66858.600;-1.28
53;520.016;66838.610;-1.31
54;530.016;66808.620;-1.35
55;540.016;66798.620;-1.37
56;550.016;66758.630;-1.43
57;560.016;66738.640;-1.46
58;570.016;66708.650;-1.50
59;580.016;66688.660;-1.53
60;590.016;66668.660;-1.56
61;600.016;66668.660;-1.56
62;610.016;66608.680;-1.66
63;620.016;66618.680;-1.64
64;630.016;66588.690;-1.69
65;640.016;66578.690;-1.70
66;650.016;66538.700;-1.76
67;660.016;66508.710;-1.81
68;670.016;66508.710;-1.81
69;680.031;66488.720;-1.84
70;690.031;66468.730;-1.87
71;700.031;66428.740;-1.93
72;710.031;66448.730;-1.90
73;720.031;66408.740;-1.96
74;730.031;66408.740;-1.96
75;740.031;66368.760;-2.02
76;750.031;66368.760;-2.02
77;760.031;66348.770;-2.05
78;770.031;66328.770;-2.08
79;780.031;66318.770;-2.10
80;790.031;66308.780;-2.11
81;800.031;66288.780;-2.14
82;810.031;66288.780;-2.14
83;820.031;66268.790;-2.17
84;830.031;66228.800;-2.23
85;840.031;66218.800;-2.25
86;850.031;66208.810;-2.26
87;860.031;66198.810;-2.28
88;870.031;66178.820;-2.31
89;880.031;66188.810;-2.29
90;890.031;66168.820;-2.32
91;900.031;66138.830;-2.37
92;910.031;66138.830;-2.37
93;920.031;66128.840;-2.38
94;930.031;66118.840;-2.40
95;940.031;66088.850;-2.45
96;950.031;66078.850;-2.46
97;960.031;66078.850;-2.46
98;970.031;66078.850;-2.46
99;980.031;66058.860;-2.49
100;990.031;66038.870;-2.52
101;1000.031;66048.860;-2.51
102;1010.031;66048.860;-2.51
103;1020.031;66018.870;-2.55
104;1030.031;65988.880;-2.60
105;1040.031;65988.880;-2.60
106;1050.031;65988.880;-2.60
107;1060.031;65968.880;-2.63
108;1070.031;65958.890;-2.64
109;1080.031;65968.880;-2.63
110;1090.031;65938.900;-2.67
111;1100.031;65938.900;-2.67
112;1110.031;65938.900;-2.67
113;1120.031;65918.910;-2.70
114;1130.031;65908.910;-2.72
115;1140.031;65908.910;-2.72
116;1150.031;65908.910;-2.72
117;1160.031;65898.910;-2.73
118;1170.031;65878.910;-2.76
119;1180.031;65858.920;-2.79
120;1190.047;65868.920;-2.78
121;1200.047;65838.930;-2.83
122;1210.047;65828.930;-2.84
123;1220.047;65818.940;-2.86
124;1230.047;65818.940;-2.86
