sep=;
"Name:";"LQ2 NAS HL LED HIGH (OPT Assy-LED) RH#3 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8138 V";"Date:";"2025-07-03 ¿ÀÀü 3:24:12"
"Current:";"0.00022 A";"File:";"LQ2 NAS HL LED HIGH (OPT Assy-LED) RH#3 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"47284.870";"0";"2";"";"";"";"OK";"47284.870";"0";"2";"47284.870";"0";"2"
"1U - 3L (120%)";"6000";"-";"29860.440";"-3";"1";"";"";"";"OK";"29860.440";"-3";"1";"29860.440";"-3";"1"
"1U - 3R (120%)";"6000";"-";"32309.660";"3";"1";"";"";"";"OK";"32309.660";"3";"1";"32309.660";"3";"1"
"H - V (120%)";"48000";"60000";"65828.930";"0";"0";"54402.590";"0";"0.25";"OK";"65828.930";"0";"0";"65828.930";"0";"0"
"H - 3L (120%)";"18000";"-";"32079.730";"-3";"0";"";"";"";"OK";"32079.730";"-3";"0";"32079.730";"-3";"0"
"H - 3R (120%)";"18000";"-";"39127.480";"3";"0";"";"";"";"OK";"39127.480";"3";"0";"39127.480";"3";"0"
"H - 6L (120%)";"6000";"-";"15065.180";"-6";"0";"";"";"";"OK";"15065.180";"-6";"0";"15065.180";"-6";"0"
"H - 6R (120%)";"6000";"-";"19023.910";"6";"0";"";"";"";"OK";"19023.910";"6";"0";"19023.910";"6";"0"
"H - 9L (120%)";"3600";"-";"7316.658";"-9";"0";"";"";"";"OK";"7316.658";"-9";"0";"7316.658";"-9";"0"
"H - 9R (120%)";"3600";"-";"10599.610";"9";"0";"";"";"";"OK";"10599.610";"9";"0";"10599.610";"9";"0"
"H - 12L (120%)";"1800";"-";"4024.712";"-12";"0";"";"";"";"OK";"4024.712";"-12";"0";"4024.712";"-12";"0"
"H - 12R (120%)";"1800";"-";"6970.769";"12";"0";"";"";"";"OK";"6970.769";"12";"0";"6970.769";"12";"0"
"1.5D - V (120%)";"6000";"-";"30340.290";"0";"-1.5";"";"";"";"OK";"30340.290";"0";"-1.5";"30340.290";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"9175.063";"-9";"-1.5";"";"";"";"OK";"9175.063";"-9";"-1.5";"9175.063";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"14919.220";"9";"-1.5";"";"";"";"OK";"14919.220";"9";"-1.5";"14919.220";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"20113.560";"0";"-2.5";"";"";"";"OK";"20113.560";"0";"-2.5";"20113.560";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"5921.105";"-12";"-2.5";"";"";"";"OK";"5921.105";"-12";"-2.5";"5921.105";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"9492.962";"12";"-2.5";"";"";"";"OK";"9492.962";"12";"-2.5";"9492.962";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10614.600";"0";"-4";"9796.864";"0";"-4.25";"NG";"10614.600";"0";"-4";"10614.600";"0";"-4"
"MAX";"-";"-";"71337.170";"0.3";"-0.13";"";"";"";"OK";"71337.170";"0.3";"-0.13";"71337.170";"0.3";"-0.13"
