sep=;
"Name:";"LQ2 NAS HL LED HIGH (OPT Assy-LED)(2DOWN) RH#3 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8139 V";"Date:";"2025-07-03 ¿ÀÀü 5:40:34"
"Current:";"0.00004 A";"File:";"LQ2 NAS HL LED HIGH (OPT Assy-LED)(2DOWN) RH#3 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"47084.930";"0";"2";"";"";"";"OK";"47084.930";"0";"2";"47084.930";"0";"2"
"1U - 3L (120%)";"6000";"-";"29820.460";"-3";"1";"";"";"";"OK";"29820.460";"-3";"1";"29820.460";"-3";"1"
"1U - 3R (120%)";"6000";"-";"32329.650";"3";"1";"";"";"";"OK";"32329.650";"3";"1";"32329.650";"3";"1"
"H - V (120%)";"48000";"60000";"63499.680";"0";"0";"53702.810";"0";"0.25";"OK";"63499.680";"0";"0";"63499.680";"0";"0"
"H - 3L (120%)";"18000";"-";"32209.690";"-3";"0";"";"";"";"OK";"32209.690";"-3";"0";"32209.690";"-3";"0"
"H - 3R (120%)";"18000";"-";"39737.280";"3";"0";"";"";"";"OK";"39737.280";"3";"0";"39737.280";"3";"0"
"H - 6L (120%)";"6000";"-";"14984.200";"-6";"0";"";"";"";"OK";"14984.200";"-6";"0";"14984.200";"-6";"0"
"H - 6R (120%)";"6000";"-";"19603.730";"6";"0";"";"";"";"OK";"19603.730";"6";"0";"19603.730";"6";"0"
"H - 9L (120%)";"3600";"-";"7334.652";"-9";"0";"";"";"";"OK";"7334.652";"-9";"0";"7334.652";"-9";"0"
"H - 9R (120%)";"3600";"-";"10928.500";"9";"0";"";"";"";"OK";"10928.500";"9";"0";"10928.500";"9";"0"
"H - 12L (120%)";"1800";"-";"4144.673";"-12";"0";"";"";"";"OK";"4144.673";"-12";"0";"4144.673";"-12";"0"
"H - 12R (120%)";"1800";"-";"7077.735";"12";"0";"";"";"";"OK";"7077.735";"12";"0";"7077.735";"12";"0"
"1.5D - V (120%)";"6000";"-";"30680.180";"0";"-1.5";"";"";"";"OK";"30680.180";"0";"-1.5";"30680.180";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"9171.064";"-9";"-1.5";"";"";"";"OK";"9171.064";"-9";"-1.5";"9171.064";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"14940.220";"9";"-1.5";"";"";"";"OK";"14940.220";"9";"-1.5";"14940.220";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"19873.640";"0";"-2.5";"";"";"";"OK";"19873.640";"0";"-2.5";"19873.640";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"5835.132";"-12";"-2.5";"";"";"";"OK";"5835.132";"-12";"-2.5";"5835.132";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"9405.989";"12";"-2.5";"";"";"";"OK";"9405.989";"12";"-2.5";"9405.989";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10713.570";"0";"-4";"9864.843";"0";"-4.25";"NG";"10713.570";"0";"-4";"10713.570";"0";"-4"
"MAX";"-";"-";"71087.250";"0.33";"-0.16";"";"";"";"OK";"71087.250";"0.33";"-0.16";"71087.250";"0.33";"-0.16"
